cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
GENERAL_ONLY|(none)|NONE,2332,GENERAL_ONLY,(none),(none),(none),NONE,12_billion_yen_incident;15-nin_no_richiteki_na_megane-tachi;2011;2011_tohoku_earthquake_and_tsunami;2024_attempted_assassination_of_donald_trump;2024_niconico_cyberattack;2024_pokemon_teraleak;2_fuel_4_ammo_11_steel;2nd_live_tour_~blooming_with_ooo~;3rd_live_tour_try_tri_unity!!!;416_day;4th_live_dream_~bloom_the_dream_believers~
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|NONE,795,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),NONE,accidental_pervert;accidental_touch;adjusting_another's_clothes;adjusting_another's_eyewear;adjusting_another's_hair;adjusting_buruma;adjusting_hair;adjusting_hair_ornament;adjusting_neck_ribbon;adjusting_shorts;adjusting_skirt;animal_around_neck
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|NONE,633,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),NONE,abs_peek;accidental_exposure;apron_aside;apron_lift;arm_out_of_sleeve;back_peek;back_slit;bandeau_lift;bandeau_pull;bare_hips;bare_pectorals;bare_shoulders
SPECIAL_ONLY|(none)|(none)|NONE,563,SPECIAL_ONLY,(none),(none),(none),NONE,18+;3p;about_to_be_raped;adult_content;adult_only;adult_toy;adult_toys;adultbaby;after_frottage;after_oral;after_urethral;aftersex
GENERAL_ONLY|CLOTHING/EVERYDAY|SEXUALIZED_CLOTHING,425,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),SEXUALIZED_CLOTHING,american_flag_bikini;american_flag_swimsuit;angel's_swimsuit_(idolmaster);angel_leotard;aqua_bikini;aqua_bodysuit;aqua_leotard;aqua_male_swimwear;aqua_one-piece_swimsuit;argyle_bikini;asymmetrical_bikini;asymmetrical_bodysuit
GENERAL_ONLY|CLOTHING/EVERYDAY|NONE,260,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),NONE,aqua_buruma;aqua_camisole;aqua_pantyhose;aqua_thighhighs;argyle_pantyhose;argyle_thighhighs;babydoll_t-shirt;bandeau;black_babydoll;black_bandeau;black_bloomers;black_buruma
GENERAL_ONLY|BODY_PART|NONE,241,GENERAL_ONLY,BODY_PART,BODY_PART,(none),NONE,alternate_ass_size_(larger);alternate_pectoral_size;animal_genitalia_on_humanoid;aqua_tongue;arched_soles;armpit_crease;armpit_hair;armpit_stubble;armpits;ass;ass_blush;ass_expansion
GENERAL_ONLY|CLOTHING/EVERYDAY|EXPOSURE_INTIMATE,180,GENERAL_ONLY,CLOTHING/EVERYDAY,CLOTHING,(none),EXPOSURE_INTIMATE,adhesive_bra;american_flag_print_panties;animal_band_panties;aqua_bra;aqua_panties;aqua_sports_bra;back-print_panties;bear_print_panties;belt_bra;black_bra;black_male_underwear;black_panties
SPECIAL_ONLY|(none)|(none)|ANATOMY,170,SPECIAL_ONLY,(none),(none),(none),ANATOMY,alcohol_between_breasts;anal_beads_pull;anal_insertion;anal_nakadashi;anal_object_push;anal_play;anal_plug;anal_stretching;anal_training;anal_wine;anus_spread;anus_spreading
GENERAL_ONLY|CLOTHING/ACCESSORY|NONE,96,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),NONE,anchor_choker;aqua_choker;ass_zipper;bandaid_on_clothes;bandana_around_arm;bandana_around_neck;bandana_over_mouth;bead_choker;black_choker;blue_choker;bow_choker;bow_on_wing
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|SEXUALIZED_CLOTHING,83,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),SEXUALIZED_CLOTHING,assless_skirt;backless_bikini_bottom;backless_bodysuit;backless_dress;backless_kimono;backless_leotard;backless_shirt;backless_sweater;backless_swimsuit;bikini_bottom_pull;bikini_bottom_under_shorts;bikini_bridge
GENERAL_ONLY|OBJECT_PROP/DAILY|NONE,83,GENERAL_ONLY,OBJECT_PROP/DAILY,OBJECT_PROP,(none),NONE,ass_mousepad;backpack_on_one_shoulder;bag_on_head;bag_on_lap;bag_over_head;basket_on_head;billiard_table;blackjack_table;blanket_over_legs;box_on_head;camera_around_neck;clothes-dissolving_potion
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|NONE,83,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,NONE,arm_cutout;armpit_cutout;armpit_peek;ass_cutout;ass_peek;ass_visible_through_thighs;bare_arms;bare_back;bloomers_around_one_leg;breastless_clothes;bursting_ass;buruma_around_one_leg
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|NONE,80,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),NONE,alcohol_enema;although_she_hurriedly_put_on_clothes_(meme);ass-to-mouth;ass_worship;assisted_exposure;autoarousal;autopenetration;bellyjob;body_exploration;bulge_to_ass;bulge_to_face;casting_couch
SPECIAL_ONLY|(none)|(none)|EXPOSURE_INTIMATE,78,SPECIAL_ONLY,(none),(none),(none),EXPOSURE_INTIMATE,above_cleavage_cutout;absolute_cleavage;bare_naked;beaded_panties;bra_down;bra_no;bra_open;breastless_bra;cleavage_(male);cleavage_window;clothed_female_naked_female;clothed_female_naked_male
GENERAL_ONLY|CLOTHING|NONE,72,GENERAL_ONLY,CLOTHING,CLOTHING,(none),NONE,two-tone_leg_warmers;u.a._cheerleader_uniform;u.a._gym_uniform;u.a._school_uniform;ubel_(sousou_no_frieren)_(cosplay);uchiha_sasuke_(cosplay);uchikake;ukrainian_clothes;ultimate_madoka_(cosplay);ultra_recon_squad_uniform;ultraman_(cosplay);umbreon_(cosplay)
OVERLAP|BODY_PART|(none)|ANATOMY,66,OVERLAP,BODY_PART,BODY_PART,(none),ANATOMY,anal_hair;animal_pussy;aqua_nipples;aqua_pussy;beaded_penis;between_testicles;black_nipples;blue_anus;blue_nipples;blue_penis;blue_pussy;cat_penis
