canonical_tag,v2_home,review_outcome,primary_reason,authority_checked,exact_assessment
agumon_(digimon_savers),digimon_savers,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BASE_HOME_CONFLICT,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact work qualifier root exists, but the generic base route points to another HOME and there is no validated identity/variant edge; do not choose between work-version and franchise HOME."
amami_haruka_(idolmaster_xenoglossia),idolmaster_xenoglossia,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Legacy qualifier fastpath records a root but not an exact relation between this work-version tag and a base identity; same-name parsing is insufficient."
hatsune_miku_(blue_archive),blue_archive,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,VARIANT_OR_CROSSOVER_UNRESOLVED,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact qualifier root differs from the confirmed base HOME. No validated relation establishes this row as a HOME-changing identity variant rather than an appearance/crossover."
higuchi_kaede_(swing!!),swing!!,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact title-qualified catalog key lacks a validated direct HOME or VARIANT_OF path to any base; do not infer from the tag string."
kazami_yuuka_(seihou),seihou,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Qualifier root is available but v2 fastpath has no row-specific relation proof; no exact validated base route resolves the catalog identity."
kiana_kaslana_(honkai:_nexus_anima),honkai:_nexus_anima,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BASE_HOME_CONFLICT,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact work qualifier and existing base HOME do not agree; no validated variant edge establishes safe inheritance or a changed HOME."
kotomine_kirei_(fate/zero),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BROAD_ROOT_ONLY,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Explicit fate/zero normalization reaches only broad fate_(series); it does not establish the exact row identity or a unique narrow work HOME."
mario_(pripara),pripara,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,APPEARANCE_OR_IDENTITY_UNRESOLVED,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact qualifier conflicts with generic base context; no validated identity relation supports assigning either root as this row's HOME."
matou_sakura_(fate/extra),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BROAD_ROOT_ONLY,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Explicit broad normalization does not resolve this exact work-version tag to a single character HOME."
matou_sakura_(fate/zero),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BROAD_ROOT_ONLY,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Explicit broad normalization does not resolve this exact work-version tag to a single character HOME."
megurine_luka_(toeto),toeto_(vocaloid),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,PRODUCT_OR_APPEARANCE_ONLY,docs/issue180/autonomous/decisions/family_terminal_reviews_v2.csv; accepted Character/Copyright catalog,"Legacy product/title context does not preserve an exact validated character-to-work or same-identity variant edge."
saber_alter_(fate/stay_night),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Broad Fate normalization and modifier wording do not prove a unique base identity or HOME inheritance."
satonaka_chie_(ooya-san_wa_shishunki),ooya-san_wa_shishunki,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/autonomous/decisions/family_terminal_reviews_v2.csv; accepted Character/Copyright catalog,"Title/root mapping does not establish an identity edge between this exact tag and a similarly named character elsewhere."
son_goku_(saiyuki),saiyuki,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Romanized name similarity across catalog tags supplies no identity or HOME evidence; no validated relation path exists."
tohsaka_rin_(fate/extra),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BROAD_ROOT_ONLY,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Explicit broad normalization does not resolve this exact work-version tag to a single character HOME."
tohsaka_rin_(fate/zero),fate_(series),LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BROAD_ROOT_ONLY,docs/issue180/autonomous/AUTONOMOUS_POLICY_V2.json; accepted Character/Copyright catalog,"Explicit broad normalization does not resolve this exact work-version tag to a single character HOME."
tohsaka_rin_(honkai:_star_rail),honkai:_star_rail,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BASE_HOME_CONFLICT,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact qualifier root differs from the existing base context; no validated identity relation resolves appearance versus HOME identity."
wario_(warioware),warioware,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,BASE_HOME_CONFLICT,docs/issue180/v3/migrated_evidence_seed_v3.csv; accepted Character/Copyright catalog,"Exact work qualifier and generic base context are not connected by validated identity evidence; retain unresolved rather than select by franchise association."
yoshi_(nagatoro),ijiranaide_nagatoro-san,LEGACY_UNSUPPORTED_REQUIRES_UNRESOLVED,IDENTITY_RELATION_MISSING,docs/issue180/autonomous/decisions/family_terminal_reviews_v2.csv; accepted Character/Copyright catalog,"Exact title normalization supplies no validated identity edge or HOME relation for this accepted Character key."
