identity_key,candidate_state,risk_flags
\m/,ORDINARY_CLEAN,
\n/,ORDINARY_CLEAN,
abhaya_mudra,ORDINARY_CLEAN,
absorbing,ORDINARY_CLEAN,
accident,ORDINARY_CLEAN,
accidental_touch,ORDINARY_CLEAN,
adjusting_another's_clothes,ORDINARY_CLEAN,
adjusting_another's_eyewear,ORDINARY_CLEAN,
adjusting_another's_hair,ORDINARY_CLEAN,
adjusting_apron,ORDINARY_CLEAN,
adjusting_belt,ORDINARY_CLEAN,
adjusting_bow,ORDINARY_CLEAN,
adjusting_bowtie,ORDINARY_CLEAN,
adjusting_dress,ORDINARY_CLEAN,
adjusting_earrings,ORDINARY_CLEAN,
adjusting_eyewear,ORDINARY_CLEAN,
adjusting_footwear,ORDINARY_CLEAN,
adjusting_gloves,ORDINARY_CLEAN,
adjusting_goggles,ORDINARY_CLEAN,
adjusting_hair,ORDINARY_CLEAN,
adjusting_hair_ornament,ORDINARY_CLEAN,
adjusting_headphones,ORDINARY_CLEAN,
adjusting_headset,ORDINARY_CLEAN,
adjusting_headwear,ORDINARY_CLEAN,
adjusting_hood,ORDINARY_CLEAN,
adjusting_legwear,ORDINARY_CLEAN,
adjusting_mask,ORDINARY_CLEAN,
adjusting_neck_ribbon,ORDINARY_CLEAN,
adjusting_necktie,ORDINARY_CLEAN,
adjusting_scarf,ORDINARY_CLEAN,
adjusting_shirt,ORDINARY_CLEAN,
adjusting_shoe,ORDINARY_CLEAN,
adjusting_sleeves,ORDINARY_CLEAN,
adjusting_sock,ORDINARY_CLEAN,
adjusting_strap,ORDINARY_CLEAN,
aerial_battle,ORDINARY_CLEAN,
aerokinesis,ORDINARY_CLEAN,
affirmation,ORDINARY_CLEAN,
after_bathing,ORDINARY_CLEAN,
after_battle,ORDINARY_CLEAN,
after_exercise,ORDINARY_CLEAN,
after_meal,ORDINARY_CLEAN,
ahoge_grab,ORDINARY_CLEAN,
ai_ai_gasa,ORDINARY_CLEAN,
air_guitar,ORDINARY_CLEAN,
air_hockey,ORDINARY_CLEAN,
airsoft,ORDINARY_CLEAN,
akira_slide,ORDINARY_CLEAN,
alchemy,ORDINARY_CLEAN,
ambush,ORDINARY_CLEAN,
american_football_(sport),ORDINARY_CLEAN,
animal_around_neck,ORDINARY_CLEAN,
animal_in_mouth,ORDINARY_CLEAN,
animal_on_arm,ORDINARY_CLEAN,
animal_on_ass,ORDINARY_CLEAN,
animal_on_back,ORDINARY_CLEAN,
animal_on_chest,ORDINARY_CLEAN,
animal_on_face,ORDINARY_CLEAN,
animal_on_finger,ORDINARY_CLEAN,
animal_on_hand,ORDINARY_CLEAN,
animal_on_head,ORDINARY_CLEAN,
animal_on_lap,ORDINARY_CLEAN,
animal_on_leg,ORDINARY_CLEAN,
animal_on_shoulder,ORDINARY_CLEAN,
animal_on_stomach,ORDINARY_CLEAN,
animal_on_weapon,ORDINARY_CLEAN,
apologizing,ORDINARY_CLEAN,
apple_on_head,ORDINARY_CLEAN,
arguing,ORDINARY_CLEAN,
arima_kinen,ORDINARY_CLEAN,
arm_around_another's_back,ORDINARY_CLEAN,
arm_around_shoulder,ORDINARY_CLEAN,
arm_on_another's_head,ORDINARY_CLEAN,
arm_on_another's_shoulder,ORDINARY_CLEAN,
arm_pillow,ORDINARY_CLEAN,
arm_wrestling,ORDINARY_CLEAN,
armband_grab,ORDINARY_CLEAN,
armbar,ORDINARY_CLEAN,
armlock,ORDINARY_CLEAN,
armpit_carry,ORDINARY_CLEAN,
arms_around_another's_back,ORDINARY_CLEAN,
arms_on_another's_shoulder,ORDINARY_CLEAN,
arrest,ORDINARY_CLEAN,
arrow_in_mouth,ORDINARY_CLEAN,
arrow_through_apple,ORDINARY_CLEAN,
arson,ORDINARY_CLEAN,
ass-to-ass,ORDINARY_CLEAN,
ass_clap,ORDINARY_CLEAN,
ass_shake,ORDINARY_CLEAN,
ass_smack,ORDINARY_CLEAN,
assassination,ORDINARY_CLEAN,
assembling,ORDINARY_CLEAN,
assisted_carrying,ORDINARY_CLEAN,
assisted_stretching,ORDINARY_CLEAN,
at_gunpoint,ORDINARY_CLEAN,
at_knifepoint,ORDINARY_CLEAN,
atmospheric_reentry,ORDINARY_CLEAN,
attempted_suicide,ORDINARY_CLEAN,
auction,ORDINARY_CLEAN,
aura_sphere_(pokemon),ORDINARY_CLEAN,
autodefenestration,ORDINARY_CLEAN,
awooo,ORDINARY_CLEAN,
babydoll_hold,ORDINARY_CLEAN,
babydoll_pull,ORDINARY_CLEAN,
babydoll_tug,ORDINARY_CLEAN,
babywearing,ORDINARY_CLEAN,
backbreaker,ORDINARY_CLEAN,
backstab,ORDINARY_CLEAN,
bad_singing,ORDINARY_CLEAN,
badminton,ORDINARY_CLEAN,
baking,ORDINARY_CLEAN,
bakunetsu_god_finger,ORDINARY_CLEAN,
balancing_on_finger,ORDINARY_CLEAN,
balancing_on_head,ORDINARY_CLEAN,
ballet,ORDINARY_CLEAN,
ballroom_dancing,ORDINARY_CLEAN,
banana_in_mouth,ORDINARY_CLEAN,
bandage_in_mouth,ORDINARY_CLEAN,
bang_(gesture),ORDINARY_CLEAN,
banging,ORDINARY_CLEAN,
banquet,ORDINARY_CLEAN,
barking,ORDINARY_CLEAN,
