cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
GENERAL_ONLY|(none)|NONE,2237,GENERAL_ONLY,(none),(none),(none),NONE,12_billion_yen_incident;15-nin_no_richiteki_na_megane-tachi;2024_pokemon_teraleak;2_fuel_4_ammo_11_steel;4th_live_dream_~bloom_the_dream_believers~;6th_live_dream_~bloom_garden_party~;9/11;affliction_(darkest_dungeon);after_time_valentine_2026;akatsuhara_empire;akg;alternate_element
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|NONE,7,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,NONE,armpit_hair_peek;midriff;midriff_peek;navel_cutout;navel_peek;tanlines;thigh_cutout
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|INJURY,6,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),INJURY,bath_of_blood;blood_sucking;drinking_blood;licking_blood;spitting_blood;wiping_blood
OVERLAP|BODY_PART|BODY_STATE|REPRO,6,OVERLAP,BODY_PART,BODY_PART,BODY_STATE,REPRO,fake_pregnancy;implied_male_pregnancy;male_pregnancy;multiple_pregnancy;pregnancy_halo;pregnancy_mark
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|RESTRAINT_FETISH,5,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),RESTRAINT_FETISH,holding_collar;holding_jump_rope;holding_rope;holding_whip;swinging_on_rope
OVERLAP|(none)|RELATION_ROLE_CONTEXT|NONE,5,OVERLAP,(none),(none),RELATION_ROLE_CONTEXT,NONE,inseki;race_fetishism;reverse_trap;toddlercon;you_gonna_get_raped
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|SEXUALIZED_CLOTHING,4,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),SEXUALIZED_CLOTHING,adjusting_leotard;adjusting_swimsuit;hand_in_bikini;hand_under_swimsuit
GENERAL_ONLY|CLOTHING|SEXUALIZED_CLOTHING,4,GENERAL_ONLY,CLOTHING,CLOTHING,(none),SEXUALIZED_CLOTHING,vertical-striped_bikini;vertical-striped_bodysuit;vertical-striped_leotard;vertical-striped_one-piece_swimsuit
GENERAL_ONLY|PERSON_COUNT|ADULT_ROLE_DEVICE,4,GENERAL_ONLY,PERSON_COUNT,PERSON_COUNT,(none),ADULT_ROLE_DEVICE,oiran;pornstar;stripper;stripper_pole
OVERLAP|ACTION_CONTACT|BODY_ATTRIBUTE|ANATOMY,4,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,BODY_ATTRIBUTE,ANATOMY,penis_measuring;pussy_sandwich;spread_anus;spread_pussy
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|REPRO,4,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,FLUID_STATE_ACTION,REPRO,breastfeeding;forced_lactation;lactation;lactation_through_clothes
OVERLAP|ACTION_CONTACT|SELF_ACTION|NONE,4,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,SELF_ACTION,NONE,autocunnilingus;autofellatio;masturbating_while_watching;pillow_humping
OVERLAP|BODY_PART|DIRECT_COMPOSITE|ANATOMY,4,OVERLAP,BODY_PART,BODY_PART,DIRECT_COMPOSITE,ANATOMY,bandaid_on_pussy;bandaids_on_nipples;mole_on_testicles;nipples_pressed_together
OVERLAP|BODY_PART|FLUID_STATE_ACTION|REPRO,4,OVERLAP,BODY_PART,BODY_PART,FLUID_STATE_ACTION,REPRO,excessive_lactation;implied_lactation;male_lactation;projectile_lactation
OVERLAP|BODY_PART|IMPLEMENT_OBJECT|ANATOMY,4,OVERLAP,BODY_PART,BODY_PART,IMPLEMENT_OBJECT,ANATOMY,areola_piercing;nipple_piercing;scrotum_piercing;single_nipple_piercing
OVERLAP|CLOTHING_STATE_EXPOSURE|(none)|RESTRAINT_FETISH,4,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),RESTRAINT_FETISH,blindfold_down;blindfold_slip;torn_blindfold;unworn_blindfold
OVERLAP|CLOTHING_STATE_EXPOSURE|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,4,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,crotchless_bikini;crotchless_bodysuit;crotchless_swimsuit;see-through_cleavage
OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,4,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,cuffs-to-collar;gag_around_neck;gag_under_mask;wraparound_tape_gag
