proposed_special_id,canonical_tag,canonical_aliases,frozen_post_count_2026_09_02,live_post_count,proposed_layer,display_ja,search_ja,kind_id,body_site_ids,theme_ids,concept_area,live_tag_id,live_validation_status,ja_status,duplicate_guard,proposal_status,source_issue94_commit,notes
2789,clothes_lift,,286238,287829,Core,服を持ち上げる,服をめくる|服上げ|服を持ち上げる,CLOTHING_EXPOSURE,,,BOUNDARY_CONCEPT,473983,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2790,skindentation,,161742,162761,Core,肌の食い込み,皮膚のへこみ|肌のへこみ|食い込み,BODY_STATE,,,GENERAL_OTHER,444539,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2791,thick_thighs,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,159807,161202,Core,太い太もも,むっちり太もも|太ももが太い|極太もも,BODY_STATE,,,GENERAL_OTHER,419309,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2792,ass_visible_through_thighs,gluteal_fold|butt_fangs|ass_fangs,117628,118293,Core,太ももの間から見える尻,太ももの間の尻|尻が太ももの間から見える,CLOTHING_EXPOSURE,BUTTOCK_ANAL,,SPECIAL_EXPOSURE_CLOTHING_STATE,1328533,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,direct concept-area mapping: SPECIAL_EXPOSURE_CLOTHING_STATE
2793,clothes_pull,,108268,108884,Core,服を引っ張る,服を引く|服引っ張り,CLOTHING_EXPOSURE,,,BOUNDARY_CONCEPT,467856,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2794,thigh_gap,,97349,97836,Core,太ももの隙間,サイギャップ|太ももの間の隙間,BODY_STATE,,,GENERAL_OTHER,403649,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2795,lifting_own_clothes,lifted_by_self,88148,88753,Core,自分の服を持ち上げる,自分で服をめくる|自分の服をめくる,CLOTHING_EXPOSURE,,,GENERAL_OTHER,2138714,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2796,breast_press,,68311,68881,Core,胸を押し付ける,胸押し付け|乳房を押し付ける,ACTION_CONTACT,BREAST_NIPPLE,,SPECIAL_BODY_RELATION_STATE,314230,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,Issue96 bounded human taxonomy resolution; semantic home chosen independently from body/theme facets
2797,breasts_apart,,61893,62418,Core,離れた胸,胸が離れている|左右に開いた胸,CLOTHING_EXPOSURE,BREAST_NIPPLE,,SPECIAL_EXPOSURE_CLOTHING_STATE,659059,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,direct concept-area mapping: SPECIAL_EXPOSURE_CLOTHING_STATE
2798,micro_bikini,microbikini,59624,59987,Core,マイクロビキニ,極小ビキニ,CLOTHING_EXPOSURE,,,SPECIAL_EXPOSURE_CLOTHING_STATE,392990,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,direct concept-area mapping: SPECIAL_EXPOSURE_CLOTHING_STATE
2799,blood_on_face,bloody_face,59531,60103,Core,顔に血,血まみれの顔|顔の血,FLUID_EXCRETION,,INJURY_R18G,SPECIAL_R18G_BODY_STATE,502047,PASS_CURRENT_GENERAL_CANONICAL,PROPOSED_HUMAN,CURRENT_SPECIAL_GAP_PASS,PREP_READY_FOR_DEV_REVIEW,b505f34956dc60e189e8c749fbe0cb187ad5154e,direct concept-area mapping: SPECIAL_R18G_BODY_STATE
