proposed_special_id,canonical_tag,canonical_aliases,post_count,proposed_layer,kind_id,body_site_ids,theme_ids
2789,clothes_lift,,286238,Core,CLOTHING_EXPOSURE,,
2790,skindentation,,161742,Core,BODY_STATE,,
2791,thick_thighs,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,159807,Core,BODY_STATE,,
2792,ass_visible_through_thighs,gluteal_fold|butt_fangs|ass_fangs,117628,Core,CLOTHING_EXPOSURE,BUTTOCK_ANAL,
2793,clothes_pull,,108268,Core,CLOTHING_EXPOSURE,,
2794,thigh_gap,,97349,Core,BODY_STATE,,
2795,lifting_own_clothes,lifted_by_self,88148,Core,CLOTHING_EXPOSURE,,
2796,breast_press,,68311,Core,ACTION_CONTACT,BREAST_NIPPLE,
2797,breasts_apart,,61893,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2798,micro_bikini,microbikini,59624,Core,CLOTHING_EXPOSURE,,
2799,blood_on_face,bloody_face,59531,Core,FLUID_EXCRETION,,INJURY_R18G
2800,mole_on_breast,,58430,Core,BODY_STATE,BREAST_NIPPLE,
2801,bikini_top_only,bikini_top,43620,Core,CLOTHING_EXPOSURE,,
2802,bouncing_breasts,,38896,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2803,breasts_squeezed_together,breast_squeeze|breasts_squeeze,37542,Core,BODY_STATE,BREAST_NIPPLE,
2804,huge_ass,thick_ass|big_ass|big_butt,36503,Core,BODY_STATE,BUTTOCK_ANAL,
2805,hand_between_own_legs,hand_between_own_thighs|hand_between_thighs|arm_between_own_legs|hand_between_legs,36500,Core,CLOTHING_EXPOSURE,,
2806,blood_on_clothes,bloody_clothes|blood-stained_clothes,35529,Core,FLUID_EXCRETION,,INJURY_R18G
2807,arm_under_breasts,,34473,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2808,midriff_peek,stomach_peek|belly_peek,31330,Core,CLOTHING_EXPOSURE,,
2809,pov_crotch,,31126,Core,POSE_SCENE,,
2810,crotch_seam,,29610,Core,CLOTHING_EXPOSURE,,
2811,highleg_panties,,28671,Core,CLOTHING_EXPOSURE,,
2812,hanging_breasts,hanging_boob|hangingboob,27904,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2813,panties_around_one_leg,panties_around_leg|/paol,27261,Core,CLOTHING_EXPOSURE,,
2814,highleg_one-piece_swimsuit,,26852,Core,CLOTHING_EXPOSURE,,
2815,highleg_bikini,,23531,Core,CLOTHING_EXPOSURE,,
2816,clothes_between_breasts,clothing_between_breasts,18555,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2817,micro_shorts,,18389,Core,CLOTHING_EXPOSURE,,
2818,blood_on_hand,blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,18256,Core,FLUID_EXCRETION,,INJURY_R18G
2819,gigantic_breasts,gigantic_breast,16189,Core,BODY_STATE,BREAST_NIPPLE,
2820,arms_under_breasts,,14767,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2821,breast_rest,,12595,Core,ACTION_CONTACT,BREAST_NIPPLE,
2822,blood_from_mouth,bloody_mouth|mouthbleed,12426,Core,FLUID_EXCRETION,MOUTH_ORAL,INJURY_R18G
2823,bikini_bottom_only,bikini_bottom,11780,Core,CLOTHING_EXPOSURE,,
2824,bra_visible_through_clothes,bra_through_clothes,11756,Core,CLOTHING_EXPOSURE,,
2825,hand_on_own_ass,hand_on_ass,10594,Core,ACTION_CONTACT,BUTTOCK_ANAL,
2826,sagging_breasts,,10045,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2827,grabbing_own_ass,,9301,Core,ACTION_CONTACT,BUTTOCK_ANAL,
2828,breast_lift,,9093,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2829,mole_on_thigh,,8976,Core,BODY_STATE,,
2830,breast_tattoo,tattooed_breast,8521,Core,BODY_STATE,BREAST_NIPPLE,
2831,bursting_breasts,,8434,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2832,breast_suppress,,8344,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2833,armpit_peek,,8023,Core,CLOTHING_EXPOSURE,,
2834,tail_through_clothes,tail_slit_clothes|tail_cutout,7638,Core,CLOTHING_EXPOSURE,,
2835,bikini_top_lift,bikini_lift,7366,Core,CLOTHING_EXPOSURE,,
2836,grabbing_another's_thighs,holding_another's_thighs,7269,Core,ACTION_CONTACT,,
2837,framed_breasts,,7268,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2838,hand_under_clothes,hands_under_clothes,7084,Core,ACTION_CONTACT,,
2839,unaligned_breasts,,6846,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2840,blood_from_eyes,bloody_tears|crying_blood|blood_tears,4970,Core,FLUID_EXCRETION,,INJURY_R18G
2841,cloth_gag,otm_gag,4746,Core,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2842,head_between_breasts,head_in_breasts,4475,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2843,mole_on_ass,,3593,Core,BODY_STATE,BUTTOCK_ANAL,
2844,blood_on_arm,bloody_arm,3449,Core,FLUID_EXCRETION,,INJURY_R18G
2845,tail_around_own_leg,,3398,Core,CLOTHING_EXPOSURE,,
2846,projectile_lactation,,3294,Core,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2847,presenting_own_ass,presenting_ass,3204,Core,POSE_SCENE,BUTTOCK_ANAL,
2848,micro_panties,,3160,Core,CLOTHING_EXPOSURE,,
2849,hands_on_own_ass,,3021,Core,ACTION_CONTACT,BUTTOCK_ANAL,
2850,bouncing_ass,,2995,Core,CLOTHING_EXPOSURE,BUTTOCK_ANAL,
2851,arm_between_breasts,hand_between_breasts,2580,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2852,presenting_own_breasts,presenting_breasts,2518,Core,POSE_SCENE,BREAST_NIPPLE,
2853,tail_between_legs,,2245,Core,CLOTHING_EXPOSURE,,
2854,leotard_peek,,2186,Core,CLOTHING_EXPOSURE,,
2855,blood_on_leg,bloody_leg,2125,Core,FLUID_EXCRETION,,INJURY_R18G
2856,clothes_between_thighs,clothing_between_thighs,2001,Core,CLOTHING_EXPOSURE,,
2857,face_between_breasts,face_in_breasts|motorboating,1927,Core,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2858,holding_own_legs_back,,1710,Core,POSE_SCENE,,
2859,shorts_around_one_leg,,1688,Core,CLOTHING_EXPOSURE,,
2860,standing_doggystyle,standing_doggy_style,1581,Core,POSE_SCENE,,
2861,blood_on_chest,bloody_chest,1546,Core,FLUID_EXCRETION,,INJURY_R18G
2862,hand_on_own_crotch,,1483,Core,ACTION_CONTACT,,
2863,sports_bra_lift,,1433,Core,CLOTHING_EXPOSURE,,
2864,blood_on_breasts,bloody_breasts,1400,Core,FLUID_EXCRETION,BREAST_NIPPLE,INJURY_R18G
2865,blood_on_neck,,1399,Core,FLUID_EXCRETION,,INJURY_R18G
2866,ass_tattoo,,1370,Core,BODY_STATE,BUTTOCK_ANAL,
2867,bite_mark_on_breast,,1317,Core,BODY_STATE,BREAST_NIPPLE,
2868,pubic_tattoo_visible_through_clothes,pubic_tattoo_through_clothing,1310,Core,CLOTHING_EXPOSURE,,
2869,micro_bra,,1257,Core,CLOTHING_EXPOSURE,,
2870,armpit_hair_peek,,1220,Core,CLOTHING_EXPOSURE,,
2871,head_between_thighs,,1134,Core,CLOTHING_EXPOSURE,,
2872,ass_press,,1123,Core,ACTION_CONTACT,BUTTOCK_ANAL,
2873,implied_pregnancy,,1109,Core,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2874,licking_breast,breast_licking|breast_lick,1093,Core,ACTION_CONTACT,BREAST_NIPPLE,
2875,blood_in_mouth,,963,Extended,FLUID_EXCRETION,MOUTH_ORAL,INJURY_R18G
2876,skirt_peek,,932,Extended,CLOTHING_EXPOSURE,,
2877,holding_pregnancy_test,,902,Extended,ACTION_CONTACT,,REPRO_PREGNANCY_LACTATION
2878,pants_around_one_leg,,897,Extended,CLOTHING_EXPOSURE,,
2879,mole_on_crotch,mole_on_groin,864,Extended,BODY_STATE,,
2880,scar_on_breast,scar_on_breasts,862,Extended,BODY_STATE,BREAST_NIPPLE,
2881,ass_freckles,,857,Extended,BODY_STATE,BUTTOCK_ANAL,
2882,blood_on_mouth,,850,Extended,FLUID_EXCRETION,MOUTH_ORAL,INJURY_R18G
2883,spreading_own_ass,,824,Extended,ACTION_CONTACT,BUTTOCK_ANAL,
2884,bikini_around_one_leg,,770,Extended,CLOTHING_EXPOSURE,,
2885,breast_freckles,,764,Extended,BODY_STATE,BREAST_NIPPLE,
2886,panties_visible_through_clothes,,736,Extended,CLOTHING_EXPOSURE,,
2887,view_between_legs,,735,Extended,CLOTHING_EXPOSURE,,
2888,panties_around_thighs,,701,Extended,CLOTHING_EXPOSURE,,
2889,navel_peek,,650,Extended,CLOTHING_EXPOSURE,,
2890,clothes_between_exposed_breasts,,607,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2891,sucking_own_breasts,self_breast_sucking,598,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2892,bursting_ass,,581,Extended,CLOTHING_EXPOSURE,BUTTOCK_ANAL,
2893,lactating_into_container,lactating_into_bowl|lactating_into_bottle|lactating_into_cup,503,Extended,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2894,piercing_through_clothes,,494,Extended,CLOTHING_EXPOSURE,,
2895,tail_around_another's_leg,,487,Extended,CLOTHING_EXPOSURE,,
2896,swimsuit_lift,,480,Extended,CLOTHING_EXPOSURE,,
2897,bikini_visible_through_clothes,,479,Extended,CLOTHING_EXPOSURE,,
2898,ass_lift,,471,Extended,CLOTHING_EXPOSURE,BUTTOCK_ANAL,
2899,gag_around_neck,,467,Extended,TOOL_OBJECT,,BDSM_RESTRAINT
2900,forced_lactation,,464,Extended,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2901,blood_on_feet,bloody_feet,449,Extended,FLUID_EXCRETION,,INJURY_R18G
2902,stuffed_gag,,433,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2903,grabbing_multiple_others'_breasts,,419,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2904,head_under_skirt,head_up_skirt,416,Extended,CLOTHING_EXPOSURE,,
2905,bra_slip,,415,Extended,CLOTHING_EXPOSURE,,
2906,male_lactation,lactation_(male),414,Extended,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2907,pantyhose_around_one_leg,,410,Extended,CLOTHING_EXPOSURE,,
2908,cooperative_breast_sucking,double_breast_sucking,390,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2909,buruma_around_one_leg,,381,Extended,CLOTHING_EXPOSURE,,
2910,breast_curtain_lift,,374,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2911,grabbed_breast_over_shoulder,,333,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2912,scar_on_thigh,scar_on_thighs,324,Extended,BODY_STATE,,
2913,clitoral_stimulation_through_clothes,clitoral_stimulation_through_clothing,292,Extended,CLOTHING_EXPOSURE,FEMALE_GENITAL,
2914,head_under_another's_clothes,,288,Extended,CLOTHING_EXPOSURE,,
2915,toe_sucking,,285,Extended,ACTION_CONTACT,,
2916,explosion_gag,,284,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2917,thigh_freckles,,280,Extended,BODY_STATE,,
2918,bikini_bottom_around_leg,,279,Extended,CLOTHING_EXPOSURE,,
2919,bikini_bottom_lift,,261,Extended,CLOTHING_EXPOSURE,,
2920,bite_mark_on_ass,,257,Extended,BODY_STATE,BUTTOCK_ANAL,
2921,applying_gag,,256,Extended,ACTION_CONTACT,MOUTH_ORAL,BDSM_RESTRAINT
2922,removing_bra_under_shirt,,256,Extended,CLOTHING_EXPOSURE,,
2923,blood_on_shoulder,,249,Extended,FLUID_EXCRETION,,INJURY_R18G
2924,public_urination,,244,Extended,FLUID_EXCRETION,,
2925,spread_eagle_position,,236,Extended,POSE_SCENE,,
2926,hands_on_own_crotch,,232,Extended,ACTION_CONTACT,,
2927,biting_breast,breast_biting|boob_chomp,231,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2928,male_pregnancy,pregnant_man|mpreg|pregnancy_(male),225,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2929,unworn_butt_plug,,224,Extended,TOOL_OBJECT,BUTTOCK_ANAL,
2930,pregnancy_halo,fetus_halo,223,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2931,imminent_breast_grab,,222,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2932,mole_under_breast,,220,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2933,licking_leg,leg_licking|leg_lick,214,Extended,ACTION_CONTACT,,
2934,blood_on_stomach,,211,Extended,FLUID_EXCRETION,,INJURY_R18G
2935,bloomers_around_one_leg,,211,Extended,CLOTHING_EXPOSURE,,
2936,holding_gag,,209,Extended,ACTION_CONTACT,,BDSM_RESTRAINT
2937,underwear_around_one_leg,,199,Extended,CLOTHING_EXPOSURE,,
2938,breast_sucking_through_clothes,,196,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2939,leash_in_mouth,,189,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2940,thigh_peek,,182,Extended,CLOTHING_EXPOSURE,,
2941,wraparound_tape_gag,,179,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2942,pregnancy_mark,,172,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2943,poking_own_breast,,171,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2944,blood_on_back,,169,Extended,FLUID_EXCRETION,,INJURY_R18G
2945,sports_bra_peek,,167,Extended,CLOTHING_EXPOSURE,,
2946,licking_thigh,thigh_licking,163,Extended,ACTION_CONTACT,,
2947,scar_on_ass,,155,Extended,BODY_STATE,BUTTOCK_ANAL,
2948,licking_ass,,151,Extended,ACTION_CONTACT,BUTTOCK_ANAL,
2949,blood_from_neck,,144,Extended,FLUID_EXCRETION,,INJURY_R18G
2950,wings_through_clothes,,141,Extended,CLOTHING_EXPOSURE,,
2951,gag_chinstrap,gag_chin_strap,139,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
2952,after_birth,,130,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2953,cumdrip_through_panties,,128,Extended,CLOTHING_EXPOSURE,,
2954,sucking_on_multiple_breasts,,126,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2955,implied_breast_milk,,116,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2956,cumdrip_through_clothes,,114,Extended,CLOTHING_EXPOSURE,,
2957,bruise_on_ass,,107,Extended,BODY_STATE,BUTTOCK_ANAL,
2958,pants_around_thighs,,106,Extended,CLOTHING_EXPOSURE,,
2959,mutual_breast_sucking,,103,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2960,heart_butt_plug,,102,Extended,TOOL_OBJECT,BUTTOCK_ANAL,
2961,ovulation,,102,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2962,excessive_lactation,,101,Extended,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2963,leash_between_breasts,,98,Extended,TOOL_OBJECT,BREAST_NIPPLE,BDSM_RESTRAINT
2964,biting_ass,ass_biting|ass_bite|assbiting,97,Extended,ACTION_CONTACT,BUTTOCK_ANAL,
2965,bikini_top_peek,,96,Extended,CLOTHING_EXPOSURE,,
2966,fake_pregnancy,,96,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2967,multiple_pregnancy,,92,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2968,tattoo_between_breasts,,92,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2969,implied_lactation,,91,Extended,FLUID_EXCRETION,,REPRO_PREGNANCY_LACTATION
2970,head_between_legs,,89,Extended,CLOTHING_EXPOSURE,,
2971,holding_own_leg_back,,80,Extended,POSE_SCENE,,
2972,holding_another's_legs_back,,69,Extended,POSE_SCENE,,
2973,v_over_crotch,,69,Extended,CLOTHING_EXPOSURE,,
2974,touching_another's_crotch,,68,Extended,ACTION_CONTACT,,
2975,implied_male_pregnancy,,65,Extended,BODY_STATE,,REPRO_PREGNANCY_LACTATION
2976,framed_crotch,,64,Extended,CLOTHING_EXPOSURE,,
2977,tail_between_breasts,,63,Extended,CLOTHING_EXPOSURE,BREAST_NIPPLE,
2978,holding_butt_plug,,62,Extended,TOOL_OBJECT,BUTTOCK_ANAL,
2979,swimsuit_around_one_leg,,60,Extended,CLOTHING_EXPOSURE,,
2980,pantyhose_around_legs,,54,Extended,CLOTHING_EXPOSURE,,
2981,highleg_shorts,,52,Extended,CLOTHING_EXPOSURE,,
2982,hand_grabbing_both_breasts,,50,Extended,ACTION_CONTACT,BREAST_NIPPLE,
2983,muzzle_gag,,50,Extended,TOOL_OBJECT,MOUTH_ORAL,BDSM_RESTRAINT
