proposed_special_id,canonical_tag,post_count,proposed_layer,canonical_aliases,concept_area,nearest_existing_special,issue94_reason,kind_id,body_site_ids,theme_ids,display_ja,search_ja,browse_status,duplicate_guard,validation_status,source_issue94_commit,source_candidate_blob,notes
2789,clothes_lift,286238,Core,,BOUNDARY_CONCEPT,clothes aside (SpecialID 2653; score=0.566),specific clothing-lift/exposure action; Special has adjacent clothes adjustment/removal identities but not the lift relation itself,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2790,skindentation,161742,Core,,GENERAL_OTHER,fellatio (SpecialID 104; score=0.214),distinct body-surface/shape discovery concept,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2791,thick_thighs,159807,Core,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,GENERAL_OTHER,thick penis (SpecialID 1382; score=0.555),specific body-morphology identity; Special has detailed morphology families but no thigh-thickness identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2792,ass_visible_through_thighs,117628,Core,gluteal_fold|butt_fangs|ass_fangs,SPECIAL_EXPOSURE_CLOTHING_STATE,ass (SpecialID 2359; score=0.493),distinct visual relation useful for niche discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2793,clothes_pull,108268,Core,,BOUNDARY_CONCEPT,clit pull (SpecialID 1567; score=0.585),"real clothing-manipulation canonical, but Special clothes grab/adjusting clothes may already cover much of the discovery intent",,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2794,thigh_gap,97349,Core,,GENERAL_OTHER,thigh job (SpecialID 1641; score=0.542),distinct body-shape visual concept,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2795,lifting_own_clothes,88148,Core,lifted_by_self,GENERAL_OTHER,living clothes (SpecialID 1870; score=0.580),self-actor + clothing-lift relation is more specific than generic clothes adjustment/removal,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2796,breast_press,68311,Core,,SPECIAL_BODY_RELATION_STATE,breast (SpecialID 2632; score=0.750),specific body-contact/action concept rather than ordinary anatomy,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2797,breasts_apart,61893,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.765),specific breast-position/body-state identity not represented by generic breasts,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2798,micro_bikini,59624,Core,microbikini,SPECIAL_EXPOSURE_CLOTHING_STATE,crotchless bikini (SpecialID 2089; score=0.552),specific clothing/exposure subtype,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2799,blood_on_face,59531,Core,bloody_face,SPECIAL_R18G_BODY_STATE,blood (SpecialID 2164; score=0.667),localized blood/body-site state fits deep R18G discovery; broad blood does not identify the site relation,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2800,mole_on_breast,58430,Core,,SPECIAL_INTIMATE_ADORNMENT_STATE,breast (SpecialID 2632; score=0.687),specific body-mark + site relation; Special already carries analogous site-specific mole identities,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2801,bikini_top_only,43620,Core,bikini_top,SPECIAL_EXPOSURE_CLOTHING_STATE,untied bikini top (SpecialID 2061; score=0.615),specific partial-garment/exposure state rather than ordinary bikini identity,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2802,bouncing_breasts,38896,Core,,SPECIAL_EXPOSURE_CLOTHING_STATE,breasts (SpecialID 2170; score=0.724),specific breast-motion state; Special has analogous bouncing penis/testicles but not breasts,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2803,breasts_squeezed_together,37542,Core,breast_squeeze|breasts_squeeze,SPECIAL_BODY_RELATION_STATE,breasts (SpecialID 2170; score=0.614),specific breast-position/compression state useful for body/pose discovery,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2804,huge_ass,36503,Core,thick_ass|big_ass|big_butt,GENERAL_OTHER,ass (SpecialID 2359; score=0.695),specific body-morphology identity; Special already treats other huge anatomy variants as deep dictionary entries,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
2805,hand_between_own_legs,36500,Core,hand_between_own_thighs|hand_between_thighs|arm_between_own_legs|hand_between_legs,SPECIAL_EXPOSURE_CLOTHING_STATE,hand on own penis (SpecialID 797; score=0.550),specific self body-part spatial pose relation beyond generic hand/leg pose tags,,,,,,PENDING_CLASSIFICATION,PENDING_CURRENT_SPECIAL_CHECK,IDENTITY_LAYER_READY,b505f34956dc60e189e8c749fbe0cb187ad5154e,eb9d627e9b774194ec1ff6319374c983f18fb40f,
