cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-056774,kakifly,Artist,182,かきふらい,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.kyotoanimation.co.jp/works/k-on/,京都アニメーション作品情報で原作かきふらい表記を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-057221,hiwatari_rin,Artist,177,樋渡りん,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322310000773/,KADOKAWA刊行作品の著者名表記と整合,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-057373,barasui,Artist,175,ばらスィー,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.tbs.co.jp/ichigomashimaro/,苺ましまろ公式系作品情報の原作ばらスィー表記と整合,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-057398,katoki_hajime,Artist,175,カトキハジメ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://p-bandai.jp/,バンダイ公式商品群でカトキハジメ監修表記が継続使用されるため現表示を維持,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-057401,kobayashi_ritz,Artist,175,小林立,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://store.jp.square-enix.com/estore/g/g4988601539395/,スクウェア・エニックス公式商品で小林立先生表記を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-057649,takeuchi_naoko,Artist,173,武内直子,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kodansha.co.jp/comic/products/0000027190,講談社書誌で著者 武内直子を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039476,donpachi_(series),Copyright,212,怒首領蜂,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.cave.co.jp/news/%E6%80%92%E9%A6%96%E9%A0%98%E8%9C%82%E5%A4%A7%E5%BE%A9%E6%B4%BB%E3%81%8C%E3%83%AA%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%E3%81%A7%E5%86%8D%E5%A7%8B%E5%8B%95%EF%BC%81/,ケイブ公式で怒首領蜂シリーズ表記を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039486,tejina_senpai_(series),Copyright,212,手品先輩,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_TITLE,HIGH,https://www.kodansha.co.jp/comic/products/0000016640,講談社公式書誌の作品名 手品先輩を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039488,daiteikoku,Copyright,211,大帝国,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.alicesoft.com/daiteikoku/system.html,アリスソフト公式で大帝国表記を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039490,hito_mania_(utau),Copyright,211,人マニア,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.youtube.com/watch?v=L_5XcE4LrYs,原口沙輔Official Artist Channel配信タイトル 人マニアを確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039499,tate_no_yuusha_no_nariagari_rerise,Copyright,211,盾の勇者の成り上がり RERISE,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.youtube.com/@TV-zg4wu,公式ゲームプロジェクトチャンネル記載タイトルと一致,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039503,touhou_mystia's_izakaya,Copyright,210,东方夜雀食堂,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,東方夜雀食堂,,OFFICIAL_JA_TITLE,HIGH,https://store.steampowered.com/app/1584090/Touhou_Mystias_Izakaya/,日本語版で使用される東方夜雀食堂表記へ修正,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039513,sen'yuu.,Copyright,209,戦勇。,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_TITLE,HIGH,https://www.kodansha.co.jp/comic/products/0000045127,講談社公式書誌で戦勇。シリーズ名を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039517,touhou_sangetsusei,Copyright,209,東方三月精,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_TITLE,HIGH,https://store.kadokawa.co.jp/shop/g/g201111000496/,KADOKAWA公式商品名で東方三月精を確認,PROPOSED
cycle-0004,3,4cfe1484ad30a2a40353a3410dee4a02e2055c97f2e95520a1dbe0555019d48a,I70-039541,toushinden,Copyright,207,闘神伝,,NEEDS_EXTERNAL_CHECK,KEEP,,,RIGHTSHOLDER_TITLE,HIGH,https://edia.co.jp/wp-content/uploads/2025/10/%E3%80%8C%E9%97%98%E7%A5%9E%E4%BC%9D%E3%80%8D%E3%80%8C%E9%97%98%E7%A5%9E%E4%BC%9D2%E3%80%8D%E3%80%8C%E9%97%98%E7%A5%9E%E4%BC%9D3%E3%80%8D%E3%81%AE%E7%8F%BE%E8%A1%8C%E6%A9%9F%E7%A7%BB%E6%A4%8D%E9%96%8B%E7%99%BA%E6%B1%BA%E5%AE%9A%EF%BC%81%E3%80%8C%E9%97%98%E7%A5%9E%E4%BC%9D%E3%80%8D%E5%BE%A9%E6%B4%BB%EF%BC%8130%E5%91%A8%E5%B9%B4%E8%A8%98%E5%BF%B5%E3%80%81%E4%B8%96%E7%95%8C%E3%81%B8%E5%90%91%E3%81%91%E3%81%9F%E6%96%B0%E3%81%9F%E3%81%AA%E6%8C%91%E6%88%A6-1.pdf,商品化ライセンス契約先プレスリリースで闘神伝表記を確認,PROPOSED
