special_id,v1_primary,v1_secondary,candidate_kind,candidate_body_sites,candidate_themes,review_class,severity,review_note
594,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,penis awe should not be forced into SITUATION_SCENE or META_RATING
832,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`foot pussy` のidentityが身体変形・部位表現・行為のどれを主閲覧意図とするか現行説明だけでは確定できない。
904,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`tail anus` のidentityが非人間身体特徴・肛門部位・関係表現のどれを主閲覧意図とするか現行説明だけでは確定できない。
1005,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`body onahole` のidentityが身体変形・人体を器具化した表現・性具概念のどれを主閲覧意図とするか現行説明だけでは確定できない。
1027,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`poking penis` のidentityが陰茎形状・接触行為・構図のどれを主閲覧意図とするか現行説明だけでは確定できない。
1028,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`penis face` のidentityが構図・身体変形・接触関係のどれを主閲覧意図とするか現行説明だけでは確定できない。
1084,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`arm slave (mecha)` の実identity/日本語説明が不明瞭。旧説明だけでUI経路を確定しない。
1128,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,sex hair: browse intent unclear
1227,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,`cum on fourth wall` は物理付着/メタ演出のどちらを主閲覧にするか要追加確認。
1252,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,surface lacks covered meaning of target covered_nipples
1253,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,surface lacks covered meaning of target covered_nipples
1255,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,surface lacks covered meaning of target covered_nipples
1256,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,surface lacks covered meaning of target covered_nipples
1285,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,pussy veil -> pelvic_curtain needs canonical context
1308,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,gang rape adds non-consent absent from target gangbang
1577,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,surface says erect nipples but canonical target is covered_nipples
1608,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,naughty smile should not be forced into META_RATING or SITUATION_SCENE
1741,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,gagging can be sexual or non-sexual; source itself recommends sexual-tag context
1743,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,bj is an abbreviation with known false-positive risk outside sexual context
1757,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,doggy is a sexual-position shorthand in this source but is ambiguous as a standalone browse term
1758,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,gaping does not identify a stable body site or act without context
1759,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,generic prolapse lacks a body site and may be medical rather than sexual
1763,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,shit is also a general profanity; do not force the excretion shelf without context
1789,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,castration is also a legitimate medical procedure; do not force the R18G shelf without context
1790,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,orchiectomy is also a legitimate medical procedure; do not force the R18G shelf without context
1791,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,generic gape does not identify which body site is being browsed
1793,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,hysterectomy is also a legitimate medical procedure; do not force the R18G shelf without context
1794,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,oophorectomy is also a legitimate medical procedure; do not force the R18G shelf without context
1795,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,salpingectomy is also a legitimate medical procedure; do not force the R18G shelf without context
1797,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,insert is a general verb and does not identify a stable sexual browse path without context
1798,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,penetrate is a general verb and does not identify a stable sexual browse path without context
1802,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,vibe is a general word/slang outside vibrator context
1803,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,load is a common general word as well as semen/ejaculation slang
1804,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,spunk has non-sexual/general meanings in addition to semen slang
1808,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,coming is a general word as well as orgasm slang
1863,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,all the way through does not identify tentacles or a stable body site without context
1954,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,tied up is placed in BDSM source but canonical target is tied_up_(nonsexual); do not force a BDSM browse path
2043,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,balls can resolve outside anatomy without canonical context
2187,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,breeding can be sexual/reproductive or ordinary animal husbandry; do not force a sexual browse path without context
2317,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,wringing clothes should not be forced into SITUATION_SCENE
2353,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,minor can mean underage or simply lesser/smaller; do not force an age-role path without context
2501,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,whipping hair should not be forced into META_RATING or SITUATION_SCENE
2770,,,,,,REVIEW_V1_UNRESOLVED,BLOCKING,serving tray (bdsm) lacks enough evidence for a stable primary browse path
