special_id,primary_genre_id,primary_subgenre_id,secondary_paths,classification_status,ambiguity_note,v2_kind_id,v2_kind_ja,v2_body_sites,v2_body_sites_ja,v2_themes,v2_themes_ja,v2_status,v2_reason,v2_review_note
1,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BUTTOCK_ANAL,尻・肛門,,,AUTO_CANDIDATE,direct_primary_genre,
2,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BUTTOCK_ANAL,尻・肛門,,,AUTO_CANDIDATE,direct_primary_genre,
3,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BUTTOCK_ANAL,尻・肛門,,,AUTO_CANDIDATE,direct_primary_genre,
4,BODY_ANATOMY,BUTTOCK_ANUS,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BUTTOCK_ANAL,尻・肛門,,,AUTO_CANDIDATE,direct_primary_genre,
5,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BREAST_NIPPLE,乳房・乳首,,,AUTO_CANDIDATE,direct_primary_genre,
6,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BREAST_NIPPLE,乳房・乳首,,,AUTO_CANDIDATE,direct_primary_genre,
7,BODY_ANATOMY,BREAST_NIPPLE,,HUMAN_REVIEWED,,BODY_STATE,身体・状態,BREAST_NIPPLE,乳房・乳首,,,AUTO_CANDIDATE,direct_primary_genre,
8,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,MALE_GENITAL,男性器,,,AUTO_CANDIDATE,direct_primary_genre | intrinsic_generation_site_v0_6,
9,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,BODY_ANATOMY>BREAST_NIPPLE,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,BREAST_NIPPLE,乳房・乳首,,,AUTO_CANDIDATE,direct_primary_genre,
10,SEXUAL_ACTIVITY_STIMULATION,BEFORE_AFTER_ACT,,HUMAN_REVIEWED,,ACTION_CONTACT,行為・接触,,,,,AUTO_CANDIDATE,direct_primary_genre,
