identity_key,general_path,risk_family,phase
key_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
choker_jewel,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
sleeve_garter,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
pearl_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
blue_garter_straps,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
suspender_corset,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
lace-trimmed_garter_belt,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
pink_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
black_garter_straps,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
skull_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
tassel_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
butterfly_choker,CLOTHING/ACCESSORY,CLOTHING_CONTEXTUAL_RISK,DISCOVERY_V4
okamoto_condoms,OBJECT_PROP/DAILY,CONTRACEPTION_SEX_RELATED,DISCOVERY_V4
multiple_condoms,OBJECT_PROP/DAILY,CONTRACEPTION_SEX_RELATED,DISCOVERY_V4
too_many_condoms,OBJECT_PROP/DAILY,CONTRACEPTION_SEX_RELATED,DISCOVERY_V4
spiked_legwear_garter,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_belly_chain,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
star_o-ring,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_dress,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
studded_garter_belt,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
single_garter_strap,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_legwear_garter,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_necktie,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_garter_straps,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_bottom,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_leotard,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
o-ring_arm_strap,CLOTHING/ACCESSORY,FETISH_CODED_WEAR,DISCOVERY_V4
head_cage,OBJECT_PROP/DAILY,PREVIOUS_V3_RISK,DISCOVERY_V4
stripper_pole,PERSON_COUNT,PREVIOUS_V3_RISK,DISCOVERY_V4
cage,OBJECT_PROP,PREVIOUS_V3_RISK,DISCOVERY_V4
rectangular_cage,OBJECT_PROP/DAILY,PREVIOUS_V3_RISK,DISCOVERY_V4
suspended_cage,OBJECT_PROP/DAILY,PREVIOUS_V3_RISK,DISCOVERY_V4
stripper,PERSON_COUNT,PREVIOUS_V3_RISK,DISCOVERY_V4
holding_cage,ACTION_CONTACT/OBJECT_USE,PREVIOUS_V3_RISK,DISCOVERY_V4
bug_cage,OBJECT_PROP/DAILY,PREVIOUS_V3_RISK,DISCOVERY_V4
nontraditional_playboy_bunny,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
o-ring_slingshot_swimsuit,CLOTHING/ACCESSORY,SEXUALIZED_COSTUME,DISCOVERY_V4
playboy_bunny_vest,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
tailcoat_playboy_bunny,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
tactical_playboy_bunny,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
playboy_bunny_swimsuit,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
eyepatch_slingshot_swimsuit,CLOTHING/ACCESSORY,SEXUALIZED_COSTUME,DISCOVERY_V4
playboy_bunny,CLOTHING/COSTUME,SEXUALIZED_COSTUME,DISCOVERY_V4
oiran,PERSON_COUNT,SEXUAL_MEDIA_OR_ROLE,DISCOVERY_V4
pornstar,PERSON_COUNT,SEXUAL_MEDIA_OR_ROLE,DISCOVERY_V4
