row_id,canonical_tag,category,category_name,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top3
I70-008651,futagawa_fumi,4,Character,,,,,二川二水,,"[""assault_lily"",""2022_fifa_world_cup"",""world_cup""]"
I70-008652,gurren-lagann,4,Character,,,,,グレンラガン,,"[""tengen_toppa_gurren_lagann"",""neon_genesis_evangelion"",""gundam""]"
I70-008653,hashimoto_nyaa,4,Character,hashimoto_nyan,hashimoto nyan,,橋本にゃー,,,"[""osomatsu_(series)"",""osomatsu-san"",""osomatsu-san_the_movie""]"
I70-008654,karen-chan_(ringoanu),4,Character,,,,,理解のあるカレンちゃん,,"[""rikai_no_aru_karen-chan"",""comiket_103"",""comiket_102""]"
I70-008655,karina_(aespa),4,Character,,,,,カリナ,,"[""aespa"",""real_life"",""ive_(group)""]"
I70-008656,lao_jiu,4,Character,,,,,ラオチュウ,,"[""blazblue"",""blazblue:_calamity_trigger"",""blazblue:_chronophantasma""]"
I70-008657,matsukai_mao_(1st_costume),4,Character,,,,魔使マオ(通常),,,"[""nijisanji"",""nijisanji_kr"",""wixoss""]"
I70-008658,minthara,4,Character,minthara_(baldur's_gate),minthara (baldur's gate),,ミンサラ,明萨拉,,"[""baldur's_gate"",""baldur's_gate_3"",""dungeons_&_dragons""]"
I70-008659,nightmare_(nanashi_mumei),4,Character,,,,,,,"[""hololive"",""hololive_english"",""hololive_indonesia""]"
I70-008660,pramanix_the_prerita_(arknights),4,Character,,,,,圣聆初雪,,"[""arknights"",""ambience_synesthesia"",""arknights:_endfield""]"
I70-008661,rio_rollins,4,Character,rio_rollins_tachibana,rio rollins tachibana,,リオ | リオ・ロリンズ・タチバナ,,,"[""super_blackjack"",""rio_-rainbow_gate!-"",""dead_or_alive""]"
I70-008662,sin_kiske,4,Character,,,,シン(ギルティギア) | シン=キスク | シン・キスク,,,"[""guilty_gear"",""guilty_gear_xrd"",""guilty_gear_strive""]"
I70-008663,thief_(final_fantasy),4,Character,,,,シーフ,,,"[""final_fantasy"",""final_fantasy_x"",""final_fantasy_x-2""]"
I70-008664,adagumo_no_saragimaru,4,Character,,,,,くろさら,,"[""len'en"",""earthen_miraculous_sword"",""reactivate_majestical_imperial""]"
I70-008665,agent_8_(side_order),4,Character,,,,,,,"[""splatoon_(series)"",""splatoon_3"",""splatoon_3:_side_order""]"
I70-008666,amano_soraha,4,Character,,,,,天野天葉,,"[""assault_lily"",""2022_fifa_world_cup"",""atelier_(series)""]"
I70-008667,diancie,4,Character,,,,ディアンシー,,,"[""pokemon"",""pokemon_masters_ex"",""pokemon_(anime)""]"
I70-008668,guizhong_(genshin_impact),4,Character,,,,,帰終 | 归终,Guizhong,"[""genshin_impact"",""honkai_(series)"",""honkai:_star_rail""]"
I70-008669,howard_alt-eisen,4,Character,,,,,ハワード,,"[""ragnarok_online"",""ragnarok_masters"",""durarara!!""]"
