identity_key,general_path,general_confidence,lex_flags,cluster_key,cluster_size,phase
pump_action,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
holding_manga,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
trigger_discipline,ACTION_CONTACT/OBJECT_USE,MEDIUM,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
holding_pointer,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
fan_to_mouth,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
applying_lipstick,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,DISCOVERY
object_behind_ear,ACTION_CONTACT/OBJECT_USE,MEDIUM,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
holding_puzzle_piece,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
biting_coin,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
holding_stethoscope,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
holding_ice_cream,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
holding_fruit,ACTION_CONTACT/OBJECT_USE,HIGH,NONE,ACTION_CONTACT/OBJECT_USE|NONE,754,HOLDOUT
other_with_other,PERSON_COUNT,HIGH,NONE,PERSON_COUNT|NONE,745,DISCOVERY
female_orc,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,DISCOVERY
nazi,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,DISCOVERY
mixed_maids,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,DISCOVERY
goalkeeper,PERSON_COUNT,HIGH,NONE,PERSON_COUNT|NONE,745,DISCOVERY
elephant_boy,PERSON_COUNT,HIGH,NONE,PERSON_COUNT|NONE,745,DISCOVERY
nontraditional_miko,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,HOLDOUT
boc'z_(umamusume),PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,HOLDOUT
family_tree,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,HOLDOUT
channel_ppp,PERSON_COUNT,HIGH,NONE,PERSON_COUNT|NONE,745,HOLDOUT
zabrak,PERSON_COUNT,MEDIUM,NONE,PERSON_COUNT|NONE,745,HOLDOUT
standard_bearer,PERSON_COUNT,HIGH,NONE,PERSON_COUNT|NONE,745,HOLDOUT
swaying_hip,POSE_MOVEMENT,HIGH,NONE,POSE_MOVEMENT|NONE,727,DISCOVERY
getting_up,POSE_MOVEMENT,HIGH,NONE,POSE_MOVEMENT|NONE,727,DISCOVERY
