identity_key,general_path,general_confidence,lex_flags,cluster_key,cluster_size,phase
dragon_tattoo,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
camel_ears,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
tattoo_sleeve,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
skin_seams,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
split-color_skin,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
sperm_cell,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,DISCOVERY
sweat_stain,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
toe_seam,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
deformed,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
freckles,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
x_mouth,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
crab_claw,BODY_PART,HIGH,NONE,BODY_PART|NONE,1708,HOLDOUT
aventail,CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
tamamo_cat_(fate)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
cammy_white_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
jeanne_d'arc_alter_santa_lily_(fate)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
aigis_(fate),CLOTHING/COSTUME,MEDIUM,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
fujimaru_ritsuka_(female)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,DISCOVERY
choir_outfit_(utdr),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
armet,CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
fujiwara_no_mokou_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
mogador_(azur_lane)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
aris_(blue_archive)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
scamp_(kancolle)_(cosplay),CLOTHING/COSTUME,HIGH,NONE,CLOTHING/COSTUME|NONE,1219,HOLDOUT
repeating_crossbow,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
possibility_of_puberty_(sword),OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
magic_bullet_(e.g.o),OBJECT_PROP/WEAPON,MEDIUM,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
hacksaw,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
javelin_(spear),OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
sword_of_the_creator,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,DISCOVERY
pk_machine_gun,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
m60_(machine_gun),OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
bullet,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
nameless_axe-sword_(fate),OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
needle_sword,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
crowbar,OBJECT_PROP/WEAPON,HIGH,NONE,OBJECT_PROP/WEAPON|NONE,1054,HOLDOUT
crosshatching,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
missing_poster,STYLE_QUALITY_META,MEDIUM,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
ganbare!_nakamura-kun!!_cover_parody,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
gustav_klimt_(style),STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
sketch_inset,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
stereogram,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,DISCOVERY
jikkyou_powerful_pro_yakyuu_(style),STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
official_art_inset,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
video_game_cover,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
flourish_(design),STYLE_QUALITY_META,MEDIUM,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
tape_censor,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
cinderella_girls_card_parody,STYLE_QUALITY_META,HIGH,NONE,STYLE_QUALITY_META|NONE,950,HOLDOUT
fruit_basket,OBJECT_PROP/FOOD,HIGH,NONE,OBJECT_PROP/FOOD|NONE,803,DISCOVERY
