identity_key,general_path,general_confidence,lex_flags,cluster_key,cluster_size,phase
cool_colors,COLOR_APPEARANCE,MEDIUM,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
constellation_print,COLOR_APPEARANCE,MEDIUM,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
kikumon,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
musical_note_print,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
scorch_mark,COLOR_APPEARANCE,MEDIUM,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
playing_card_theme,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,DISCOVERY
centipede_print,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
meandros_border,COLOR_APPEARANCE,MEDIUM,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
american_flag_print,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
war_paint,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
four-leaf_clover_print,COLOR_APPEARANCE,MEDIUM,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
gradient_shadow,COLOR_APPEARANCE,HIGH,NONE,COLOR_APPEARANCE|NONE,494,HOLDOUT
b-29_superfortress,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
sled,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
autogyro,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
lada_(car),OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
nissan_skyline_r33,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
destroyer,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,DISCOVERY
tractor,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
honda_civic,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
airship,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
harley_davidson,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
biplane,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
ford_crown_victoria,OBJECT_PROP/VEHICLE,HIGH,NONE,OBJECT_PROP/VEHICLE|NONE,462,HOLDOUT
blush_visible_through_hands,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
stifled_laugh,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
misunderstanding,EXPRESSION_EMOTION,MEDIUM,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
satisfied,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
blush_spirals,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
:t,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,DISCOVERY
0w0,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
ara_ara,EXPRESSION_EMOTION,MEDIUM,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
serious,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
do_not_want,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
crying_with_eyes_open,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
cowering,EXPRESSION_EMOTION,HIGH,NONE,EXPRESSION_EMOTION|NONE,358,HOLDOUT
bow_(music),OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,DISCOVERY
z-crystal,OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,DISCOVERY
ghost_driver,OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,DISCOVERY
ukulele,OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,DISCOVERY
color_picker,OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,DISCOVERY
green_shell_(mario),OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,DISCOVERY
glowing_object,OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,HOLDOUT
vintage_microphone,OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,HOLDOUT
great_grail,OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,HOLDOUT
cherish_ball,OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,HOLDOUT
vertical_scroll_comic,OBJECT_PROP,HIGH,NONE,OBJECT_PROP|NONE,232,HOLDOUT
idol_heart_incom,OBJECT_PROP,MEDIUM,NONE,OBJECT_PROP|NONE,232,HOLDOUT
wet_bra,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
leaf_bra,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
mismatched_underwear,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
object_in_panties,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
multi-strapped_bra,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
bridgeless_bra,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,DISCOVERY
cherry_print_panties,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,HOLDOUT
strawberry_print_panties,CLOTHING/EVERYDAY,HIGH,EXPOSURE,CLOTHING/EVERYDAY|EXPOSURE,176,HOLDOUT
