proposal_id,special_id,special_term_snapshot,relation_fit,review_reason_ja,evidence_ref,review_batch_id,note
FRP_P1_SELF_ACTION_SOLO_V1,85,crotch rub,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,86,futanari masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,88,masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,89,masturbation through clothes,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,90,masturbation under clothes,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,92,pillow humping,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,93,stealth masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,94,table humping,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,95,tail masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,512,spreading own pussy,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,679,female masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,704,autofellatio,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,705,male masturbation,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,778,spreading own anus,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
FRP_P1_SELF_ACTION_SOLO_V1,938,masturbating while watching,APPLIES_SAME_RELATION,自己行為を単独主体として構成する同一の任意補助relationが適用可能。,STAGE8C_PILOT001_SELF_ACTION_15_MEMBER_REVIEW,STAGE8C_PHASE1_PILOT001,NOT_TESTED
