semantic_id,special_id,semantic_term,ja_label,en_concept,candidate_canonical,relation_type,notes,review_status
SEM0001,4,bare anus,肛門露出を強調する俗語,bare anus,,UNMAPPED,肛門露出を強調する俗語（bare anus）,UNREVIEWED
SEM0002,5,exposed genitals,性器露出,exposed genitals,,UNMAPPED,性器露出（exposed genitals）,UNREVIEWED
SEM0003,6,genital closeup,性器の接写,genital closeup,,UNMAPPED,性器の接写（genital closeup）,UNREVIEWED
SEM0004,7,visible genitals,性器が見える描写,visible genitals,,UNMAPPED,性器が見える描写（visible genitals）,UNREVIEWED
SEM0005,68,after buttjob,尻を使った性器刺激の直後,after buttjob,,UNMAPPED,尻を使った性器刺激の直後（after buttjob）,UNREVIEWED
SEM0006,69,after frottage,性器や身体をこすり合わせた直後,after frottage,,UNMAPPED,性器や身体をこすり合わせた直後（after frottage）,UNREVIEWED
SEM0007,70,automatic sex,自動化された性行為,automatic sex,,UNMAPPED,自動化された性行為（automatic sex）,UNREVIEWED
SEM0008,71,backjob,背中や腰まわりを使った性器摩擦,backjob,,UNMAPPED,背中や腰まわりを使った性器摩擦（backjob）,UNREVIEWED
SEM0009,72,building sex,建物や構造物に身体をこすりつける性的表現,building sex,,UNMAPPED,建物や構造物に身体をこすりつける性的表現（building sex）,UNREVIEWED
SEM0010,73,navel sex,へそを使った性的刺激・挿入表現,navel sex,,UNMAPPED,へそを使った性的刺激・挿入表現（navel sex）,UNREVIEWED
SEM0011,74,nosejob,鼻を使った性的刺激・挿入系フェティッシュ,nosejob,,UNMAPPED,鼻を使った性的刺激・挿入系フェティッシュ（nosejob）,UNREVIEWED
SEM0012,75,stealth paizuri,人目を避けて隠れて行うパイズリ,stealth paizuri,,UNMAPPED,人目を避けて隠れて行うパイズリ（stealth paizuri）,UNREVIEWED
SEM0013,76,coitus,性交,coitus,,UNMAPPED,性交（coitus）,UNREVIEWED
SEM0014,77,intercourse,性交,intercourse,,UNMAPPED,性交（intercourse）,UNREVIEWED
SEM0015,78,jerk off,男性自慰・手淫の俗語,jerk off,,UNMAPPED,男性自慰・手淫の俗語（jerk off）,UNREVIEWED
SEM0016,79,jerking off,男性自慰・手淫の俗語,jerking off,,UNMAPPED,男性自慰・手淫の俗語（jerking off）,UNREVIEWED
SEM0017,80,penetrative sex,挿入を伴う性交,penetrative sex,,UNMAPPED,挿入を伴う性交（penetrative sex）,UNREVIEWED
SEM0018,81,sexual activity,性的行為全般,sexual activity,,UNMAPPED,性的行為全般（sexual activity）,UNREVIEWED
SEM0019,82,sexual intercourse,性交,sexual intercourse,,UNMAPPED,性交（sexual intercourse）,UNREVIEWED
SEM0020,83,sexual stimulation,性的刺激,sexual stimulation,,UNMAPPED,性的刺激（sexual stimulation）,UNREVIEWED
SEM0021,96,jerkoff,自慰の俗語,jerkoff,,UNMAPPED,自慰の俗語（jerkoff）,UNREVIEWED
SEM0022,97,self pleasure,自慰・自己刺激,self pleasure,,UNMAPPED,自慰・自己刺激（self pleasure）,UNREVIEWED
SEM0023,98,self stimulation,自慰・自己刺激,self stimulation,,UNMAPPED,自慰・自己刺激（self stimulation）,UNREVIEWED
SEM0024,99,solo masturbation,一人での自慰,solo masturbation,,UNMAPPED,一人での自慰（solo masturbation）,UNREVIEWED
