proposed_special_id,canonical_tag,display_ja,search_ja,ja_status,ja_note
2887,view_between_legs,脚の間からの視点,脚の間越しの視点|股下越しの視点|脚の間から見る,PROPOSED_HUMAN,
2888,panties_around_thighs,太ももまで下げたパンティ,太ももにパンティ|パンティを腿まで下げる,PROPOSED_HUMAN,
2889,navel_peek,へそチラ,へそチラ見せ|へそがちら見え|おへそチラ,PROPOSED_HUMAN,
2890,clothes_between_exposed_breasts,露出した胸の間に服,露出乳房の間に服|胸の谷間に服,PROPOSED_HUMAN,
2891,sucking_own_breasts,自分の胸を吸う,自分の乳房を吸う|セルフ胸吸い,PROPOSED_HUMAN,
2892,bursting_ass,はち切れそうな尻,服からはみ出す尻|はち切れそうなお尻,PROPOSED_HUMAN,canonicalの誇張された尻の状態を直訳寄りで保持
2893,lactating_into_container,容器に搾乳,容器へ母乳を出す|ボトルに搾乳|カップに搾乳,PROPOSED_HUMAN,
2894,piercing_through_clothes,服越しに見えるピアス,服越しのピアス|ピアスが服越しに見える,PROPOSED_HUMAN,through clothesを可視関係として提案
2895,tail_around_another's_leg,他人の脚に巻き付く尻尾,相手の脚に巻く尻尾|他人の足に巻き付く尻尾,PROPOSED_HUMAN,
2896,swimsuit_lift,水着を持ち上げる,水着をめくる|水着上げ,PROPOSED_HUMAN,
2897,bikini_visible_through_clothes,服越しに見えるビキニ,服越しのビキニ|ビキニが服越しに見える,PROPOSED_HUMAN,
2898,ass_lift,尻を持ち上げる,お尻を持ち上げる|尻上げ,PROPOSED_HUMAN,
2899,gag_around_neck,首に掛けた猿轡,首に掛けたギャグ|首の猿轡|ギャグを首に掛ける,PROPOSED_HUMAN,口内装着ではないため首周りの状態として表現
2900,forced_lactation,強制的な乳汁分泌,強制ラクテーション|強制授乳|強制搾乳,PROPOSED_HUMAN,授乳行為と断定せずlactation本体を優先
2901,blood_on_feet,足に血,両足に血|血まみれの足,PROPOSED_HUMAN,
2902,stuffed_gag,詰め物式の猿轡,詰め物ギャグ|口に詰める猿轡|詰め物猿轡,PROPOSED_HUMAN,
2903,grabbing_multiple_others'_breasts,複数人の胸を掴む,複数人の乳房を掴む|何人もの胸を掴む,PROPOSED_HUMAN,
2904,head_under_skirt,スカートの中に頭,スカート内に頭|スカートの下に頭,PROPOSED_HUMAN,
2905,bra_slip,ずれたブラ,ブラずれ|ブラジャーずれ|ブラがずれる,PROPOSED_HUMAN,
2906,male_lactation,男性の乳汁分泌,男性ラクテーション|男性授乳|男性の母乳,PROPOSED_HUMAN,lactation本体を優先
2907,pantyhose_around_one_leg,片脚に引っかかったパンスト,パンストを片脚に掛ける|片脚だけパンスト,PROPOSED_HUMAN,
2908,cooperative_breast_sucking,協力して胸を吸う,二人で胸を吸う|協力して乳房を吸う|ダブル胸吸い,PROPOSED_HUMAN,
2909,buruma_around_one_leg,片脚に引っかかったブルマ,ブルマを片脚に掛ける|片脚だけブルマ,PROPOSED_HUMAN,
2910,breast_curtain_lift,ブレストカーテンを持ち上げる,胸カーテンをめくる|ブレストカーテン上げ,PROPOSED_HUMAN,既存Danbooru概念名をカタカナで保持
