proposed_special_id,canonical_tag,display_ja,search_ja,ja_status,ja_note
2838,hand_under_clothes,服の中に手,服の下に手|服の内側に手,PROPOSED_HUMAN,
2839,unaligned_breasts,左右ずれた胸,胸の位置がずれている|非対称な胸|左右で位置の違う胸,PROPOSED_HUMAN,
2840,blood_from_eyes,目から出血,目から血|血の涙|血涙,PROPOSED_HUMAN,
2841,cloth_gag,布製の猿轡,布ギャグ|布の猿轡|布製ギャグ,PROPOSED_HUMAN,
2842,head_between_breasts,胸の間に頭,乳房の間に頭|胸に頭を挟む,PROPOSED_HUMAN,
2843,mole_on_ass,尻のほくろ,お尻のほくろ,PROPOSED_HUMAN,
2844,blood_on_arm,腕に血,血まみれの腕|腕の血,PROPOSED_HUMAN,
2845,tail_around_own_leg,自分の脚に巻き付く尻尾,自分の足に巻く尻尾|脚に巻き付いた尻尾,PROPOSED_HUMAN,
2846,projectile_lactation,噴き出す母乳,母乳噴射|乳汁噴射|勢いよく出る母乳,PROPOSED_HUMAN,
2847,presenting_own_ass,自分の尻を見せつける,尻を見せる|お尻を見せつける|尻を突き出して見せる,PROPOSED_HUMAN,
2848,micro_panties,マイクロパンティ,極小パンティ|極小下着,PROPOSED_HUMAN,
2849,hands_on_own_ass,自分の尻に両手,自分のお尻に両手|尻に両手を置く,PROPOSED_HUMAN,
2850,bouncing_ass,揺れる尻,尻揺れ|お尻が揺れる,PROPOSED_HUMAN,
2851,arm_between_breasts,胸の間に腕,乳房の間に腕|胸に腕を挟む,PROPOSED_HUMAN,
2852,presenting_own_breasts,自分の胸を見せつける,胸を見せる|乳房を見せつける,PROPOSED_HUMAN,
2853,tail_between_legs,脚の間に尻尾,足の間に尻尾|太ももの間に尻尾,PROPOSED_HUMAN,
2854,leotard_peek,レオタードチラ見せ,レオタードちら見え|レオタードチラ,PROPOSED_HUMAN,
2855,blood_on_leg,脚に血,足に血|血まみれの脚,PROPOSED_HUMAN,
2856,clothes_between_thighs,太ももの間に服,腿の間に服|太ももに挟まった服,PROPOSED_HUMAN,
2857,face_between_breasts,胸の間に顔,乳房の間に顔|胸に顔を埋める,PROPOSED_HUMAN,motorboating aliasも検索補助の英語alias側で保持
2858,holding_own_legs_back,自分の脚を後ろに抱える,自分の脚を後ろに持つ|脚を後ろへ引いて持つ,PROPOSED_HUMAN,
2859,shorts_around_one_leg,片脚に引っかかったショートパンツ,片脚にショーツ|短パンを片脚に掛ける,PROPOSED_HUMAN,
2860,standing_doggystyle,立ちバック,立位後背位|立ったまま後背位|立ち後背位,PROPOSED_HUMAN,
2861,blood_on_chest,胸部に血,胸板に血|胸部の血,PROPOSED_HUMAN,breastsとの区別のため胸部表記
2862,hand_on_own_crotch,自分の股間に手,股間に手を置く|自分のクロッチに手,PROPOSED_HUMAN,
2863,sports_bra_lift,スポーツブラを持ち上げる,スポブラをめくる|スポーツブラ上げ,PROPOSED_HUMAN,
2864,blood_on_breasts,乳房に血,胸に血|血の付いた乳房|血まみれの胸,PROPOSED_HUMAN,
2865,blood_on_neck,首に血,血まみれの首|首の血,PROPOSED_HUMAN,
2866,ass_tattoo,尻のタトゥー,お尻の刺青|尻の刺青,PROPOSED_HUMAN,
2867,bite_mark_on_breast,胸の噛み跡,乳房の噛み跡|胸に歯形,PROPOSED_HUMAN,
2868,pubic_tattoo_visible_through_clothes,服越しに見える陰部タトゥー,服越しの陰部タトゥー|恥骨部タトゥーが服越しに見える,PROPOSED_HUMAN,
2869,micro_bra,マイクロブラ,極小ブラ|極小ブラジャー,PROPOSED_HUMAN,
2870,armpit_hair_peek,脇毛チラ見せ,脇毛ちら見え|脇毛チラ,PROPOSED_HUMAN,
2871,head_between_thighs,太ももの間に頭,腿の間に頭|太ももに頭を挟む,PROPOSED_HUMAN,
2872,ass_press,尻を押し付ける,尻押し付け|お尻を押し付ける,PROPOSED_HUMAN,
2873,implied_pregnancy,妊娠の示唆,妊娠を示唆|暗示された妊娠|妊娠描写の示唆,PROPOSED_HUMAN,
2874,licking_breast,胸を舐める,乳房舐め|乳房を舐める,PROPOSED_HUMAN,
2875,blood_in_mouth,口の中に血,口内に血|口内出血描写,PROPOSED_HUMAN,
2876,skirt_peek,スカートチラ見せ,スカートちら見え|スカートチラ,PROPOSED_HUMAN,
2877,holding_pregnancy_test,妊娠検査薬を持つ,妊娠検査キットを持つ|妊娠テストを持つ,PROPOSED_HUMAN,
2878,pants_around_one_leg,片脚に引っかかったズボン,ズボンを片脚に掛ける|片脚だけズボン,PROPOSED_HUMAN,
2879,mole_on_crotch,股間のほくろ,鼠径部のほくろ|クロッチのほくろ,PROPOSED_HUMAN,
2880,scar_on_breast,胸の傷跡,乳房の傷跡|胸の傷,PROPOSED_HUMAN,
2881,ass_freckles,尻のそばかす,お尻のそばかす,PROPOSED_HUMAN,
2882,blood_on_mouth,口元に血,口の周りに血|唇に血|口外の血,PROPOSED_HUMAN,blood_in_mouthとの区別のため口元表記
2883,spreading_own_ass,自分の尻を広げる,尻を開く|お尻を広げる,PROPOSED_HUMAN,
2884,bikini_around_one_leg,片脚に引っかかったビキニ,ビキニを片脚に掛ける|片脚だけビキニ,PROPOSED_HUMAN,
2885,breast_freckles,胸のそばかす,乳房のそばかす,PROPOSED_HUMAN,
2886,panties_visible_through_clothes,服越しに見えるパンティ,服越しのパンティ|パンティが服越しに見える|下着が服越しに見える,PROPOSED_HUMAN,
