identity_key,redteam_flags,candidate_state
a-line_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
adidas,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
air_jordan,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
air_jordan_1,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
air_max,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
alternate_bottom_wear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
alternate_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
alternate_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
alternate_skirt_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
alternate_sleeve_length,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_dress,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_neckwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_pants,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_shirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
american_flag_skirt,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
animal-themed_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
animal_ear_footwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
animal_ear_legwear,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
animal_shoes,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
animal_slippers,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
ankle_boots,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
ankle_socks,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
ao_dai,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
aoqun,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
apron,,CLEAN_FOR_FRESH_HOLDOUT_V12_2
