canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status,issue94_crosswalk,issue94_final_status,issue94_final_reason,review_source,product_fit_decision,product_fit_reason
pointless_condom,3231,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL,NOT_IN_ISSUE94_FINAL_REVIEW,,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,NEEDS_DEFINITION_REVIEW,high-frequency rescue surface needs exact definition or duplicate/substantive-coverage check before Special admission
cuffed,727,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL,NOT_IN_ISSUE94_FINAL_REVIEW,,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,NEEDS_DEFINITION_REVIEW,high-frequency rescue surface needs exact definition or duplicate/substantive-coverage check before Special admission
rope_around_neck,572,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL,NOT_IN_ISSUE94_FINAL_REVIEW,,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,NEEDS_DEFINITION_REVIEW,high-frequency rescue surface needs exact definition or duplicate/substantive-coverage check before Special admission
breast_drop,341,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
groping_motion,336,,1,SEX_ACT_RELATION,1,SEX_ACT_RELATION:\bgrop\w*\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
powerful_breasts,312,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
edging_underwear,211,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL,NOT_IN_ISSUE94_FINAL_REVIEW,,,HIGH_FREQUENCY_UNFLAGGED_RESCUE,NEEDS_DEFINITION_REVIEW,high-frequency rescue surface needs exact definition or duplicate/substantive-coverage check before Special admission
offering_leash,159,,1,BDSM_RESTRAINT,1,BDSM_RESTRAINT:\bleash\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
saliva_pool,159,,1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bsaliva\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
uterus_pose,140,,1,REPRODUCTION_PREGNANCY,1,REPRODUCTION_PREGNANCY:\buterus\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
single_breast,125,missing_breast,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bbreasts?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
excessive_saliva,118,,1,FLUID_EXCRETION,1,FLUID_EXCRETION:\bsaliva\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL,NEW_TO_ADULT_FOCUSED_REVIEW,,not present in Issue #94 final 324-row review candidate/exclusion outcome,STRICT_CANONICAL_ADULT_PRIORITY,NEEDS_DEFINITION_REVIEW,surface appears potentially relevant but exact Danbooru semantics or product boundary needs definition-level confirmation
