canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status
1girl,8363808,"sole_female,1girls",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
solo,7023696,"female_solo,solo_female",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
long_hair,6171882,"/lh,longhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
looking_at_viewer,4883889,"pov_eye_contact,/pec,/lav",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
smile,4146408,":},:),smiling",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
blush,4078848,"flushed,flush,blushing",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
open_mouth,3492460,mouth_open,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
short_hair,3114507,"short-hair,shorthair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
shirt,2920119,"shirt_only,shirts",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
simple_background,2837890,"/simplebg,/sbg",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
blue_eyes,2457516,"light_blue_eyes,blueeyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
long_sleeves,2341565,"long_sleeve,/lsleeves",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
white_background,2326548,"/whitebg,/wbg",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
large_breasts,2245881,"big_breasts,/lb,large_boobs,large_breast,large_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
black_hair,2188280,"/blackh,dark_hair,black-hair,blackhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
holding,2188192,"holding_object,hold",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
skirt,2168875,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
blonde_hair,2159042,"gold_hair,/blondeh,blond_hair,yellow_hair,blond,blondehair,blonde",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
1boy,2116523,"sole_male,1boys",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
multiple_girls,2101477,/ngirls,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
brown_hair,2077916,"chocolate_hair,/brownh,brown-hair,brunette,brownhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hair_ornament,2057746,"/hornament,hair_decs,hair_accessories,hair_ornaments,hair_accessory",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
closed_mouth,1953506,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
dress,1941505,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
gloves,1929194,glove,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hair_between_eyes,1774591,bangs_between_eyes,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
red_eyes,1769044,"red_eye,redeyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
animal_ears,1749056,"pokemon_ears,kemonomimi",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
bow,1720421,bows,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hat,1690942,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
navel,1597860,"bellybutton,belly_button",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
jewelry,1591378,"jewellery,jewelery",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
jacket,1483343,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
ribbon,1455330,ribbons,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
2girls,1429740,"2_girls,2girl",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
very_long_hair,1406626,"hair_past_waist,/vlh",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
white_shirt,1405157,white_blouse,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
bare_shoulders,1389372,"bare_shoulder,bareshoulders",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
standing,1325427,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
sitting,1306615,"sitting_down,sit",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
full_body,1274313,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
twintails,1230754,"/tt,twintaiks,twin_tails,twintail",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
medium_breasts,1209874,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
blue_hair,1194932,"/blueh,bluehair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
purple_eyes,1193049,"light_purple_eyes,violet_eyes,purpleeyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
tail,1190752,"tails,animal_tail,animal_tails,shippo",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
green_eyes,1189010,"green-eyes,greeneyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
upper_body,1186770,bust,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
multicolored_hair,1179005,"three-tone_hair,multicolor_hair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
male_focus,1121714,"guys_only,boys_only,male,man,male_only,men",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
collarbone,1103749,"clavicle,collarbones,clavicles",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
brown_eyes,1086821,"light_brown_eyes,browneyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
pink_hair,1055399,"/pinkh,magenta_hair,pinkhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
closed_eyes,1053019,eyes_closed,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
school_uniform,1052232,"school_girl,school_uniforms,schoolgirl,seifuku,/s",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
white_hair,1037445,whitehair,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
grey_hair,1021742,gray_hair,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
yellow_eyes,1016315,"golden_eyes,golden_eyes,hazel_eyes,amber_eyes,hazeleyes,gold_eyes,yelloweyes",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
underwear,1013382,"shitagi,undergarments",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
ahoge,966626,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
ponytail,960399,"long_ponytail,pony_tail",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
sidelocks,933367,"payot,forelocks",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
braid,922824,"hair_braid,braided_hair,braids",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
swimsuit,914692,"bathing_suit,swimsuits,swim_suit,mizugi",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
purple_hair,911457,"lavender_hair,/purpleh,violet_hair,purple-hair,purplehair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
short_sleeves,906681,/ssleeves,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
heart,900089,"hearts,<3",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
flower,881590,flowers,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
earrings,850212,"grey_earrings,black_earrings,white_earrings,yellow_earrings,green_earrings,aqua_earrings,purple_earrings,pink_earrings,brown_earrings,red_earrings,blue_earrings,ear_rings,ear_ring,earring",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
monochrome,849734,"monochromatic,monochorme,/m,monochome",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
shoes,849253,shoe,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
:d,848163,open-mouth_smile,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
cowboy_shot,848032,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
thighs,830092,thigh,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
weapon,809860,weapons,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
outdoors,805691,"outside,outdoor",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hair_ribbon,793543,"ribbon_hair_ornament,/hribbon,ribbon_in_hair,ribbons_in_hair,hair_ribbons",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
frills,769288,"frilled,ruffles,frill,frilly",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
teeth,769167,bared_teeth,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
sweat,766854,sweating,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
collared_shirt,758286,collared_blouse,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hair_bow,757454,"hairbow,hair_bows",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
parted_lips,740475,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
pantyhose,734418,"tights,panty_hose",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
red_hair,732169,"/redh,redhead,red_head,redhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
comic,727808,"manga,comics",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
small_breasts,713639,,1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
pleated_skirt,706880,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
pants,702753,"slacks,long_pants,trousers",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hairband,701393,hair_band,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
boots,699511,"naked_boots,boot",0,,0,,1,EXPOSURE_FETISH_CLOTHING,EXPOSURE_FETISH_CLOTHING:\bnaked\b,ALIAS_ADULT_SIGNAL_ONLY,GENERAL_CANONICAL_NOT_IN_SPECIAL
bikini,697865,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
multiple_boys,692844,/nboys,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
greyscale,688131,"black_and_white,b&w,grayscale",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
horns,686235,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
black_gloves,673542,black_glove,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
necktie,660205,"neck_tie,tie",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
censored,657527,"censoring,censor",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
shorts,656892,short_pants,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
virtual_youtuber,644818,vtuber,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
alternate_costume,642794,"alternate_outfit,/acos,alternative_costume,alternate_outfit",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
medium_hair,636294,shoulder-length_hair,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
sleeveless,632016,no_sleeves,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
wings,623477,wing,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
artist_name,620576,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
lying,620505,"lying_down,laying_down,laying",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
food,620482,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
one_eye_closed,617557,wink,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
choker,617251,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
sky,616740,sky_background,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
pointy_ears,597428,"elven_ears,elf_ears,pointy_ear,pointed_ears,long_ears,pointy-ears",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
green_hair,589067,"/greenh,greenhair",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
official_alternate_costume,567672,"official_alternate_outfit,alternate_costume_(official)",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
hand_up,557169,"raised_hand,hand_raised,one_hand_raised",0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
tongue,553926,tongues,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
indoors,548697,,0,,0,,0,,,UNFLAGGED,GENERAL_CANONICAL_NOT_IN_SPECIAL
