canonical_tag,post_count,aliases,canonical_adult_domain_count,canonical_adult_domains,canonical_adult_signal_count,canonical_adult_signals,alias_only_adult_domain_count,alias_adult_domains,alias_adult_signals,review_priority,coverage_status
breast_milk_in_container,1219,breast_milk,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,3,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,0,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
daijoubu?_oppai_momu?_(meme),470,daijoubu?_oppai_momu?,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
iced_latte_with_breast_milk_(meme),421,,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,3,BREAST_NIPPLE_AREOLA:\bbreast milk\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bbreast milk\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
oppai_mochi,406,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
saliva_on_breasts,325,,2,BREAST_NIPPLE_AREOLA;FLUID_EXCRETION,2,BREAST_NIPPLE_AREOLA:\bbreasts?\b;FLUID_EXCRETION:\bsaliva\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
oppai_challenge,290,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
cospussy,123,,2,FEMALE_GENITAL;OPAQUE_ADULT_SURFACE,2,FEMALE_GENITAL:\bcospussy\b;OPAQUE:\bcospussy\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
oppai_oppai,86,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
oppai_hoodie,77,,2,BREAST_NIPPLE_AREOLA;OPAQUE_ADULT_SURFACE,2,BREAST_NIPPLE_AREOLA:\boppai\b;OPAQUE:\boppai\b,0,,,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
large_breasts,2245881,"big_breasts,/lb,large_boobs,large_breast,large_tits",1,BREAST_NIPPLE_AREOLA,1,BREAST_NIPPLE_AREOLA:\bbreasts?\b,0,BREAST_NIPPLE_AREOLA,BREAST_NIPPLE_AREOLA:\bboobs?\b;BREAST_NIPPLE_AREOLA:\bbreasts?\b;BREAST_NIPPLE_AREOLA:\btits?\b,CANONICAL_ADULT_FETISH_PRIORITY,GENERAL_CANONICAL_NOT_IN_SPECIAL
