row_id,canonical_tag,identity_verdict,display_verdict,search_verdict,ranking_verdict,scope_verdict,relation_note,confidence,evidence_refs,proposed_display,proposed_search,reviewer_note,second_review_required
I70-035896,fate_(series),PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-035953,ragnarok_online,PASS,PASS,REVIEW,PASS,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,ROお絵描き is not obviously an identity alias; verify whether it is a stable retrieval term or fanart tag.,true
I70-036072,super_smash_bros.,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-000262,yazawa_nico,PASS,PASS,REVIEW,PASS,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,矢泽にこ is a mixed simplified/Japanese surface; verify intended multilingual-search policy.,true
I70-036544,yuuki_bakuhatsu_bang_bravern,PASS,PASS,FAIL_NON_IDENTITY_TERM,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,WEB:fanwork tag evidence for 腐レイバーン; INTERNAL:search_ja,,ブレバン | 勇気爆発バーンブレイバーン,"腐レイバーン is used as a 腐向け/fanwork label, not the copyright identity itself.",true
I70-002905,kohinata_miho,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-038479,good_omens,PASS,PASS,PASS,PASS,REVIEW,RELATION_UNKNOWN,HIGH,WEB:Prime Video Good Omens; INTERNAL:canonical/display,,,"Official current surface is a live-action TV series; source franchise also has a novel, so do not auto-exclude under mixed-media policy.",true
I70-013648,aizawa_eiko,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,HIGH,INTERNAL:canonical/display/search/aliases,,,,false
I70-018786,curakuru_(character),REVIEW,REVIEW,PASS,PASS,PASS_IN_2D,RELATION_UNKNOWN,LOW,INTERNAL:canonical/display/search/aliases,,,Obscure clean-control identity; insufficient intrinsic evidence for semantic PASS.,true
I70-027634,handa_shin'ichi,REVIEW,PASS,REVIEW,PASS,PASS_IN_2D,RELATION_UNKNOWN,LOW,INTERNAL:canonical/display/search/aliases,,,Aliases include Steve Grim; verify identity/locale mapping before PASS.,true
I70-000001,hatsune_miku,PASS,FAIL_OVERDISAMBIGUATION,FAIL_NON_IDENTITY_TERM,REVIEW,PASS_IN_2D,RELATION_BAD_OLD_COOCCURRENCE,HIGH,WEB:https://piapro.net/pages/character ; INTERNAL:#177 known Pokemon false relation,初音ミク,初音ミク | ミク,Official character name is 初音ミク. Work suffix is unnecessary for an unqualified canonical; ミクの日 and 初音ミクイラスト are event/fanart-style search noise.,true
I70-000436,irys_(hololive),PASS,PASS,PASS,REVIEW,PASS_IN_2D,RELATION_UNKNOWN,MEDIUM,INTERNAL:canonical/display/search/aliases,,,Identity/display/search are plausible; collision on アイリス requires ranking check only.,false
I70-000146,kirby,PASS,PASS,PASS,PASS,PASS_IN_2D,RELATION_BAD_OLD_COOCCURRENCE,HIGH,INTERNAL:#177 known Pokemon false relation,,,Character surface is clean; old Pokemon relation is relation-only failure.,false
