row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-021501,petrel_(pokemon),4,ラムダ,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-021502,pictomancer_(final_fantasy),4,pictomancer (final fantasy),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-021503,playmaker_(yu-gi-oh!),4,プレイメーカー,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021504,popstar_ahri,4,popstar ahri,,REVIEW_REQUIRED,no reliable Japanese evidence
I70-021505,praxis_(xenoblade),4,ミクマリ,ミクマリ(ゼノブレイド2),ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021506,prism_saber_forte,4,プリズムセイバー・フォルテ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021507,qiangliang_(reverse:1999),4,强梁,,REVIEW_REQUIRED,short kanji-only candidate is too ambiguous without contextual search evidence
I70-021508,queen_mirage,4,クイーン・ミラージュ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021509,rellor,4,シガロコ,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021510,riela_marcellis,4,リエラ・マルセリス,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
I70-021511,rodoreamon_(simoun),4,rodoreamon (simoun),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-021512,roon_(muse)_(azur_lane),4,ローン(μ兵装),,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-021513,rosedoodle_(vtuber),4,rosedoodle (vtuber),,REVIEW_REQUIRED,multiple/conflicting Japanese candidates
I70-021514,rumia_(darkness),4,ルミア（闇）,,REVIEW_REQUIRED,short kana-only candidate is too ambiguous without contextual search evidence
I70-021515,rusalka_schwagerin,4,ルサルカ・シュヴェーゲリン,,ACCEPTED_AI,single Japanese candidate with no conflicting evidence
