row_id,canonical_tag,category,display_ja,search_ja,translation_status,translation_note
I70-047501,sin_mal0909,1,sin mal0909,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047502,sukemyon,1,スケミオン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047503,tabigarasu,1,タビガラス,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047504,tomajiyama,1,トモジヤマ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047505,gijang,1,ジジャン,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047506,keisea,1,ケイシア,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047507,mochimiko,1,mochimiko,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047508,pisagi,1,pisagi,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047509,saku_anna,1,サク・アンナ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047510,wakuta_chisaki,1,ワクタチサキ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047511,chamchami,1,チャムチャミ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047512,coldcat.,1,コールドキャット。,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047513,cyclone_(reizei),1,サイクロン（reizei）,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047514,furau,1,フラウ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047515,h2so4,1,H2SO4,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047516,kirai_yu,1,kirai yu,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047517,mabanna,1,マバンナ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
I70-047518,nakano_sora,1,中野ソラ,,REVIEW_REQUIRED,candidate-only or insufficient Japanese evidence; manual verification required
