canonical_tag,post_count,aliases,adult_focused_relevance,decision,confidence,reason,evidence
soul_gem_(madoka_magica),7349,"soul_gem_(madoka_magika),soul_gem_(madoka_magika)",NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
ship_class_reunion,6016,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
speckled_areolae,1839,,DIRECT_ADULT_ANATOMY,SPECIAL_CANDIDATE,HIGH,Deep breast/areola morphology is directly aligned with Special discovery; current Danbooru breast taxonomy lists it as a distinct areola description.,current Danbooru breast tag-group evidence + pinned canonical snapshot
crossover_pairing,1593,crossover_couple,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
chaotic_scene,892,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
unexpectedly_evil,872,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
kita_high_school_uniform_(subarashiki_hibi),823,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
multiple_cutouts,757,,ADULT_ADJACENT_OR_NONADULT_GENERAL,GENERAL_GAP_CANDIDATE,HIGH,"Reusable clothing cutout descriptor with exposure relevance, but broad enough for General rather than deep Special.",pinned canonical snapshot + product-layer review
himematsu_academy_school_uniform,631,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
dorfic,629,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
grabbing_one_of_another's_twintails,516,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
character_and_character_item,469,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
tachyon's_shady_new_drug_(umamusume),446,,NO_DIRECT_ADULT_FETISH_R18G_SIGNAL,NO_SPECIAL_ADULT_ACTION,HIGH,Reviewed in the complete 108-row omission set; no direct adult/fetish/BDSM/body-site/fluid/nonhuman/R18G Special fit was identified in this pass. Preserve for ordinary General/freshness review; do not treat this as permanent product exclusion.,complete bounded omission human/product review
