cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,review_status,review_reason,evidence_refs,audit_note
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041262,pokemon_ranger_1,Copyright,110,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041283,lovely_x_cation,Copyright,109,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041328,venom_(2018),Copyright,108,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041334,choujikuu_seiki_orguss,Copyright,107,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041346,jishenkong_jihua,Copyright,107,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041357,ultraman_tarou_(series),Copyright,107,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041409,plivyou,Copyright,105,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-041417,valis_(sinsekai),Copyright,105,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005620,dokibird_(bounty_hunter),Character,565,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005624,la_manchaland's_don_quixote_(project_moon),Character,565,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005628,captain_spaceboy,Character,564,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005631,gentilhomme_usher,Character,564,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005657,vaggie,Character,561,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005670,abigail_williams_(swimsuit_foreigner)_(first_ascension)_(fate),Character,559,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005679,shyrei_faolan,Character,559,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005684,nyon_(randal's_friends),Character,558,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005687,trinnon_(honkai:_star_rail),Character,558,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005711,sakurai_touko,Character,555,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005724,oberon_(first_ascension)_(fate),Character,553,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
cycle-0006,1,e1bc7068b8b6b87492dc6e81a5f386de01933d12f8e50b976284dd7f47915c96,I70-005729,luuk_herssen_(wuthering_waves),Character,552,REVIEWED_UNRESOLVED,Bounded first-party evidence pass did not establish an exact official Japanese identity/form at HIGH confidence,,Checked once under helper single-pass rules; deferred without guessing.
