identity_key,general_path,state
arm_slave_(mecha),OBJECT_PROP,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
living_fleshlight,OBJECT_PROP,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
poop_on_a_stick,OBJECT_PROP,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
backpack_on_one_shoulder,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
bag_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
bag_on_lap,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
bag_over_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
basket_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
billiard_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
blackjack_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
blanket_over_legs,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
box_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
camera_around_neck,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_dryer,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_hanger,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_iron,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_on_bed,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_on_chair,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_on_floor,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_pin,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
clothes_rack,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
coffee_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
coin_on_string,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
crafting_table_(minecraft),OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
cup_on_head,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double-sided_wrench,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_barrels,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_bass,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_dakimakura_(medium),OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
double_neck_guitar,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
extended_range_bass_guitar,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
extended_range_guitar,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
finger_puppet,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
folding_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
full-body_clothes_hanger,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
glass_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
head_cage,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
ink_on_face,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
instrument_case_on_back,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
instrument_on_back,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
invisible_table,OBJECT_PROP/DAILY,OBJECT_PROP_LOW_RISK_CANDIDATE_V26
