ObservationID,ModelProfile,Checkpoint,Seed,Steps,CFG,Size,Sampler,Scheduler,TestType,SpecialIDs,SupportTags,StandaloneRecognition,ActorSeparation,SpatialAssignment,CompositionRetention,PlacementMode,Result,FailureModes,Notes,EvidenceImagePaths
PROMOTION-V1-LOCAL-01,current_illustrious_test_profile,unknown,,,,,,,SINGLE,192,,,,,,,REPORTED,,Pure Special + structural actor/pose support: recognizable. Multi-Special failures were mainly spatial/role assignment problems.,
PROMOTION-V1-LOCAL-02,current_illustrious_test_profile,unknown,,,,,,,STRESS,195,,,,,,,REPORTED,,Dense combination did not reliably improve separation and could increase fusion; umbrella concept should not be auto-added.,
PROMOTION-V1-LOCAL-03,current_illustrious_test_profile,unknown,,,,,,,SINGLE,196,,,,,,,REPORTED,,Pure tag changed nipple appearance but did not reliably depict penetration; cable insertion support improved localization but often became attachment/device.,
PROMOTION-V1-LOCAL-04,current_illustrious_test_profile,unknown,,,,,,,SINGLE,312,,,,,,,REPORTED,,Strong PASS: clear machine-human interaction from the Special with minimal support.,
PROMOTION-V1-LOCAL-05,current_illustrious_test_profile,unknown,,,,,,,SINGLE,325,,,,,,,REPORTED,,Strong PASS: tentacles and sexual interaction clearly recognized.,
PROMOTION-V1-LOCAL-06,current_illustrious_test_profile,unknown,,,,,,,SINGLE,545,,,,,,,REPORTED,,Support-assisted success (dildo/holding dildo). Previous 'pure single success' claim was corrected.,
PROMOTION-V1-LOCAL-07,current_illustrious_test_profile,unknown,,,,,,,STRESS,548,,,,,,,REPORTED,,"Multi-actor stress test: double-action concept appeared, but separate male actor identities collapsed/fused.",
PROMOTION-V1-LOCAL-08,current_illustrious_test_profile,unknown,,,,,,,SINGLE,793,,,,,,,REPORTED,,Strong pose recognition.,
PROMOTION-V1-LOCAL-09,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1227,,,,,,,REPORTED,,Meta/front-plane effect appeared clearly in batch test.,
PROMOTION-V1-LOCAL-10,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1228,,,,,,,REPORTED,,Insertion/device appeared; 'dilation' specifically remained ambiguous.,
PROMOTION-V1-LOCAL-11,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1231,,,,,,,REPORTED,,Localized steam-like effect appeared; external definition remains sparse.,
PROMOTION-V1-LOCAL-12,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1235,,,,,,,REPORTED,,Ambiguous/fail for the named special structure.,
PROMOTION-V1-LOCAL-13,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1236,,,,,,,REPORTED,,Weak/partial; temporal/implied semantics not strongly visible.,
PROMOTION-V1-LOCAL-14,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1864,,,,,,,REPORTED,,Tentacle concept strong; special modifier semantics remained uncertain.,
PROMOTION-V1-LOCAL-15,current_illustrious_test_profile,unknown,,,,,,,SINGLE,1935,,,,,,,REPORTED,,Strong PASS: fixed frame plus wrist/ankle/waist restraints appeared from the Special with minimal support.,
PROMOTION-V1-LOCAL-16,current_illustrious_test_profile,unknown,,,,,,,SINGLE,2003,,,,,,,REPORTED,,Strong recognition; placement varied between in-body overlay and detached explanatory inset.,
PHASE1-USER-COMBINATION-01,current_illustrious_test_profile,unknown,,,,,,,COMBINATION,192;545,,,,,,,REPORTED,Naive multi-Special composition was unstable; fusion or disappearance was reported.,"Phase 1 user report: each Special was recognizable alone, while explicit actor, body-part and spatial role separation improved coexistence. Exact checkpoint, seed and generation settings were not recorded.",
