FamilyRuleId,GenerationFamily,DefaultPromptUseMode,DefaultNeedsActor,DefaultNeedsBodypart,DefaultNeedsImplement,DefaultNeedsPose,DefaultNeedsCamera,DefaultNeedsSpatialAssignment,DefaultCompositionRole,Notes
GFR_ACTION_INTERACTION,ACTION_INTERACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_ALIAS_REFERENCE,ALIAS_REFERENCE,ALIAS_PRESERVE,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_BODY_ATTRIBUTE,BODY_ATTRIBUTE,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_BODY_STATE,BODY_STATE,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_CAMERA_INTERNAL_VIEW,CAMERA_INTERNAL_VIEW,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_CLOTHING_EXPOSURE,CLOTHING_EXPOSURE,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_CONTEXT_MODIFIER,CONTEXT_MODIFIER,SUPPORT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_DAMAGE_STATE_ACTION,DAMAGE_STATE_ACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_DIRECT_COMPOSITE,DIRECT_COMPOSITE,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_FLUID_STATE_ACTION,FLUID_STATE_ACTION,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_IMPLEMENT_OBJECT,IMPLEMENT_OBJECT,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_INSERTION_STRUCTURED,INSERTION_STRUCTURED,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_MACHINE_STRUCTURED,MACHINE_STRUCTURED,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_META_CONTEXT,META_CONTEXT,SUPPORT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_MULTI_ACTOR_INTERACTION,MULTI_ACTOR_INTERACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_NONHUMAN_INTERACTION,NONHUMAN_INTERACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_POSE_COMPOSITION,POSE_COMPOSITION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_REACTION_STATE,REACTION_STATE,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_RELATION_ROLE_CONTEXT,RELATION_ROLE_CONTEXT,SUPPORT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_REPRO_BODY_STATE,REPRO_BODY_STATE,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_RESTRAINT_ACTION,RESTRAINT_ACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_RESTRAINT_IMPLEMENT,RESTRAINT_IMPLEMENT,DIRECT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_SCENE_CONTEXT,SCENE_CONTEXT,SUPPORT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_SELF_ACTION,SELF_ACTION,STRUCTURED,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
GFR_SEMANTIC_SUPPORT,SEMANTIC_SUPPORT,SUPPORT,,,,,,,,Family membership is not homogeneous enough to safely infer physical requirements. Blank means UNKNOWN / not asserted. Use only approved per-tag overrides.
