row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_bucket,impact_tier,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja
I70-000987,aria_(zenless_zone_zero),3073,アリア（ゼンゼロ）,アリア（ゼンゼロ） | アリア,AI監修：既存日本語候補・作品関係を確認して採用,DUPLICATE_DISPLAY_WITHIN_CATEGORY,ACCEPTED_RISK,TOP_10_PERCENT,yutane_johiel,yutane johiel,,,アリア(ゼンゼロ),,zenless_zone_zero,1.0,,
I70-001115,magical_mirai_miku,2809,初音ミク（マジカルミライ）,初音ミク(マジカルミライ) | マジカルミライミク,誤訳候補を避けイベント文脈を明示,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_RISK,TOP_10_PERCENT,magimirai_miku,magimirai miku,,,魔法のミライ・ミク,,vocaloid,0.999621,,
I70-001226,jessie_(pokemon),2558,ムサシ,ムサシ | ムサシ(ポケモン),公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,musashi_(pokemon),musashi (pokemon),,ムサシ | ムサシ(アニポケ) | ムサシ(トレーナー),,,pokemon,1.0,,
I70-001234,diarmuid_ua_duibhne_(fate),2532,ディルムッド・オディナ,ディルムッド・オディナ | ディルムッド,公式日本語名を採用,DISAMBIGUATOR_NOT_VISIBLE | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,,,fate_(series),1.0,,
I70-001250,scaramouche_(kabukimono)_(genshin_impact),2514,傾奇者,傾奇者,公式日本語呼称を採用,DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,ACCEPTED_RISK,TOP_10_PERCENT,,,,,倾奇者 | 傾奇者,Kabukimono,genshin_impact,1.0,scaramouche_(genshin_impact),スカラマシュ
I70-001253,meltryllis_(swimsuit_lancer)_(fate),2511,謎のアルターエゴ・Λ,謎のアルターエゴ・Λ | ラムダリリス | メルトリリス(水着),公式形態名と通称を整理,VARIANT_DISPLAY_MISSING_BASE_IDENTITY,ACCEPTED_RISK,TOP_10_PERCENT,,,,メルトリリス(水着) | ラムダリリス | 水着メルト | 謎のアルターエゴ・Λ,,,fate_(series),0.998764,meltryllis_(fate),メルトリリス（Fate）
I70-001259,little_red_riding_hood_(fairy_tale_character),2504,赤ずきん,赤ずきん,一般的日本語名を採用,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,ACCEPTED_RISK,TOP_10_PERCENT,little_red_riding_hood_(grimm),little red riding hood (grimm),,,赤ずきん,,little_red_riding_hood_(fairy_tale),0.982195,,
I70-001360,scorbunny,2367,ヒバニー,ヒバニー,公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ヒバニー,,,pokemon,1.0,,
I70-001388,tiki_(fire_emblem),2327,チキ,チキ | チキ(ファイアーエムブレム),公式日本語名を採用,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,chiki,chiki,,チキ | チキ(ファイアーエムブレム),,,fire_emblem,1.0,,
I70-001405,mari_(faraway)_(omori),2306,マリ（FARAWAY）,マリ | マリ(FARAWAY),同名形態を区別,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,マリ,,omori,0.999514,mari_(omori),マリ（OMORI）
