row_id,canonical_tag,display_ja,family_base_display_ja,audit_verdict,proposed_display_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-026474,meroron_(fairy)_(precure),メロロン,メロロン,FIX_DISPLAY,メロロン（妖精）,VARIANT_FORM_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-026886,hero_(birthday)_(omori),ヒロ,ヒロ（OMORI）,FIX_DISPLAY,ヒロ（OMORI・誕生日）,VARIANT_EVENT_VISIBLE,MEDIUM,canonical qualifier + family base,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-027374,cure_muse_(black),キュアミューズ,キュアミューズ,FIX_DISPLAY,キュアミューズ（黒）,VARIANT_COLOR_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-028380,alice_(original)_(grimms_notes),アリス(グリムノーツ),アリス(グリムノーツ),FIX_DISPLAY,アリス（グリムノーツ・オリジナル）,VARIANT_ORIGINAL_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-030258,filo_(filolial_form)_(tate_no_yuusha_no_nariagari),フィーロ,フィーロ,FIX_DISPLAY,フィーロ（フィロリアル形態）,VARIANT_FORM_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-030417,reina_(original)_(grimms_notes),レイナ(グリムノーツ),レイナ(グリムノーツ),FIX_DISPLAY,レイナ（グリムノーツ・オリジナル）,VARIANT_ORIGINAL_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-030577,ernesto_de_la_cruz_(alive),エルネスト・デラクルス,エルネスト・デラクルス,FIX_DISPLAY,エルネスト・デラクルス（生前）,VARIANT_STATE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-030726,otonashi_ayana_(tsui_no_sora_(remake)),音無彩名,音無彩名,FIX_DISPLAY,音無彩名（終ノ空 remake）,VARIANT_WORK_VISIBLE,MEDIUM,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-031061,mothra_(monsterverse),モスラ,モスラ,FIX_DISPLAY,モスラ（モンスターバース）,VARIANT_FRANCHISE_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
I70-031833,mitty_(human)_(made_in_abyss),ミーティ,ミーティ,FIX_DISPLAY,ミーティ（人間）,VARIANT_FORM_VISIBLE,HIGH,canonical qualifier,variant/base collision confirmed; make canonical qualifier visible in Japanese-first display,PROPOSED
