row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000002,hakurei_reimu,100404,博麗霊夢,博麗霊夢,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000003,kirisame_marisa,87084,霧雨魔理沙,霧雨魔理沙,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000004,flandre_scarlet,62630,フランドール・スカーレット,フランドール・スカーレット | フラン | フランドール,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000005,remilia_scarlet,62009,レミリア・スカーレット,レミリア・スカーレット | レミリア,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000006,izayoi_sakuya,53044,十六夜咲夜,十六夜咲夜,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000008,komeiji_koishi,45041,古明地こいし,古明地こいし | こいし,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000009,kochiya_sanae,41039,東風谷早苗,東風谷早苗,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000010,konpaku_youmu,40816,魂魄妖夢,魂魄妖夢,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000011,cirno,40497,チルノ,チルノ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000012,alice_margatroid,39862,アリス・マーガトロイド,アリス・マーガトロイド,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000015,patchouli_knowledge,38667,パチュリー・ノーレッジ,パチュリー・ノーレッジ | パチュリー,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000016,yakumo_yukari,38402,八雲紫,八雲紫,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000017,shameimaru_aya,34209,射命丸文,射命丸文,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000018,reisen_udongein_inaba,31176,鈴仙・優曇華院・イナバ,鈴仙・優曇華院・イナバ,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000019,komeiji_satori,30926,古明地さとり,古明地さとり | さとり,AI監修：既存日本語候補・作品関係を確認して採用,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000020,fujiwara_no_mokou,30599,藤原妹紅,藤原妹紅,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000021,akemi_homura,29832,暁美ほむら,暁美ほむら,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000022,kaname_madoka,29732,鹿目まどか,鹿目まどか,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000023,hong_meiling,28091,紅美鈴,紅美鈴,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
I70-000024,saigyouji_yuyuko,27987,西行寺幽々子,西行寺幽々子,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,KEEP,,,CURATED_CHARACTER_NAME_NO_SEMANTIC_RISK,HIGH,prior curation note + frozen source/context,既存監修済み日本語名を再確認。search_jaがdisplayを重複しないこと自体はruntime仕様上問題なし。,PROPOSED
