row_id,canonical_tag,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-038118,phantasmagoria_of_flower_view,424,東方花映塚,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE_VERIFIED,HIGH,https://danmaku.jp/archive/origin/o005/,公式原作紹介で「東方花映塚 ～ Phantasmagoria of Flower View.」を確認。現表示名は正式日本語タイトルの主要部として妥当。,PROPOSED
I70-050388,kitazume_hiroyuki,304,北爪宏幸,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_COMMON_CREDIT_VERIFIED,HIGH,https://www.hmv.co.jp/artist_%E5%8C%97%E7%88%AA%E5%AE%8F%E5%B9%B8_000000000254829/item_%E6%A9%9F%E5%8B%95%E6%88%A6%E5%A3%AB%E3%82%AC%E3%83%B3%E3%83%80%E3%83%A0-C-D-A-%E8%8B%A5%E3%81%8D%E5%BD%97%E6%98%9F%E3%81%AE%E8%82%96%E5%83%8F-%E5%85%AC%E5%BC%8F%E3%82%AC%E3%82%A4%E3%83%89%E3%83%96%E3%83%83%E3%82%AF-%E3%82%AB%E3%83%89%E3%82%AB%E3%83%AF%E3%82%B3%E3%83%9F%E3%83%83%E3%82%AF%E3%82%B9a%E3%82%A8%E3%83%BC%E3%82%B9_3742216,出版社商品情報で著者名「北爪宏幸」を確認。現表示名を維持。,PROPOSED
I70-003672,phosphophyllite_(ll),909,フォスフォフィライト,フォスフォフィライト | フォス,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME_VERIFIED,HIGH,https://tv.apple.com/jp/show/%E5%AE%9D%E7%9F%B3%E3%81%AE%E5%9B%BD/umc.cmc.4j4sta0zr6v7jxa9e0j171jj5,Japanese distribution metadata explicitly names フォスフォフィライト and フォス; current fields preserve official name and useful alias.,PROPOSED
I70-003819,liv_(pgr),871,リーフ,リーフ,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME_VERIFIED,HIGH,https://prtimes.jp/main/html/rd/p/000000079.000036746.html,Japanese publisher release repeatedly identifies the PGR character as リーフ; current display/search are correct.,PROPOSED
I70-052177,yoshida_seiji,256,吉田誠治,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_PROFILE_VERIFIED,HIGH,https://yoshidaseiji.jp/about/,Artist's own profile gives 吉田 誠治 / YOSHIDA SEIJI; current canonical/display identity is correct.,PROPOSED
I70-052506,kubo_tite,248,久保帯人,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT_VERIFIED,HIGH,https://mangaart.jp/ja/artists/tite-kubo,Official Shueisha artist page gives Tite Kubo / 久保 帯人; current display is correct.,PROPOSED
I70-053065,matsubara_hidenori,237,松原秀典,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT_VERIFIED,HIGH,https://dengekionline.com/article/202607/82685,Recent Sega release coverage credits 松原秀典氏 for Sakura Wars anniversary art; identity/display is unambiguous.,PROPOSED
I70-053156,ezaki_bisuko,235,江崎びす子,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT_VERIFIED,HIGH,https://store.kadokawa.co.jp/shop/g/g321703000490/,KADOKAWA official store credits 著者：江崎 びす子; current display is correct.,PROPOSED
I70-053278,nakamura_eight,233,中村エイト,,NEEDS_EXTERNAL_CHECK,KEEP,,,AUTHORITY_RECORD_VERIFIED,HIGH,https://id.ndl.go.jp/auth/ndlna/001173739,National Diet Library authority record identifies illustrator 中村エイト and romanization Nakamura Eito; current display is correct.,PROPOSED
I70-038566,makai_tenshi_djibril,326,魔界天使ジブリール,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE_CREDIT_VERIFIED,HIGH,https://b2b.mile-stone.jp/zh-hans/products/000151663,Licensed product metadata with Frontwing copyright uses 魔界天使ジブリール; current title is correct.,PROPOSED
I70-038584,the_bible,324,圣经,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,聖書,,JAPANESE_CANONICAL_TITLE,HIGH,https://www.bible.or.jp/,Japan Bible Society consistently uses 聖書 as the Japanese title/category; current Chinese 圣经 is not the Japanese display form.,PROPOSED
I70-053407,fukudahda,230,フクダーダ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_VERIFIED,HIGH,https://www.kadokawa.co.jp/product/321208000179/,KADOKAWA author credit confirms フクダーダ; existing display is safe.,PROPOSED
I70-053579,ebira,227,えびら,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_VERIFIED,HIGH,https://ready.sega.jp/special/detail/066576.html,SEGA official Readyyy material credits illustrator えびら; existing display is safe.,PROPOSED
I70-053583,fuyuno_haruaki,227,ふゆの春秋,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_VERIFIED,HIGH,https://www.kadokawa.co.jp/product/311796400000/,KADOKAWA credits ふゆの春秋 as author/illustrator; existing display is safe.,PROPOSED
I70-054006,kikuchi_seiji,220,菊池政治,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT_VERIFIED,HIGH,https://www.kadokawa.co.jp/product/321812000230/,KADOKAWA credits 菊池政治 for the art book; existing display is safe.,PROPOSED
I70-054044,arai_sumiko,219,新井すみこ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT_VERIFIED,HIGH,https://prtimes.jp/main/html/rd/p/000002641.000003639.html,PARCO release identifies 新井すみこ and links the creator official account; existing display is safe.,PROPOSED
I70-038732,nezha_zhi_motong_jiangshi,296,哪吒之魔童降世,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,ナタ～魔童降臨～,,OFFICIAL_JA_TITLE_VERIFIED,HIGH,https://www.wellgousa.com/films/ne-zha,The film identity is confirmed by the distributor; Japanese release sources identify the established Japanese title ナタ～魔童降臨～.,PROPOSED
I70-039155,the_great_ace_attorney_2:_resolve,243,大逆転裁判2,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,大逆転裁判2 -成歩堂龍ノ介の覺悟-,大逆転裁判2,OFFICIAL_TITLE,HIGH,https://store.captown.capcom.com/products/395289-jp,Capcom公式ストアで正式タイトルを確認。現表示は短縮名のため正式タイトルへ修正し短縮名を検索別名として保持。,PROPOSED
I70-039159,masou_gakuen_hxh,242,魔装学園H×H,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.kadokawa.co.jp/product/video2607/,KADOKAWA公式作品ページで表記一致を確認。,PROPOSED
I70-004069,mizumiya_su,813,水宮枢,水宮枢 | すう,NEEDS_EXTERNAL_CHECK,FIX_SEARCH,,水宮枢,OFFICIAL_NAME,HIGH,https://hololive.hololivepro.com/news/20241107-01-310/,hololive公式発表で水宮枢を確認。公式根拠を確認できた日本語名のみ検索表記に残す。,PROPOSED
I70-054585,ninomae_ina'nis_(artist),211,一伊那尓栖,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_IDENTITY,HIGH,https://hololive.hololivepro.com/talents/ninomae-inanis/,hololive公式プロフィールで日本語名を確認し公式音楽ページでも本人によるMVアート制作が明記されるためartist identityを安全に確認。,PROPOSED
I70-004193,sukoya_kana_(1st_costume),790,健屋花那（通常衣装）,健屋花那（通常衣装） | 健屋花那,NEEDS_EXTERNAL_CHECK,FIX_BOTH,健屋花那,健屋花那,OFFICIAL_NAME,HIGH,https://shop.nijisanji.jp/SSZS-17591.html,Official Nijisanji store confirms the character name 健屋花那; no official evidence supports appending 通常衣装 as part of the Japanese character name.,PROPOSED
I70-004251,fuwa_minato,776,不破湊,不破湊,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_NAME,HIGH,https://www.anycolor.co.jp/news/0m0__jqff3,ANYCOLOR identifies its Nijisanji liver as 不破湊.,PROPOSED
I70-004252,hat_kid,776,ハットキッド,ハットキッド | 帽子の子供,NEEDS_EXTERNAL_CHECK,FIX_SEARCH,,ハットキッド,OFFICIAL_JA_LOCALIZATION,HIGH,https://store.playstation.com/ja-jp/product/EP4638-CUSA28716_00-1932917679675398,Japanese PlayStation Store uses ハットキッド for the A Hat in Time character; generic 帽子の子供 is not an official name.,PROPOSED
I70-004257,katarina_(league),775,カタリナ,カタリナ | カタリナ・デュ・クートー,NEEDS_EXTERNAL_CHECK,FIX_SEARCH,,カタリナ,OFFICIAL_NAME,HIGH,https://www.leagueoflegends.com/ja-jp/champions/katarina/,Riot Japanese champion page uses カタリナ; the page describes her as the general's daughter but does not establish カタリナ・デュ・クートー as the official Japanese display name.,PROPOSED
I70-039183,hourou_musuko,239,放浪息子,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://tv.apple.com/jp/show/%E6%94%BE%E6%B5%AA%E6%81%AF%E5%AD%90/umc.cmc.6lhsbwxndacms5tij05w7lcn1,Japanese distribution listing confirms 放浪息子.,PROPOSED
I70-039195,11eyes,238,11歳,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,11eyes -罪と罰と贖いの少女-,,OFFICIAL_TITLE,HIGH,https://prtimes.jp/main/html/rd/p/000005556.000032953.html,Publisher campaign material identifies the work as 11eyes-罪と罰と贖いの少女-; current 11歳 is incorrect.,PROPOSED
I70-039207,world_masterpiece_theater,238,世界名作劇場,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_TITLE,HIGH,https://www.nippon-animation.co.jp/news/information/13854/,Nippon Animation official site uses 世界名作劇場 for the series.,PROPOSED
I70-039262,tetsuwan_birdy_decode,232,鉄腕バーディー,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,鉄腕バーディー DECODE,,OFFICIAL_TITLE,HIGH,https://www.birdy-tv.com/,Official anime site identifies the work as 鉄腕バーディー DECODE; current display omits DECODE.,PROPOSED
I70-039283,tekken_6,230,鉄拳6,,NEEDS_EXTERNAL_CHECK,KEEP,,,ESTABLISHED_JA_TITLE,HIGH,https://www.bandainamcoent.co.jp/cs/list/tekken6/,Bandai Namco title naming confirms 鉄拳6.,PROPOSED
I70-054622,iizuka_haruko,210,飯塚晴子,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.aniplex.co.jp/lineup/AOF2023/,Aniplex official event page credits illustration to 飯塚晴子.,PROPOSED
I70-054731,shirahama_kamome,209,白浜鴎,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kodansha.co.jp/comic/products/0000420256,Kodansha author page credits 白浜 鴎.,PROPOSED
I70-054771,katsurai_yoshiaki,208,桂井よしあき,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/201279000174/,KADOKAWA credits illustration to 桂井よしあき.,PROPOSED
I70-055006,kobayashi_hiyoko,205,こばやしひよこ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kodansha.co.jp/comic/products/0000014298,Kodansha author listing confirms こばやし ひよこ.,PROPOSED
I70-055009,kusakihara_toshiyuki,205,草木原俊行,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.ndw.jp/fefuuka-03/,Developer interview identifies Intelligent Systems' 草木原俊行 in the character-design context.,PROPOSED
I70-055073,nishiya_futoshi,204,西屋太志,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.kyotoanimation.co.jp/works/free/,Kyoto Animation official staff credits list 西屋太志 as character designer.,PROPOSED
I70-055222,mino_tarou,202,箕星太朗,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_CREDIT,HIGH,https://www.konami.com/games/loveplus/every/,Konami official LovePlus page credits イラストレーション／箕星 太朗.,PROPOSED
I70-055280,hakua_ugetsu,201,白亜右月,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/200502000263/,KADOKAWA lists 白亜右月 as author of the artist's works collection.,PROPOSED
I70-055292,komowata_haruka,201,こもわた遙華,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322512001407/,KADOKAWA author listing confirms こもわた遙華.,PROPOSED
I70-055506,itou_hachi,198,伊藤ハチ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://data.ichijinsha.co.jp/detail/75807730,Ichijinsha official book listing credits 伊藤ハチ.,PROPOSED
I70-055523,morisawa_haruyuki,198,森沢晴行,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322410001329/,KADOKAWA credits illustration to 森沢晴行.,PROPOSED
