row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-035896,fate_(series),407263,Fateシリーズ,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035900,idolmaster,285555,アイドルマスター,,manual chat curation selected high-confidence Japanese copyright title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035904,honkai_(series),188054,崩壊,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035915,mahou_shoujo_madoka_magica,84200,魔法少女まどか☆マギカ,,manual chat curation selected high-confidence Japanese copyright title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035919,danganronpa_(series),68787,ダンガンロンパシリーズ,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035921,mahou_shoujo_madoka_magica_(anime),60012,魔法少女まどか☆マギカ,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035934,idolmaster_(classic),44384,アイドルマスター,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035950,splatoon_(series),33575,スプラトゥーン,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035957,dragon_ball,30213,ドラゴンボール,,manual chat curation selected high-confidence Japanese copyright title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035962,toaru_majutsu_no_index,27877,とある魔術の禁書目録,,manual chat curation selected high-confidence Japanese copyright title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035968,naruto_(series),26797,ナルト,,manual chat curation selected high-confidence Japanese copyright title,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035971,lyrical_nanoha,25753,魔法少女リリカルなのは,,manual chat curation selected high-confidence Japanese copyright title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-035991,monogatari_(series),20928,物語シリーズ,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036067,mahou_shoujo_lyrical_nanoha,12126,魔法少女リリカルなのは,,single clean Japanese copyright search title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036226,devil_may_cry_(series),5489,デビルメイクライ,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036233,osomatsu_(series),5396,おそ松さん/くん,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036245,atelier_ryza,5156,ライザのアトリエ,,single clean Japanese copyright search title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036278,my_little_pony,4586,マイリトルポニー,,single clean Japanese copyright search title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036284,my_little_pony:_friendship_is_magic,4473,マイリトルポニー,,single clean Japanese copyright search title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036290,zeta_gundam,4371,機動戦士Ζガンダム,,single clean Japanese copyright search title,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036373,rabbit_hole_(vocaloid),3356,ラビットホール,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036457,mega_man_legends_(series),2691,ロックマンDASH,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036461,choukou_(alicesoft),2657,超昂シリーズ,,single clean Japanese copyright search title,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036505,mega_man_battle_network_(series),2409,ロックマンエグゼ,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036508,castlevania_(series),2401,悪魔城ドラキュラ,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036509,wild_arms,2401,ワイルドアームズ,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036533,silent_hill_(series),2342,サイレントヒル,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036534,duel_masters,2339,デュエル・マスターズ,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036542,rance_(series),2305,ランスシリーズ,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036543,avengers_(series),2300,アベンジャーズ,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036551,ryuu_ga_gotoku_(series),2266,龍が如く,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036553,air_(visual_novel),2265,AIR,,established/common Japanese title or official rendering,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | DISAMBIGUATOR_NOT_VISIBLE | NO_SOURCE_JA_EVIDENCE_OVERLAP,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036615,xenoblade_chronicles_1,2051,ゼノブレイド,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036617,avatar:_the_last_airbender,2040,アバター 伝説の少年アン,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036633,toaru_majutsu_no_index:_old_testament,1988,とある魔術の禁書目録,,established/common Japanese title or official rendering,JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036667,resident_evil_4_(remake),1865,バイオハザード RE:4,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036676,nier,1840,ニーア,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036683,grisaia_(series),1831,グリザイアシリーズ,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036698,tokimeki_memorial,1800,ときめきメモリアル,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036720,octopath_traveler,1739,オクトパストラベラー,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036740,senjou_no_valkyria_(series),1692,戦場のヴァルキュリア,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036741,doukyuusei_(series),1690,同級生,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036797,donkey_kong_(series),1561,ドンキーコング,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036817,7th_dragon_(series),1511,セブンスドラゴン,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036862,da_capo,1438,D.C. ～ダ・カーポ～,,established/common Japanese title or official rendering,NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE | DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036881,assassin's_creed_(series),1400,アサシン クリード,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-036992,gridman_universe_(movie),1180,グリッドマン ユニバース,,established/common Japanese title or official rendering,DISAMBIGUATOR_NOT_VISIBLE | NO_SOURCE_JA_EVIDENCE_OVERLAP | JA_DISPLAY_NOT_EXACT_SOURCE_EVIDENCE,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-037032,getter_robo,1116,ゲッターロボ,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-037051,grandia,1097,グランディア,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-037098,sengoku_musou,1032,戦国無双,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
I70-037138,tamagotchi,981,たまごっち,,established/common Japanese title or official rendering,DUPLICATE_DISPLAY_WITHIN_CATEGORY,NEEDS_EXTERNAL_CHECK,,,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,MEDIUM,remaining Accepted Copyright has collision/disambiguation or insufficient exact preserved Japanese evidence,内部証拠だけでは作品系列・媒体・版・同名作品の区別を安全に確定できないため、推測修正せず外部確認へ送る。,PROPOSED
