row_id,canonical_tag,post_count,display_ja,existing_candidate_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011008,azuma_fubuki,248,azuma fubuki,東家(魔都精兵のスレイブ),identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-011061,odagiri_hidetoshi,247,odagiri hidetoshi,おだぎりひでとし,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-011083,elle_mel_marta,246,elle mel marta,エル,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-011187,seed_sr.,244,seed sr.,ビッグ・シード,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-011320,fujinuma_satoru,239,fujinuma satoru,ケン悟,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-011447,suzuki_iruma,236,suzuki iruma,入間くん,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012155,kannagi_itsuki,218,kannagi itsuki,カンナギ島,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012225,president_maa,217,president maa,マア大統領,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012330,hazekura_mikitaka,214,hazekura mikitaka,ヌ・ミキタカゾ・ンシ,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012840,chloe_price,203,chloe price,クロエ価格,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012846,ghostface,203,ghostface,お化けの顔,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012862,maliss_<p>_white_rabbit,203,maliss <p> white rabbit,マリス<クイーン>レッド・ランサム,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012884,yatonokami_kanata,203,yatonokami kanata,コズメズ,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-012972,magical_mirai_len,201,magical mirai len,魔法のミライ・レン,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013055,chis-a,199,chis-a,ちせい,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013124,maimoto_keisuke,198,maimoto keisuke,しら画,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013194,white_lily_cookie,197,white lily cookie,セイントリリークッキー,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013284,minetsuki_ritsu,195,minetsuki ritsu,りつみて,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013311,yagami_reina,195,yagami reina,ウルビダ,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-013432,gummigoo,192,gummigoo,ガンミグー,identity mismatch or low-confidence mapping identified during chat review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-020215,azuchi_momo,111,azuchi momo,ももちゃんあーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-023678,sakayori_soma,90,sakayori soma,そうまart,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-024279,pmaru-sama,87,pmaru-sama,ぴーまるあーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-024806,geordo_stuart,84,geordo stuart,ジオルド・スティアート,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-025329,mushoku_loli_(character),82,mushoku loli (character),無ロあーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-026777,shirasu_(mashiro_(rikuya)),76,shirasu (mashiro (rikuya)),しらすあーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-027350,bema_(sinsekai),73,bema (sinsekai),琶舞あーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-028389,aru_(sinsekai),69,aru (sinsekai),存流あーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
I70-028560,oda_nobuhime,69,oda nobuhime,信姫あーと,fan-art/search tag is not character identity,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,EXPLICIT_BAD_JA_CANDIDATE_ALREADY_SAFE_CANONICAL_FALLBACK,HIGH,prior explicit mismatch/search-tag review + exact readable canonical fallback,旧日本語候補は人物名ではない/identity誤対応と既に判定済み。現在表示はcanonical由来の安全なfallbackへ戻っており、誤った日本語を再採用せず現状維持。,PROPOSED
