row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_bucket,impact_tier,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja
I70-003061,takamiya_rion,1102,鷹宮リオン,鷹宮リオン,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,リオンあーと | 鷹宮リオン,,,nijisanji,1.0,,
I70-003080,roon_(azur_lane),1093,ローン,ローン | ローン(アズールレーン),,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ローン | ローン(アズールレーン),罗恩,,azur_lane,1.0,,
I70-003128,haibara_ai,1077,灰原哀,灰原哀,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,灰原哀,,meitantei_conan,1.0,,
I70-003153,ghislaine_dedoldia,1068,ギレーヌ・デドルディア,ギレーヌ・デドルディア | ギレーヌ,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,ghyslaine_dedorudia,ghyslaine dedorudia,,ギレーヌ | ギレーヌ・デドルディア,,,mushoku_tensei,0.997914,,
I70-003161,sei_shounagon_(fate),1067,清少納言,清少納言 | 清少納言(Fate) | キラキラのアーチャー,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,キラキラのアーチャー,清少納言 | 清少納言(Fate) | 諾子,,fate/grand_order,1.0,,
I70-003214,hange_zoe,1045,ハンジ・ゾエ,ハンジ・ゾエ | ハンジ,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,hanji_zoe,hanji zoe,,ハンジ・ゾエ,,,shingeki_no_kyojin,1.0,,
I70-003215,horikawa_kunihiro,1045,堀川国広,堀川国広,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,,兼堀 | 堀川国広,,touken_ranbu,1.0,,
I70-003218,serperior,1045,ジャローダ,ジャローダ,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,ジャローダ,,,pokemon,1.0,,
I70-003240,leona_kingscholar,1036,レオナ・キングスカラー,レオナ・キングスカラー,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,レオナ・キングスカラー,,,twisted_wonderland,1.0,,
I70-003272,estelle_bright,1026,エステル・ブライト,エステル・ブライト,,,ACCEPTED_CLEAN_SAMPLE,TOP_10_PERCENT,,,,エステル・ブライト,,,eiyuu_densetsu,1.0,,
