row_id,canonical_tag,post_count,display_ja,related_copyright_top1,copyright_display_context,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-000001,hatsune_miku,145166,初音ミク,vocaloid,ボーカロイド,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,初音ミク（ボーカロイド）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000007,artoria_pendragon_(fate),46122,アルトリア・ペンドラゴン,fate_(series),Fateシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,アルトリア・ペンドラゴン（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000025,scaramouche_(genshin_impact),26958,スカラマシュ,genshin_impact,原神,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,スカラマシュ（原神）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000034,doodle_sensei_(blue_archive),22140,アロナの似顔絵,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,アロナの似顔絵（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000038,saber_(fate),21185,アルトリア・ペンドラゴン,fate_(series),Fateシリーズ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,アルトリア・ペンドラゴン（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000048,hina_(blue_archive),19450,空崎ヒナ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,空崎ヒナ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000075,koakuma,16126,小悪魔,touhou,東方Project,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,小悪魔（東方Project）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000077,mika_(blue_archive),16112,聖園ミカ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,聖園ミカ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000088,rio_(blue_archive),14738,調月リオ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,調月リオ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000100,jeanne_d'arc_alter_(fate),13754,ジャンヌ・ダルク〔オルタ〕,fate_(series),Fateシリーズ,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ジャンヌ・ダルク〔オルタ〕（Fateシリーズ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000119,2b_(nier:automata),12353,ヨルハ二号B型,nier_(series),ニーア,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,ヨルハ二号B型（ニーア）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000127,aris_(blue_archive),11715,天童アリス,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,天童アリス（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000129,shigure_kai_ni_(kancolle),11590,時雨改二,kantai_collection,艦隊これくしょん,AI監修：既存候補・Alias・作品関係を確認し表示名を確定,FIX_DISPLAY,時雨改二（艦隊これくしょん）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
I70-000133,kayoko_(blue_archive),11436,鬼方カヨコ,blue_archive,ブルーアーカイブ,AI監修：既存日本語候補・作品関係を確認して採用,FIX_DISPLAY,鬼方カヨコ（ブルーアーカイブ）,,CURATED_NAME_ADD_COPYRIGHT_DISAMBIGUATION,HIGH,prior curation + related Copyright context,監修済みのキャラ名自体は維持し、同名衝突/不可視disambiguatorのみ作品名で解消。,PROPOSED
