row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-035899,fate/grand_order,305101,Fate/Grand Order,,manual chat curation selected high-confidence Japanese copyright title,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-035937,fate/stay_night,43898,Fate/stay night,,manual chat curation selected high-confidence Japanese copyright title,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-035961,utau,28650,UTAU,,manual chat curation selected high-confidence Japanese copyright title,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-036096,fate/extra_ccc,9745,Fate/EXTRA CCC,,manual chat curation selected high-confidence Japanese copyright title,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-040213,flyable_heart,159,Flyable Heart,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-040448,kof:_maximum_impact,144,KOF MAXIMUM IMPACT,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-041089,bendy_and_the_ink_machine,115,Bendy and the Ink Machine,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-041250,high_school_boy,110,High School Boy,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-041451,shakacat,104,ShakaCat,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
I70-041464,buried_stars,103,BURIED STARS,,semantic re-curation: title/name judged usable; official/common rendering preferred over literal candidate,DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,CURATED_COPYRIGHT_NO_IDENTITY_OR_DISAMBIGUATION_DEFECT,HIGH,explicit curated/established translation_note; no duplicate/disambiguator/raw-syntax flags,既に意味監修済みのCopyright。残る警告はsource一致/ASCII等の機械ヒューリスティックのみで、identity・区別表示の問題はないためKEEP。,PROPOSED
