row_id,canonical_tag,post_count,display_ja,search_ja,translation_status,translation_note,risk_flags,source_aliases,verified_aliases,existing_display_ja,existing_search_ja,existing_candidate_ja,existing_rejected_ja,related_copyright_top1,related_copyright_top1_coverage,family_base_canonical,family_base_display_ja,has_stronger_ja_evidence
I70-013613,mayano_top_gun_(rockin'_mewmeow)_(umamusume),189,ろっきん☆MewMeow,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,ろっきん☆MewMeow,,umamusume,1.0,mayano_top_gun_(umamusume),マヤノトップガン（ウマ娘）,false
I70-013680,mihono_bourbon_(code:_icing)_(umamusume),188,CODE:グラサージュ,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,mihono_bourbon_(code:glassage)_(umamusume),mihono bourbon (code:glassage) (umamusume),,,CODE:グラサージュ,,umamusume,1.0,mihono_bourbon_(umamusume),ミホノブルボン（ウマ娘）,false
I70-013697,vikala_(blooming_summer_wallflower)_(granblue_fantasy),188,Vikala（咲く夏のウォールフラワー）（グランブルーファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Vikala（咲く夏のウォールフラワー）（グランブルーファンタジー）,,granblue_fantasy,1.0,vikala_(granblue_fantasy),ビカラ,false
I70-013825,chou-10cm-hou-chan_(suzutsuki's),185,chou-10cm-hou-chan（鈴木様）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,chou-10cm-hou-chan（鈴木様）,,kantai_collection,1.0,chou-10cm-hou-chan,長10cm砲ちゃん,false
I70-013853,ruthenium77's_character,185,Ruthenium77のキャラクター,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,Ruthenium77のキャラクター,,original,1.0,,,false
I70-013870,andira_(summer)_(granblue_fantasy),184,Andira（夏）（Granblueファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Andira（夏）（Granblueファンタジー）,,granblue_fantasy,1.0,andira_(granblue_fantasy),アンチラ,false
I70-013949,mii_brawler,183,Miiファイター,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DUPLICATE_DISPLAY_WITHIN_CATEGORY,,,,,Miiファイター,,super_smash_bros.,0.947712,,,false
I70-014060,eishin_flash_(reines_plaetschern)_(umamusume),181,夕映えは渚のJugend,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,夕映えは渚のJugend,,umamusume,1.0,eishin_flash_(umamusume),エイシンフラッシュ（ウマ娘）,false
I70-014213,passionlip_(third_ascension)_(fate),179,PassionLip（3回目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,PassionLip（3回目の昇天）（運命）,,fate_(series),1.0,passionlip_(fate),パッションリップ,false
I70-014417,code:_nemesis_(elsword),175,コード：Nemesis（Elsword）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,コード：Nemesis（Elsword）,,elsword,1.0,,,false
I70-014598,zed_(league),173,Zed（リーグオブレジェンド）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,zed_(league_of_legends),zed (league of legends),,,Zed（リーグオブレジェンド）,,league_of_legends,1.0,,,false
I70-014612,hatsune_miku_(if),172,初音ミクif,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,beta_miku,beta miku,,,初音ミクif,,vocaloid,1.0,hatsune_miku,初音ミク,false
I70-014645,south_dakota_kai_(kancolle),172,SouthDakota改,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,SouthDakota改,,kantai_collection,1.0,,,false
I70-014666,caenis_(swimsuit_rider)_(first_ascension)_(fate),171,Caenis（水着ライダー）（最初の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,Caenis（水着ライダー）（最初の昇天）（運命）,,fate/grand_order,1.0,caenis_(fate),カイニス,false
I70-014750,milfa_(to_heart),170,Milfa（心へ）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,hmx-17b,hmx-17b,,,Milfa（心へ）,,to_heart_(series),1.0,,,false
I70-015020,sakura_miku_(rella),166,桜ミクお花見コーデVer.,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,桜ミクお花見コーデVer.,,vocaloid,1.0,sakura_miku,桜ミク,false
I70-015097,model_zx_(mega_man),165,モデルZX（メガマン）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,model_zx,model zx,,,モデルZX（メガマン）,,mega_man_(series),1.0,,,false
I70-015161,otomachi_una_(sugar),164,大omachi una（砂糖）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,,,,,大omachi una（砂糖）,,vocaloid,0.981481,otomachi_una,音街ウナ,false
I70-015279,ifrit_(final_fantasy),162,ifrit（ファイナルファンタジー）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ifrit（ファイナルファンタジー）,,final_fantasy,1.0,,,false
I70-015371,mysterious_heroine_x_alter_(third_ascension)_(fate),161,神秘的なヒロインx alter（3番目の昇天）（運命）,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,神秘的なヒロインx alter（3番目の昇天）（運命）,,fate/grand_order,1.0,,,false
I70-015372,naga_u-chan,161,ナガU-chan,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED,,,,,ナガU-chan,,original,1.0,,,false
I70-015381,sakuranbou_(cookie),161,SKRNBU姉貴,,REVIEW_REQUIRED,Latin-heavy candidate requires verification,STATUS_REVIEW_REQUIRED | DISAMBIGUATOR_NOT_VISIBLE,,,,,SKRNBU姉貴,,cookie_(touhou),1.0,,,false
