row_id,canonical_tag,post_count,display_ja,search_ja,related_copyright_top1,related_copyright_top1_coverage,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-010566,anchorage_water_oni,262,泊地水鬼,,kantai_collection,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-010851,hiiragi_tsubomi,253,柊つぼみ,,22/7,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-010856,katsuragi_keima,253,桂木桂馬,,kami_nomi_zo_shiru_sekai,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-010938,appletun,250,タルップル,,pokemon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-011149,satou_mafuyu,245,佐藤真冬,,given,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-011175,kita_hinako,244,喜多日菜子,,idolmaster,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-012134,scarfy,219,スカーフィ,,kirby_(series),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-012439,nyanko-sensei,212,ニャンコ先生,,natsume_yuujinchou,0.995,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-012619,minazuki_ruka,208,水無月流歌,,fatal_frame,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-012995,ayanokouji_kiyotaka,200,綾小路清隆,,youkoso_jitsuryoku_shijou_shugi_no_kyoushitsu_e,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-013117,kanna_asumi,198,神名あすみ,,mahou_shoujo_madoka_magica,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-013334,kashiwagi_tsubasa,194,柏木翼,,idolmaster,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-013436,iwaizumi_hajime,192,岩泉一,,haikyuu!!,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-013768,candice_catnipp,186,キャンディス・キャットニップ,,bleach,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-013815,yzak_joule,186,イザーク・ジュール,,gundam,0.994083,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-014266,oerba_yun_fang,178,ヲルバ=ユン・ファング,,final_fantasy,0.99359,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-014624,mochida_arisa,172,持田亜里沙,,idolmaster,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-014648,thwackey,172,バチンキー,,pokemon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-014793,gammamon,169,ガンマモン,,digimon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-015425,kanbara_satomi,160,かんばらさとみ,,saki_(manga),1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
I70-015790,gigantamax_charizard,155,キョダイマックスリザードン,,pokemon,1.0,KEEP,,,SINGLE_JA_CANDIDATE_STRONG_CONTEXT_NO_CONFLICT,HIGH,exact preserved Japanese candidate/display/search evidence + strong related Copyright coverage,単一日本語候補・source完全一致・強い作品関係を満たし、衝突/variant欠落/構造異常がないため現表示を維持。,PROPOSED
