row_id,canonical_tag,post_count,display_ja,family_base_canonical,family_base_display_ja,translation_note,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-001558,tokai_teio_(peak_joy)_(umamusume),2106,トップ・オブ・ジョイフル,tokai_teio_(umamusume),トウカイテイオー（ウマ娘）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,トウカイテイオー（ウマ娘）（トップ・オブ・ジョイフル）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001630,nero_claudius_(bride)_(fate),2020,ネロ・ブライド,nero_claudius_(fate),ネロ・クラウディウス,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,ネロ・クラウディウス（ネロ・ブライド）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001661,jeanne_d'arc_alter_(ver._shinjuku_1999)_(fate),1978,邪竜の魔女ver.新宿1999,jeanne_d'arc_alter_(fate),ジャンヌ・ダルク〔オルタ〕,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,ジャンヌ・ダルク〔オルタ〕（邪竜の魔女ver.新宿1999）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001664,artoria_pendragon_(swimsuit_ruler)_(fate),1975,アルトリア・ルーラー,artoria_pendragon_(fate),アルトリア・ペンドラゴン,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,アルトリア・ペンドラゴン（アルトリア・ルーラー）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001685,oguri_cap_(starlight_beat)_(umamusume),1955,スターライトビート,oguri_cap_(umamusume),オグリキャップ（ウマ娘）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,オグリキャップ（ウマ娘）（スターライトビート）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001697,daiwa_scarlet_(peak_blue)_(umamusume),1942,トップ・オブ・ブルー,daiwa_scarlet_(umamusume),ダイワスカーレット（ウマ娘）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,ダイワスカーレット（ウマ娘）（トップ・オブ・ブルー）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001735,elysia_(hi_love_elf)_(honkai_impact),1906,ハーイ♥愛の妖精さん,elysia_(honkai_impact),エリシア（崩壊3rd）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,エリシア（崩壊3rd）（ハーイ♥愛の妖精さん）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001881,alice_margatroid_(pc-98),1789,旧作アリス,alice_margatroid,アリス・マーガトロイド,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,アリス・マーガトロイド（旧作アリス）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001948,mejiro_mcqueen_(frontline_elegance)_(umamusume),1733,エレガンス・ライン,mejiro_mcqueen_(umamusume),メジロマックイーン（ウマ娘）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,メジロマックイーン（ウマ娘）（エレガンス・ライン）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
I70-001951,bremerton_(scorching-hot_training)_(azur_lane),1729,熱々トレーニング,bremerton_(azur_lane),ブレマートン（アズールレーン）,既存日本語候補・Alias・作品文脈を確認して採用,FIX_DISPLAY,ブレマートン（アズールレーン）（熱々トレーニング）,,RESTORE_BASE_IDENTITY_KEEP_EVIDENCED_VARIANT_LABEL,HIGH,family base + current positively evidenced variant/form label,既存の衣装/フォーム名は変更せず、欠落していたキャラ本人名だけをfamily baseから復元。機械訳・identity mismatch laneは除外。,PROPOSED
