row_id,canonical_tag,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-035896,fate_(series),407263,Fateシリーズ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://typemoon.com/contents/,TYPE-MOON official contents use Fate as the franchise/series identity; existing Fateシリーズ is identity-safe.,PROPOSED
I70-035934,idolmaster_(classic),44384,アイドルマスター,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://idolmaster-official.jp/,Bandai Namco official portal uses アイドルマスター branding.,PROPOSED
I70-036080,atelier_(series),10890,アトリエ,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,アトリエシリーズ,アトリエ,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.gamecity.ne.jp/atelier/,Koei Tecmo official Atelier portal/store uses アトリエシリーズ; short アトリエ remains useful for search.,PROPOSED
I70-036087,axis_powers_hetalia,10399,にょたりあ,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ヘタリア Axis Powers,ヘタリア,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.deen.co.jp/works-archives/hetalia,Studio DEEN official work archive identifies ヘタリア Axis Powers.,PROPOSED
I70-036116,punishing:_gray_raven,8680,パニグレ,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,パニシング：グレイレイヴン,パニグレ,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://pgr.kurogames.com/jp/,KURO official Japanese product surface uses パニシング：グレイレイヴン; パニグレ is retained as search alias.,PROPOSED
I70-036278,my_little_pony,4586,マイリトルポニー,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.tv-tokyo.co.jp/anime/mylittle-pony/,TV Tokyo official Japanese program page uses マイリトルポニー.,PROPOSED
I70-036284,my_little_pony:_friendship_is_magic,4473,マイリトルポニー,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,マイリトルポニー ～トモダチは魔法～,マイリトルポニー,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.tv-tokyo.co.jp/anime/mylittle-pony/,TV Tokyo official Japanese title is マイリトルポニー ～トモダチは魔法～.,PROPOSED
I70-036290,zeta_gundam,4371,機動戦士Ζガンダム,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://gba.ggame.jp/character/detail.php?s=z,Bandai Namco official Gundam page uses 機動戦士Ζガンダム.,PROPOSED
I70-036373,rabbit_hole_(vocaloid),3356,ラビットホール,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://otoiro.co.jp/works/deco27-rh/,OTOIRO official work page uses ラビットホール.,PROPOSED
I70-036375,fate/prototype,3345,運命/プロトタイプ,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,Fate/Prototype,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://typemoon.com/contents/fate-prototype/,TYPE-MOON official title is Fate/Prototype.,PROPOSED
I70-036378,wizarding_world,3313,ウィザーディング・ワールド,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.warnerbros.co.jp/harrypotter/,Warner Bros. Japan official Harry Potter franchise surface supports the established ウィザーディング・ワールド identity.,PROPOSED
I70-036406,grimms_notes,3133,グリムノーツ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.jp.square-enix.com/grimms/,Square Enix official product surface uses グリムノーツ.,PROPOSED
I70-036420,mon-musu_quest!,2976,もんむす・くえすと,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,もんむす・くえすと！,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://mon110.sakura.ne.jp/mong/top.html,Developer official site identifies the title as もんむすくえすと！; normalized punctuation preserves the canonical work identity.,PROPOSED
I70-036432,toji_no_miko,2873,とじとも,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,刀使ノ巫女,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://tojinomiko.jp/,Official project site uses 刀使ノ巫女.,PROPOSED
I70-036436,berserk,2825,ベルセルク,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.berserk-anime.com/,Official anime site uses ベルセルク.,PROPOSED
I70-036437,final_fantasy_x,2823,ファイナルファンタジー10,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ファイナルファンタジーX,ファイナルファンタジー10 | FF10 | FFX,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.jp.square-enix.com/game/detail/ff10/,Square Enix official title uses Roman numeral X.,PROPOSED
I70-036440,final_fantasy_iv,2793,ファイナルファンタジー4,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ファイナルファンタジーIV,ファイナルファンタジー4 | FF4 | FFIV,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.jp.square-enix.com/ff4/,Square Enix official title uses Roman numeral IV.,PROPOSED
I70-036445,harry_potter_(series),2771,ハリポタ,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ハリー・ポッター,ハリポタ,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.warnerbros.co.jp/harrypotter/,Warner Bros. Japan official franchise surface uses ハリー・ポッター; ハリポタ is search-only shorthand.,PROPOSED
I70-036032,dc_comics,14643,DCコミック,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,DC,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.warnerbros.co.jp/character/,Warner Bros. Japan official character/franchise page labels the property DC.,PROPOSED
I70-036447,tales_of_symphonia,2768,シンフォニア,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,テイルズ オブ シンフォニア,シンフォニア,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://tosre-nowagain.tales-ch.jp/,Bandai Namco official remaster site uses テイルズ オブ シンフォニア.,PROPOSED
I70-036448,dragon_quest_iv,2763,ドラクエ4,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ドラゴンクエストIV 導かれし者たち,ドラクエ4 | DQ4,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.dragonquest.jp/products/list/device/videogame/page/17/base/13/,Square Enix Dragon Quest official product listing uses ドラゴンクエストIV 導かれし者たち.,PROPOSED
I70-036449,atelier_ryza_1,2733,ライザのアトリエ,,NEEDS_EXTERNAL_CHECK,FIX_BOTH,ライザのアトリエ ～常闇の女王と秘密の隠れ家～,ライザのアトリエ,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://www.gamecity.ne.jp/atelier/ryza/,Koei Tecmo official title includes the full subtitle.,PROPOSED
I70-036450,live_a_hero,2732,ライブ・ア・ヒーロー!,,NEEDS_EXTERNAL_CHECK,FIX_DISPLAY,ライブ・ア・ヒーロー！,,OFFICIAL_OR_FIRST_PARTY_TITLE_CONFIRMED_BATCH077,HIGH,https://live-a-hero.jp/,Official product site uses ライブ・ア・ヒーロー！.,PROPOSED
