row_id,canonical_tag,post_count,display_ja,search_ja,translation_note,reason_code,source_file
I70-035904,honkai_(series),188054,崩壊,,manual chat curation selected high-confidence Japanese copyright title,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,copyright_final_internal_external_split_batch064.csv
I70-035995,utdr_(toby_fox),20287,utdr (toby fox),,,UMBRELLA_FAN_TAG_UNVERIFIED,copyright_batch004_01.csv
I70-036017,touhou_(pc-98),16614,東方旧作,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv
I70-036024,alien_stage,15542,异形舞台,,,OFFICIAL_JA_SURFACE_UNVERIFIED,copyright_batch004_01.csv
I70-036038,saibou_shinkyoku,14001,さぼしき,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv
I70-036064,cookie_(touhou),12161,クッキー☆,,copyright title not uniquely resolved; manual verification required,COPYRIGHT_REVIEW_REQUIRES_EXTERNAL_TITLE_VERIFICATION,copyright_review_external_batch062.csv
I70-036121,stellive,8453,stellive,,,BRAND_SURFACE_UNVERIFIED,copyright_batch004_02.csv
I70-036212,hellaverse,5762,hellaverse,,,UMBRELLA_FANDOM_LABEL_UNVERIFIED,copyright_batch005_01.csv
I70-036233,osomatsu_(series),5396,おそ松さん/くん,,single clean Japanese copyright search title,FINAL_COPYRIGHT_REQUIRES_EXTERNAL_SEMANTIC_CHECK,copyright_final_internal_external_split_batch064.csv
I70-036237,touqi_guaitan,5287,头七,,,JA_LOCALIZATION_UNVERIFIED,copyright_batch005_02.csv
I70-036274,cyberpunk:_edgerunners_1,4647,cyberpunk: edgerunners 1,,,CANONICAL_SUFFIX_ONE_MEANING_UNVERIFIED,copyright_batch005_03.csv
I70-036303,avatar_legends,4222,降世神通,,,JA_FRANCHISE_SURFACE_UNVERIFIED,copyright_batch005_04.csv
I70-036305,ambience_synesthesia,4173,音律联觉,,,EVENT_JA_TITLE_UNVERIFIED,copyright_batch005_04.csv
