row_id,canonical_tag,category_name,post_count,display_ja,search_ja,translation_note,risk_flags,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-011033,yang_guifei_(third_ascension)_(fate),Character,248,yang guifei (third ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011054,lancer_(deltarune),Character,247,lancer (deltarune),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011067,rei_(guilty_gear),Character,247,rei (guilty gear),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011138,martha_(swimsuit_ruler)_(second_ascension)_(fate),Character,245,martha (swimsuit ruler) (second ascension) (fate),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP | VARIANT_DISPLAY_MISSING_BASE_IDENTITY,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011172,hong_kong_(hetalia),Character,244,hong kong (hetalia),,candidate contains non-Japanese/simplified-Chinese evidence requiring review,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011186,sage_(granblue_fantasy),Character,244,sage (granblue fantasy),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011194,cafe_(cafe-chan_to_break_time),Character,243,cafe (cafe-chan to break time),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011206,minion_2_(zannen_onna-kanbu_black_general-san),Character,243,minion 2 (zannen onna-kanbu black general-san),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011209,puni_(miku_plus),Character,243,puni (miku plus),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
I70-011223,female_priest_(dungeon_and_fighter),Character,242,female priest (dungeon and fighter),,full-width parenthetical candidate looks machine-generated or unverified,STATUS_REVIEW_REQUIRED | DISPLAY_CANONICAL_LIKE | ASCII_ONLY_DISPLAY_NON_ARTIST | NO_SOURCE_JA_EVIDENCE_OVERLAP,KEEP,,,IDENTITY_SAFE_CANONICAL_FALLBACK_ALREADY_APPLIED,HIGH,display equals readable canonical Danbooru tag exactly,日本語表記を推測せず、canonical tag由来のidentity-safe fallbackが既に適用済み。未検証の日本語名/作品名を再採用するより正確性を優先して現表示を維持。,PROPOSED
