row_id,canonical_tag,post_count,display_ja,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
I70-036114,mushoku_tensei,8753,無職転生,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_SHORT_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036115,gridman_universe,8744,古立特宇宙,FIX_DISPLAY,グリッドマン ユニバース,,CURRENT_DISPLAY_IS_NON_JAPANESE_TRANSLATION,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036120,bakemonogatari,8464,化物語,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036121,stellive,8453,stellive,NEEDS_EXTERNAL_CHECK,,,BRAND_SURFACE_UNVERIFIED,MEDIUM,canonical + Korean rejected evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036122,hunter_x_hunter,8441,ハンター×ハンター,FIX_BOTH,HUNTER×HUNTER,ハンター×ハンター | ハンターハンター,COPYRIGHT_OFFICIAL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036123,x-men,8432,X-メン,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_FORM,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036126,sanrio,8318,サンリオ,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_BRAND_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036128,metroid,8308,メトロイド,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_JA_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036132,sono_bisque_doll_wa_koi_wo_suru,8040,その着せ替え人形は恋をする,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036133,to_heart_(series),7997,to heart (series),FIX_BOTH,ToHeartシリーズ,トゥハート,COPYRIGHT_SERIES_NAME,HIGH,AQUAPLUS official ToHeart,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036134,fatal_fury,7980,餓狼,FIX_DISPLAY,餓狼伝説,,COPYRIGHT_JA_FRANCHISE_NAME,HIGH,SNK official,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036136,saki_(manga),7774,咲,FIX_DISPLAY,咲-Saki-,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,existing_candidate_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036137,kemono_friends_3,7634,けものフレンズ3,KEEP,,,CURRENT_DISPLAY_IS_CANONICAL_TITLE,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036138,hibike!_euphonium,7618,響け!ユーフォニアム,FIX_DISPLAY,響け！ユーフォニアム,,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036139,nanashi_inc.,7593,ななしいんく,KEEP,,,CURRENT_DISPLAY_IS_ESTABLISHED_BRAND_NAME,HIGH,internal source evidence,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036140,tiger_&_bunny,7548,タイガーアンドバニー,FIX_BOTH,TIGER & BUNNY,タイガーアンドバニー | タイバニ,COPYRIGHT_OFFICIAL_TITLE,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036141,marvel_rivals,7547,マーベルライバルズ,FIX_DISPLAY,マーベル・ライバルズ,,COPYRIGHT_OFFICIAL_JA_TITLE,HIGH,https://www.marvelrivals.com/jp/,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
I70-036142,to_love-ru,7494,ToLoveる,FIX_BOTH,To LOVEる -とらぶる-,とらぶる,COPYRIGHT_OFFICIAL_ORTHOGRAPHY,HIGH,existing_search_ja,"high-impact Copyright semantic audit; prefer canonical/official title over abbreviation, derivative or fan subtag",PROPOSED
