row_id,canonical_tag,category,post_count,media_scope,confidence,decision_source,scope_reason,primary_copyright,primary_copyright_coverage,evidence_refs
I70-000001,hatsune_miku,Character,145166,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999986,vocaloid,0.999986,
I70-000002,hakurei_reimu,Character,100404,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999979,touhou,0.999979,
I70-000003,kirisame_marisa,Character,87084,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999988,touhou,0.999988,
I70-000004,flandre_scarlet,Character,62630,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000005,remilia_scarlet,Character,62009,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999983,touhou,0.999983,
I70-000006,izayoi_sakuya,Character,53044,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000007,artoria_pendragon_(fate),Character,46122,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999470,fate_(series),0.999470,
I70-000008,komeiji_koishi,Character,45041,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999977,touhou,0.999977,
I70-000009,kochiya_sanae,Character,41039,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000010,konpaku_youmu,Character,40816,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999923,touhou,0.999923,
I70-000011,cirno,Character,40497,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999922,touhou,0.999922,
I70-000012,alice_margatroid,Character,39862,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999947,touhou,0.999947,
I70-000013,admiral_(kancolle),Character,39004,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999843,kantai_collection,0.999843,
I70-000014,sensei_(blue_archive),Character,39001,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999534,blue_archive,0.999534,
I70-000015,patchouli_knowledge,Character,38667,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999973,touhou,0.999973,
I70-000016,yakumo_yukari,Character,38402,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999917,touhou,0.999917,
I70-000017,shameimaru_aya,Character,34209,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999969,touhou,0.999969,
I70-000018,reisen_udongein_inaba,Character,31176,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999966,touhou,0.999966,
I70-000019,komeiji_satori,Character,30926,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000020,fujiwara_no_mokou,Character,30599,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999898,touhou,0.999898,
I70-000021,akemi_homura,Character,29832,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999965,mahou_shoujo_madoka_magica,0.999965,
I70-000022,kaname_madoka,Character,29732,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999929,mahou_shoujo_madoka_magica,0.999929,
I70-000023,hong_meiling,Character,28091,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999887,touhou,0.999887,
I70-000024,saigyouji_yuyuko,Character,27987,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000025,scaramouche_(genshin_impact),Character,26958,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999961,genshin_impact,0.999961,
I70-000026,kagamine_rin,Character,26130,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,vocaloid,1.000000,
I70-000027,inubashiri_momiji,Character,26070,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000028,konpaku_youmu_(ghost),Character,22831,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999864,touhou,0.999864,
I70-000029,yakumo_ran,Character,22748,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999862,touhou,0.999862,
I70-000030,kaenbyou_rin,Character,22732,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999954,touhou,0.999954,
I70-000031,kaga_(kancolle),Character,22190,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,kantai_collection,1.000000,
I70-000032,warrior_of_light_(ff14),Character,22188,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.998634,final_fantasy,0.998634,
I70-000033,rumia,Character,22166,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,touhou,1.000000,
I70-000034,doodle_sensei_(blue_archive),Character,22140,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999231,blue_archive,0.999231,
I70-000035,raiden_shogun,Character,22010,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999810,genshin_impact,0.999810,
I70-000036,lumine_(genshin_impact),Character,22008,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999904,genshin_impact,0.999904,
I70-000037,moriya_suwako,Character,21949,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999952,touhou,0.999952,
I70-000038,saber_(fate),Character,21185,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999191,fate_(series),0.999191,
I70-000039,trailblazer_(honkai:_star_rail),Character,21076,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999950,honkai_(series),0.999950,
I70-000040,mash_kyrielight,Character,20866,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 0.999242,fate_(series),0.999242,
I70-000041,link,Character,20714,IN_2D,HIGH,DOMINANT_COPYRIGHT_2D,dominant related Copyright is IN_2D at coverage 1.000000,the_legend_of_zelda,1.000000,
