canonical_tag,post_count,current_display_ja,current_search_ja,aliases,old_related_copyright,identity_status,display_status,search_status,ranking_status,relation_status,audit_note
hatsune_miku,145166,初音ミク（ボーカロイド）,初音ミク | ミク | ミクの日 | 初音ミクイラスト,/hm,vocaloid|utau|pokemon,PASS,REVIEW_OVERDISAMBIGUATION,REVIEW_NON_IDENTITY_TERMS,REVIEW,RELATION_BAD_OLD_COOCCURRENCE,Canonical is stable. Re-check added work suffix; search contains event/art terms; old Pokemon relation is known false positive.
gotoh_hitori,17931,後藤ひとり,後藤ひとり | ぼっちちゃん | ぼ喜多,bocchi (bocchi the rock!) | gotou hitori | bocchi_(bocchi_the_rock!) | gotou_hitori,bocchi_the_rock!|pokemon|chainsaw_man,PASS,PASS,REVIEW_NON_IDENTITY_TERMS,REVIEW,RELATION_BAD_OLD_COOCCURRENCE,"ぼ喜多 appears to be relationship/pairing search noise, not an identity alias. Pokemon/Chainsaw Man are relation pollution candidates."
dawn_(pokemon),9456,ヒカリ（ポケモン）,ヒカリ（ポケモン） | チビヒカリ | ヒカリ | ヒカリ(アニポケ) | ヒカリ(ダイヤモンド&パール) | ヒカリ(トレーナー) | ヒカリ(プラチナ),hikari (pokemon) | platina (pokemon) | platina berlitz | platinum (pokemon) | platinum berlitz | platinum_berlitz | hikari_(pokemon) | platina_berlitz | platina_(pokemon) | platinum_(pokemon),pokemon|pokemon_diamond/pearl/platinum|pokemon_(anime),PASS,PASS,REVIEW_CONTEXT_HEAVY,REVIEW,RELATION_UNKNOWN,Good alias/canonicalization regression case. Search terms include several contextual variants that should be checked for identity value.
pikachu,17407,ピカチュウ,ピカチュウ,,pokemon|pokemon_(anime)|pokemon_red/green/blue/yellow,PASS,PASS,PASS,PASS,RELATION_UNKNOWN,Simple high-profile control row.
ikazuchi_(kancolle),11435,雷（艦これ）,雷（艦これ） | 雷(艦隊これくしょん),ikazuchi (kantai collection) | ikazuchi_(kantai_collection),kantai_collection|pokemon,PASS,PASS,PASS,REVIEW,RELATION_BAD_OLD_COOCCURRENCE,Search was already deduplicated by Issue #70 semantic fix. Pokemon is known relation pollution.
inazuma_(kancolle),13551,電（艦これ）,電（艦これ） | 電(艦隊これくしょん),inazuma (kantai collection) | inazuma_(kantai_collection),kantai_collection|kantai_collection_(anime)|transformers,PASS,PASS,PASS,REVIEW,RELATION_BAD_OLD_COOCCURRENCE,"Search was already deduplicated. Transformers is a likely crossover/co-occurrence relation, not ownership."
shirakami_fubuki,15932,白上フブキ,白上フブキ | 絵フブキ,,hololive|hololive_english|pokemon,PASS,PASS,REVIEW_NON_IDENTITY_TERMS,REVIEW,RELATION_BAD_OLD_COOCCURRENCE,絵フブキ is an audit candidate for fanart/hashtag noise; Pokemon is known false relation.
kirby,10901,カービィ,カービィ,,kirby_(series)|super_smash_bros.|pokemon,PASS,PASS,PASS,PASS,RELATION_BAD_OLD_COOCCURRENCE,Character itself is clean; old Pokemon relation is known false positive. Good relation-only failure control.
cyrene_(demiurge)_(honkai:_star_rail),5745,キュレネ（崩壊）（demiurge）,キュレネ（デミウルゴス） | キュレネ,cyrene (ripples of past reverie) (honkai: star rail) | cyrene_(ripples_of_past_reverie)_(honkai:_star_rail),,REVIEW,FAIL_QUALIFIER,REVIEW,REVIEW,RELATION_UNKNOWN,High-impact REVIEW_REQUIRED row with mixed-language/nested qualifier display.
cyrene_(philia093)_(honkai:_star_rail),3659,キュレネ（崩壊）（philia093）,キュレネ（PhiLia093） | キュレネ,cyrene (aedes elysiae) (honkai: star rail) | cyrene_(aedes_elysiae)_(honkai:_star_rail),,REVIEW,FAIL_QUALIFIER,REVIEW,REVIEW,RELATION_UNKNOWN,High-impact nested qualifier display case.
aria_(human)_(zenless_zone_zero),2413,アリア（ゼンゼロ）（human）,アリア(人間) | アリア(ゼンゼロ),,,REVIEW,FAIL_QUALIFIER,REVIEW,REVIEW,RELATION_UNKNOWN,Mixed Japanese/English qualifier and ordering need review.
perlica_(arknights),2564,ペリカ（arknights）,ペリカ,,,PASS,FAIL_QUALIFIER,PASS,REVIEW,RELATION_UNKNOWN,Series qualifier remains untranslated in display.
spider-man_(original_suit),2392,スパイダーマン（original suit）,スパイダーマン(オリジナルスーツ),,,PASS,FAIL_QUALIFIER,PASS,REVIEW,RELATION_UNKNOWN,Qualifier is translated in search but not display.
luciana_de_montefio,2701,ルーシー,ルーシー | ルシアーナ・オクシスィース・テオドロ・デ・モンテフィーノ,lucy (zenless zone zero) | lucy_(zenless_zone_zero),,PASS,REVIEW,PASS,REVIEW,RELATION_UNKNOWN,Short display vs full canonical/localized name is a useful disambiguation test.
sameko_saba,2586,Sameko Saba,Sameko Saba | サメコサバ,,,PASS,REVIEW_OFFICIAL_LATIN,PASS,REVIEW,RELATION_UNKNOWN,ASCII display must not be auto-failed; verify official presentation.
kaito_(vocaloid),8971,KAITO,KAITO | かいと | カイト,kaito,,PASS,PASS,PASS,PASS,RELATION_UNKNOWN,ASCII-only accepted control; official stylized identity should remain Latin.
irys_(hololive),5884,IRyS,IRyS | アイリス,,,PASS,PASS,PASS,PASS,RELATION_UNKNOWN,ASCII-only accepted control; official stylization.
kurashina_asuka,132,倉科明日香,,,,PASS,PASS,REVIEW_MISSING_SEARCH,REVIEW,RELATION_UNKNOWN,Median post-count control; display looks usable while search_ja is empty.
12f_(arknights),50,12f (arknights),,,,REVIEW,REVIEW,REVIEW_MISSING_SEARCH,REVIEW,RELATION_UNKNOWN,Tail control; REVIEW_REQUIRED canonical fallback style.
