canonical_tag,post_count,aliases,prescreen_status,nearest_special_identity,reason,confidence,review_priority,concept_area,heuristic_score,heuristic_signals,calibration_anchor,content_filter_used
hair_between_eyes,1774591,bangs_between_eyes,LIKELY_CANDIDATE,between testicles (SpecialID 1108; score=0.490),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hair_over_one_eye,368681,eye_covering_bang|hair_over_eye|/hooe,LIKELY_CANDIDATE,penis over one eye (SpecialID 823; score=0.743),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
clothes_lift,286238,,LIKELY_CANDIDATE,clothes aside (SpecialID 2653; score=0.566),Calibration anchor: specific clothing-lift/exposure action; Special has adjacent clothes adjustment/removal identities but not the lift relation itself,HIGH,P0,CLOTHING_EXPOSURE,3,relation/body-site; visual/state; deep-concept,YES,NO
mole_under_eye,248379,,LIKELY_CANDIDATE,under boob (SpecialID 2642; score=0.450),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
hand_on_own_hip,228328,hand_on_hip|hand_on_waist,LIKELY_CANDIDATE,hand on own penis (SpecialID 797; score=0.748),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
covered_navel,196931,clothed_navel,LIKELY_CANDIDATE,covered anus (SpecialID 795; score=0.566),Calibration anchor: specific covered body-site state; complements existing navel and covering/exposure families,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; visual/state; deep-area,YES,NO
skindentation,161742,,LIKELY_CANDIDATE,fellatio (SpecialID 104; score=0.214),Calibration anchor: distinct body-surface/shape discovery concept,HIGH,P0,GENERAL_APPEARANCE_OBJECT,1,specific-state,YES,NO
thick_thighs,159807,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,LIKELY_CANDIDATE,thick penis (SpecialID 1382; score=0.555),Calibration anchor: specific body-morphology identity; Special has detailed morphology families but no thigh-thickness identity,HIGH,P0,BODY_RELATION_STATE,2,visual/state; deep-area,YES,NO
standing_on_one_leg,126535,on_one_foot|on_one_leg|standing_on_one_foot,LIKELY_CANDIDATE,skirt around one leg (SpecialID 2249; score=0.542),specific body relation state subtype/state is difficult to discover from the ordinary General vocabulary,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; pose/camera; compound; deep-area,NO,NO
arms_behind_back,124159,/abb|hands_behind_back|arms_behind,LIKELY_CANDIDATE,bare back (SpecialID 2208; score=0.513),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
ass_visible_through_thighs,117628,gluteal_fold|butt_fangs|ass_fangs,LIKELY_CANDIDATE,ass (SpecialID 2359; score=0.493),Calibration anchor: distinct visual relation useful for niche discovery,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; visual/state; compound; deep-area,YES,NO
scar_on_face,107259,facial_scar,LIKELY_CANDIDATE,cum on face (SpecialID 402; score=0.686),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
eyes_visible_through_hair,104042,eye_through_hair,LIKELY_CANDIDATE,see through (SpecialID 2134; score=0.465),Calibration anchor: specific visibility-through-material/body relation; fits deep relation/visibility discovery rather than ordinary appearance,HIGH,P0,BODY_RELATION_STATE,4,relation/body-site; visual/state; compound; deep-area,YES,NO
eyewear_on_head,99203,sunglasses_on_head|glasses_on_head,LIKELY_CANDIDATE,penis on head (SpecialID 815; score=0.623),specific body relation state concept has discovery value beyond ordinary General lookup,HIGH,P0,BODY_RELATION_STATE,3,relation/body-site; compound; deep-area,NO,NO
thigh_gap,97349,,LIKELY_CANDIDATE,thigh job (SpecialID 1641; score=0.542),Calibration anchor: distinct body-shape visual concept,HIGH,P0,BODY_RELATION_STATE,3,visual/state; specific-state; deep-area,YES,NO
