canonical_tag,post_count,aliases,v2_status,v2_priority,concept_area,human_review_status,human_review_reason,v2_reason,nearest_special_identity,queue_reason
breast_rest,12595,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,"likely specific breast/support relation, but surface meaning is terse enough to require semantic-boundary review",meaning is specific but the Special-versus-General boundary needs human review,breast (SpecialID 2632; score=0.768),V2_NEEDS_REVIEW
clothes_lift,286238,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,CANDIDATE,specific clothing-lift/exposure action; Special has adjacent clothes adjustment/removal identities but not the lift relation itself,meaning is specific but the Special-versus-General boundary needs human review,clothes aside (SpecialID 2653; score=0.566),V2_NEEDS_REVIEW
clothes_pull,108268,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,"real clothing-manipulation canonical, but Special clothes grab/adjusting clothes may already cover much of the discovery intent",meaning is specific but the Special-versus-General boundary needs human review,clit pull (SpecialID 1567; score=0.585),V2_NEEDS_REVIEW
gigantic_breasts,16189,gigantic_breast,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,"extreme morphology may fit Special depth, but boundary with broad General size vocabulary needs consistency review",meaning is specific but the Special-versus-General boundary needs human review,breasts (SpecialID 2170; score=0.724),V2_NEEDS_REVIEW
hand_on_own_thigh,20643,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,"specific self-contact pose, but may be common enough that General pose discovery is sufficient",meaning is specific but the Special-versus-General boundary needs human review,hand on own penis (SpecialID 797; score=0.727),V2_NEEDS_REVIEW
holding_pregnancy_test,902,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,CANDIDATE,specific reproduction-scene object/action identity beyond generic pregnancy,meaning is specific but the Special-versus-General boundary needs human review,holding tentacle (SpecialID 1868; score=0.486),V2_NEEDS_REVIEW
no_pants,76159,no_shorts|pantless|skirtless|no_skirt|pantsless,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,bottomless overlaps but is not necessarily identical to no-pants garment state,meaning is specific but the Special-versus-General boundary needs human review,pants no (SpecialID 2274; score=0.831),V2_NEEDS_REVIEW
pregnancy_test,1233,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,pregnancy-related object/scene canonical; plausible discovery value but may remain ordinary General,meaning is specific but the Special-versus-General boundary needs human review,bare anus (SpecialID 4; score=0.196),V2_NEEDS_REVIEW
sperm_cell,2940,,NEEDS_REVIEW,P1,BOUNDARY_CONCEPT,NEEDS_REVIEW,distinct biological identity beyond broad sperm; boundary between deep reproductive discovery and ordinary biology,meaning is specific but the Special-versus-General boundary needs human review,sperm (SpecialID 1250; score=0.750),V2_NEEDS_REVIEW
blood_on_hand,18256,blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,LIKELY_GENERAL_ONLY,P3,GENERAL_OBJECT_OR_ACTION_PLACEMENT,CANDIDATE,specific localized blood/body-site state for deep R18G discovery,ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,blood (SpecialID 2164; score=0.667),HUMAN_OVERRIDE_PROTECTED
hand_under_clothes,7084,hands_under_clothes,LIKELY_GENERAL_ONLY,P3,GENERAL_OBJECT_OR_ACTION_PLACEMENT,CANDIDATE,specific body-part/clothing spatial relation useful for action/exposure discovery,ordinary hand/finger and non-intimate body interaction; no deep Special relation is established,handjob under clothes (SpecialID 1103; score=0.749),HUMAN_OVERRIDE_PROTECTED
necktie_between_breasts,15420,,LIKELY_GENERAL_ONLY,P3,GENERAL_OBJECT_OR_ACTION_PLACEMENT,CANDIDATE,specific object/body spatial relation; a concrete reusable composition concept,ordinary object or accessory placed at a body location; placement alone is General discovery,cum between breasts (SpecialID 1290; score=0.698),HUMAN_OVERRIDE_PROTECTED
thighhighs_under_boots,9455,,LIKELY_GENERAL_ONLY,P3,GENERAL_ORDINARY_CLOTHING_STATE,CANDIDATE,specific garment-layer relation rather than an ordinary garment identity,"ordinary garment state/layering lacks an intimate, sexual, or through-clothes discovery concept",thighhighs only (SpecialID 2635; score=0.517),HUMAN_OVERRIDE_PROTECTED
huge_ass,36503,thick_ass|big_ass|big_butt,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,specific body-morphology identity; Special already treats other huge anatomy variants as deep dictionary entries,whole-tag meaning does not show a strong Special deep-discovery need,ass (SpecialID 2359; score=0.695),HUMAN_OVERRIDE_PROTECTED
leash_in_mouth,189,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,specific BDSM device/body-site relation distinct from generic leash,whole-tag meaning does not show a strong Special deep-discovery need,cumshot in mouth (SpecialID 1606; score=0.663),HUMAN_OVERRIDE_PROTECTED
lifting_own_clothes,88148,lifted_by_self,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,self-actor + clothing-lift relation is more specific than generic clothes adjustment/removal,whole-tag meaning does not show a strong Special deep-discovery need,living clothes (SpecialID 1870; score=0.580),HUMAN_OVERRIDE_PROTECTED
mixed-sex_bathing,9158,mixed_bathing|coed_bathing,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,NEEDS_REVIEW,specific relationship/scene identity but ordinary bathing may belong in General rather than deep Special,whole-tag meaning does not show a strong Special deep-discovery need,sex (SpecialID 54; score=0.552),HUMAN_OVERRIDE_PROTECTED
pov_crotch,31126,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,specific camera/body-site composition identity,whole-tag meaning does not show a strong Special deep-discovery need,crotch (SpecialID 2361; score=0.787),HUMAN_OVERRIDE_PROTECTED
public_urination,244,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,specific excretion + public-scene relation distinct from generic urination,whole-tag meaning does not show a strong Special deep-discovery need,urination (SpecialID 1993; score=0.774),HUMAN_OVERRIDE_PROTECTED
same-sex_bathing,14489,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,NEEDS_REVIEW,specific relationship/scene identity but ordinary bathing may belong in General rather than deep Special,whole-tag meaning does not show a strong Special deep-discovery need,sex (SpecialID 54; score=0.559),HUMAN_OVERRIDE_PROTECTED
skindentation,161742,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,distinct body-surface/shape discovery concept,whole-tag meaning does not show a strong Special deep-discovery need,fellatio (SpecialID 104; score=0.214),HUMAN_OVERRIDE_PROTECTED
thick_thighs,159807,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,specific body-morphology identity; Special has detailed morphology families but no thigh-thickness identity,whole-tag meaning does not show a strong Special deep-discovery need,thick penis (SpecialID 1382; score=0.555),HUMAN_OVERRIDE_PROTECTED
thigh_gap,97349,,LIKELY_GENERAL_ONLY,P3,GENERAL_OTHER,CANDIDATE,distinct body-shape visual concept,whole-tag meaning does not show a strong Special deep-discovery need,thigh job (SpecialID 1641; score=0.542),HUMAN_OVERRIDE_PROTECTED
applying_gag,256,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.630),V2_CANDIDATE
cloth_gag,4746,otm_gag,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,CANDIDATE,real gag subtype; Special has a deep gag device family but not this canonical subtype,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.675),V2_CANDIDATE
explosion_gag,284,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.619),V2_CANDIDATE
gag_around_neck,467,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,tentacle around neck (SpecialID 1879; score=0.668),V2_CANDIDATE
gag_chinstrap,139,gag_chin_strap,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.619),V2_CANDIDATE
holding_gag,209,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.643),V2_CANDIDATE
leash_between_breasts,98,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,alcohol between breasts (SpecialID 2710; score=0.702),V2_CANDIDATE
muzzle_gag,50,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.658),V2_CANDIDATE
stuffed_gag,433,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,gag (SpecialID 1825; score=0.643),V2_CANDIDATE
wraparound_tape_gag,179,,LIKELY_CANDIDATE,P0,SPECIAL_BDSM_RESTRAINT,,,BDSM/restraint/device relation is a deep Special discovery family,tape gag (SpecialID 1841; score=0.750),V2_CANDIDATE
arm_on_own_leg,287,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,cum on leg (SpecialID 1273; score=0.613),V2_CANDIDATE
ass_press,1123,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,ass (SpecialID 2359; score=0.675),V2_CANDIDATE
bite_mark_on_ass,257,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,slap mark on ass (SpecialID 2690; score=0.720),V2_CANDIDATE
bite_mark_on_breast,1317,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast (SpecialID 2632; score=0.616),V2_CANDIDATE
bite_mark_on_leg,211,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,cum on leg (SpecialID 1273; score=0.590),V2_CANDIDATE
bite_mark_on_thigh,607,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,cum on thigh (SpecialID 1275; score=0.613),V2_CANDIDATE
biting_ass,97,ass_biting|ass_bite|assbiting,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,ass (SpecialID 2359; score=0.658),V2_CANDIDATE
biting_breast,231,breast_biting|boob_chomp,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,,,body-site relation/state is structurally specific and may be hard to discover from General,breast (SpecialID 2632; score=0.734),V2_CANDIDATE
breast_press,68311,,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific body-contact/action concept rather than ordinary anatomy,body-site relation/state is structurally specific and may be hard to discover from General,breast (SpecialID 2632; score=0.750),V2_CANDIDATE
breasts_squeezed_together,37542,breast_squeeze|breasts_squeeze,LIKELY_CANDIDATE,P1,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific breast-position/compression state useful for body/pose discovery,body-site relation/state is structurally specific and may be hard to discover from General,breasts (SpecialID 2170; score=0.614),V2_CANDIDATE
