canonical_tag,post_count,post_count_bucket,aliases,concept_area,final_status,final_reason,v2_status,v2_priority,human_review_status,nearest_special_identity,queue_reason
clothes_lift,286238,>=100k,,BOUNDARY_CONCEPT,CANDIDATE,specific clothing-lift/exposure action; Special has adjacent clothes adjustment/removal identities but not the lift relation itself,NEEDS_REVIEW,P1,CANDIDATE,clothes aside (SpecialID 2653; score=0.566),V2_NEEDS_REVIEW
skindentation,161742,>=100k,,GENERAL_OTHER,CANDIDATE,distinct body-surface/shape discovery concept,LIKELY_GENERAL_ONLY,P3,CANDIDATE,fellatio (SpecialID 104; score=0.214),HUMAN_OVERRIDE_PROTECTED
thick_thighs,159807,>=100k,huge_thighs|fat_thighs|big_thighs|thunder_thighs|thighthick,GENERAL_OTHER,CANDIDATE,specific body-morphology identity; Special has detailed morphology families but no thigh-thickness identity,LIKELY_GENERAL_ONLY,P3,CANDIDATE,thick penis (SpecialID 1382; score=0.555),HUMAN_OVERRIDE_PROTECTED
ass_visible_through_thighs,117628,>=100k,gluteal_fold|butt_fangs|ass_fangs,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,distinct visual relation useful for niche discovery,LIKELY_CANDIDATE,P1,CANDIDATE,ass (SpecialID 2359; score=0.493),V2_CANDIDATE
clothes_pull,108268,>=100k,,BOUNDARY_CONCEPT,CANDIDATE,"real clothing-manipulation canonical, but Special clothes grab/adjusting clothes may already cover much of the discovery intent",NEEDS_REVIEW,P1,NEEDS_REVIEW,clit pull (SpecialID 1567; score=0.585),V2_NEEDS_REVIEW
thigh_gap,97349,"10k-99,999",,GENERAL_OTHER,CANDIDATE,distinct body-shape visual concept,LIKELY_GENERAL_ONLY,P3,CANDIDATE,thigh job (SpecialID 1641; score=0.542),HUMAN_OVERRIDE_PROTECTED
lifting_own_clothes,88148,"10k-99,999",lifted_by_self,GENERAL_OTHER,CANDIDATE,self-actor + clothing-lift relation is more specific than generic clothes adjustment/removal,LIKELY_GENERAL_ONLY,P3,CANDIDATE,living clothes (SpecialID 1870; score=0.580),HUMAN_OVERRIDE_PROTECTED
breast_press,68311,"10k-99,999",,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific body-contact/action concept rather than ordinary anatomy,LIKELY_CANDIDATE,P1,CANDIDATE,breast (SpecialID 2632; score=0.750),V2_CANDIDATE
breasts_apart,61893,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific breast-position/body-state identity not represented by generic breasts,LIKELY_CANDIDATE,P1,CANDIDATE,breasts (SpecialID 2170; score=0.765),V2_CANDIDATE
micro_bikini,59624,"10k-99,999",microbikini,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific clothing/exposure subtype,LIKELY_CANDIDATE,P1,CANDIDATE,crotchless bikini (SpecialID 2089; score=0.552),V2_CANDIDATE
blood_on_face,59531,"10k-99,999",bloody_face,SPECIAL_R18G_BODY_STATE,CANDIDATE,localized blood/body-site state fits deep R18G discovery; broad blood does not identify the site relation,LIKELY_CANDIDATE,P0,CANDIDATE,blood (SpecialID 2164; score=0.667),V2_CANDIDATE
mole_on_breast,58430,"10k-99,999",,SPECIAL_INTIMATE_ADORNMENT_STATE,CANDIDATE,specific body-mark + site relation; Special already carries analogous site-specific mole identities,LIKELY_CANDIDATE,P1,CANDIDATE,breast (SpecialID 2632; score=0.687),V2_CANDIDATE
bikini_top_only,43620,"10k-99,999",bikini_top,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific partial-garment/exposure state rather than ordinary bikini identity,LIKELY_CANDIDATE,P1,CANDIDATE,untied bikini top (SpecialID 2061; score=0.615),V2_CANDIDATE
bouncing_breasts,38896,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific breast-motion state; Special has analogous bouncing penis/testicles but not breasts,LIKELY_CANDIDATE,P1,CANDIDATE,breasts (SpecialID 2170; score=0.724),V2_CANDIDATE
breasts_squeezed_together,37542,"10k-99,999",breast_squeeze|breasts_squeeze,SPECIAL_BODY_RELATION_STATE,CANDIDATE,specific breast-position/compression state useful for body/pose discovery,LIKELY_CANDIDATE,P1,CANDIDATE,breasts (SpecialID 2170; score=0.614),V2_CANDIDATE
huge_ass,36503,"10k-99,999",thick_ass|big_ass|big_butt,GENERAL_OTHER,CANDIDATE,specific body-morphology identity; Special already treats other huge anatomy variants as deep dictionary entries,LIKELY_GENERAL_ONLY,P3,CANDIDATE,ass (SpecialID 2359; score=0.695),HUMAN_OVERRIDE_PROTECTED
hand_between_own_legs,36500,"10k-99,999",hand_between_own_thighs|hand_between_thighs|arm_between_own_legs|hand_between_legs,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific self body-part spatial pose relation beyond generic hand/leg pose tags,LIKELY_CANDIDATE,P1,CANDIDATE,hand on own penis (SpecialID 797; score=0.550),V2_CANDIDATE
blood_on_clothes,35529,"10k-99,999",bloody_clothes|blood-stained_clothes,SPECIAL_R18G_BODY_STATE,CANDIDATE,localized blood-on-material state; distinct from broad blood and useful in R18G discovery,LIKELY_CANDIDATE,P0,CANDIDATE,cum on clothes (SpecialID 351; score=0.663),V2_CANDIDATE
arm_under_breasts,34473,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific body-part/breast spatial relation useful for pose discovery,LIKELY_CANDIDATE,P1,CANDIDATE,penis under breasts (SpecialID 1180; score=0.683),V2_CANDIDATE
midriff_peek,31330,"10k-99,999",stomach_peek|belly_peek,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific partial-exposure state; distinct from generic midriff,LIKELY_CANDIDATE,P1,CANDIDATE,midriff (SpecialID 2228; score=0.782),V2_CANDIDATE
pov_crotch,31126,"10k-99,999",,GENERAL_OTHER,CANDIDATE,specific camera/body-site composition identity,LIKELY_GENERAL_ONLY,P3,CANDIDATE,crotch (SpecialID 2361; score=0.787),HUMAN_OVERRIDE_PROTECTED
crotch_seam,29610,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific garment/body-site structural feature useful in clothing/exposure discovery,LIKELY_CANDIDATE,P1,CANDIDATE,crotch (SpecialID 2361; score=0.768),V2_CANDIDATE
highleg_panties,28671,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific revealing garment structure rather than color/style-only underwear variant,LIKELY_CANDIDATE,P1,CANDIDATE,panties (SpecialID 2112; score=0.736),V2_CANDIDATE
hanging_breasts,27904,"10k-99,999",hanging_boob|hangingboob,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific breast shape/state identity beyond generic breasts,LIKELY_CANDIDATE,P1,CANDIDATE,breasts (SpecialID 2170; score=0.736),V2_CANDIDATE
panties_around_one_leg,27261,"10k-99,999",panties_around_leg|/paol,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific displaced-garment/body relation; Special already supports analogous around-one-leg clothing states,LIKELY_CANDIDATE,P1,CANDIDATE,skirt around one leg (SpecialID 2249; score=0.725),V2_CANDIDATE
highleg_one-piece_swimsuit,26852,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,"specific exposure, clothing-barrier, or garment-state concept improves deep Special discovery",LIKELY_CANDIDATE,P1,,one-piece swimsuit pull (SpecialID 2231; score=0.713),V2_CANDIDATE
highleg_bikini,23531,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific revealing garment subtype rather than a color/style-only variant,LIKELY_CANDIDATE,P1,CANDIDATE,crotchless bikini (SpecialID 2089; score=0.532),V2_CANDIDATE
clothes_between_breasts,18555,"10k-99,999",clothing_between_breasts,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific clothing/body spatial relation distinct from generic clothes or breasts,LIKELY_CANDIDATE,P1,CANDIDATE,cum between breasts (SpecialID 1290; score=0.698),V2_CANDIDATE
micro_shorts,18389,"10k-99,999",,SPECIAL_GARMENT_SUBTYPE,CANDIDATE,specific micro-garment subtype; distinct canonical discovery term,LIKELY_CANDIDATE,P1,CANDIDATE,micro pasties (SpecialID 2439; score=0.566),V2_CANDIDATE
blood_on_hand,18256,"10k-99,999",blood_on_hands|blood_on_fingers|bloody_hands|bloody_fingers,GENERAL_OBJECT_OR_ACTION_PLACEMENT,CANDIDATE,specific localized blood/body-site state for deep R18G discovery,LIKELY_GENERAL_ONLY,P3,CANDIDATE,blood (SpecialID 2164; score=0.667),HUMAN_OVERRIDE_PROTECTED
gigantic_breasts,16189,"10k-99,999",gigantic_breast,BOUNDARY_CONCEPT,CANDIDATE,"extreme morphology may fit Special depth, but boundary with broad General size vocabulary needs consistency review",NEEDS_REVIEW,P1,NEEDS_REVIEW,breasts (SpecialID 2170; score=0.724),V2_NEEDS_REVIEW
arms_under_breasts,14767,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,CANDIDATE,specific multi-arm/breast spatial relation useful for pose discovery,LIKELY_CANDIDATE,P1,CANDIDATE,penis under breasts (SpecialID 1180; score=0.698),V2_CANDIDATE
breast_rest,12595,"10k-99,999",,BOUNDARY_CONCEPT,CANDIDATE,"likely specific breast/support relation, but surface meaning is terse enough to require semantic-boundary review",NEEDS_REVIEW,P1,NEEDS_REVIEW,breast (SpecialID 2632; score=0.768),V2_NEEDS_REVIEW
