canonical_tag,post_count,post_count_bucket,aliases,concept_area,final_status,final_reason,v2_status,v2_priority,human_review_status,nearest_special_identity,queue_reason
no_bra,124019,>=100k,,SPECIAL_OVERLAP_BOUNDARY,DUPLICATE_ALREADY_COVERED,Special semantic braless / bra no already substantively expresses the same absence state,POSSIBLE_DUPLICATE,P2,DUPLICATE_ALREADY_COVERED,bra no (SpecialID 2178; score=0.775),V2_POSSIBLE_DUPLICATE
no_pants,76159,"10k-99,999",no_shorts|pantless|skirtless|no_skirt|pantsless,BOUNDARY_CONCEPT,DUPLICATE_ALREADY_COVERED,bottomless overlaps but is not necessarily identical to no-pants garment state,NEEDS_REVIEW,P1,NEEDS_REVIEW,pants no (SpecialID 2274; score=0.831),V2_NEEDS_REVIEW
spread_ass,7369,"1k-9,999",,SPECIAL_OVERLAP_BOUNDARY,DUPLICATE_ALREADY_COVERED,Special semantic ass spread is the same substantive concept with word order reversed,POSSIBLE_DUPLICATE,P2,DUPLICATE_ALREADY_COVERED,ass spread (SpecialID 1809; score=0.820),V2_POSSIBLE_DUPLICATE
wide_spread_legs,6737,"1k-9,999",,SPECIAL_OVERLAP_BOUNDARY,DUPLICATE_ALREADY_COVERED,Special spread legs / legs spread already substantively covers this pose; width modifier needs no separate deep identity,POSSIBLE_DUPLICATE,P2,DUPLICATE_ALREADY_COVERED,spread legs (SpecialID 2360; score=0.850),V2_POSSIBLE_DUPLICATE
open_towel,350,100-999,,SPECIAL_OVERLAP_BOUNDARY,DUPLICATE_ALREADY_COVERED,Special semantic towel open is the same substantive concept with word order reversed,POSSIBLE_DUPLICATE,P2,DUPLICATE_ALREADY_COVERED,towel open (SpecialID 2278; score=0.775),V2_POSSIBLE_DUPLICATE
hair_over_one_eye,368681,>=100k,eye_covering_bang|hair_over_eye|/hooe,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,,penis over one eye (SpecialID 823; score=0.743),V2_CANDIDATE
covered_navel,196931,>=100k,clothed_navel,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,CANDIDATE,covered anus (SpecialID 795; score=0.566),V2_CANDIDATE
eyes_visible_through_hair,104042,>=100k,eye_through_hair,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,CANDIDATE,see through (SpecialID 2134; score=0.465),V2_CANDIDATE
one_eye_covered,72764,"10k-99,999",covered_eye,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,,penis over one eye (SpecialID 823; score=0.504),V2_CANDIDATE
between_breasts,64738,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,CANDIDATE,cum between breasts (SpecialID 1290; score=0.880),V2_CANDIDATE
between_legs,50107,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,,between testicles (SpecialID 1108; score=0.583),V2_CANDIDATE
legs_apart,46758,"10k-99,999",,SPECIAL_EXPOSURE_CLOTHING_STATE,GENERAL_ONLY,final human review: ordinary/general expansion; Special would become overly Cartesian or redundant,LIKELY_CANDIDATE,P1,,legs bound apart (SpecialID 1919; score=0.829),V2_CANDIDATE
