canonical,post_count,aliases,mechanical_status,nearest_special,lex_sim,review_status,review_reason,content_filter_used
large_breasts,2245881,big_breasts|/lb|large_boobs|large_breast|large_tits,GENERAL_ONLY_GAP,breasts,0.9,OUTSIDE_SPECIAL_NONCONTENT,common broad body-size descriptor; General search is sufficient and Special depth is not improved by duplicating baseline size vocabulary,NO
medium_breasts,1209874,,GENERAL_ONLY_GAP,breasts,0.9,OUTSIDE_SPECIAL_NONCONTENT,common broad body-size descriptor; keep in General rather than expanding Special with baseline size vocabulary,NO
small_breasts,713639,,GENERAL_ONLY_GAP,breasts,0.9,OUTSIDE_SPECIAL_NONCONTENT,common broad body-size descriptor; keep in General rather than expanding Special with baseline size vocabulary,NO
bikini,697865,,GENERAL_ONLY_GAP,bikini bottom aside,0.9,OUTSIDE_SPECIAL_NONCONTENT,ordinary base garment identity already discoverable through General; Special should keep deeper structural/relational bikini concepts,NO
thigh_strap,249323,thighband|thigh_band|thigh_straps,GENERAL_ONLY_GAP,vibrator in thigh strap,0.9,OUTSIDE_SPECIAL_NONCONTENT,ordinary accessory identity; lacks the deep relation/state specificity targeted by Special,NO
white_panties,242720,,GENERAL_ONLY_GAP,panties,0.9,OUTSIDE_SPECIAL_NONCONTENT,color-only ordinary underwear variant; General is sufficient,NO
black_panties,181159,,GENERAL_ONLY_GAP,panties,0.9,OUTSIDE_SPECIAL_NONCONTENT,color-only ordinary underwear variant; General is sufficient,NO
black_bikini,164627,black_bikini_top|black_bikini_bottom,GENERAL_ONLY_GAP,black chastity cage,0.855,OUTSIDE_SPECIAL_NONCONTENT,color-only ordinary garment variant; General is sufficient,NO
white_bikini,136739,white_bikini_top|white_bikini_bottom,GENERAL_ONLY_GAP,bikini bottom aside,0.855,OUTSIDE_SPECIAL_NONCONTENT,color-only ordinary garment variant; General is sufficient,NO
thigh_boots,123284,thighhigh_boots|thighboots,GENERAL_ONLY_GAP,footjob with boots,0.855,OUTSIDE_SPECIAL_NONCONTENT,ordinary footwear subtype; General discovery is sufficient,NO
alternate_breast_size_(larger),93118,larger_breasts_than_canon,GENERAL_ONLY_GAP,breast,0.9,OUTSIDE_SPECIAL_NONCONTENT,character-deviation/meta comparison rather than a reusable deep discovery concept,NO
pink_panties,61892,,GENERAL_ONLY_GAP,panties,0.9,OUTSIDE_SPECIAL_NONCONTENT,color-only ordinary underwear variant; General is sufficient,NO
sports_bra,51301,,GENERAL_ONLY_GAP,bra,0.9,OUTSIDE_SPECIAL_NONCONTENT,ordinary garment subtype with no special relation/state requirement; General is sufficient,NO
bikini_top_only,43620,bikini_top,GENERAL_ONLY_GAP,anal only,0.855,CANDIDATE,specific partial-garment/exposure state rather than ordinary bikini identity,NO
highleg_panties,28671,,GENERAL_ONLY_GAP,panties,0.9,CANDIDATE,specific revealing garment structure rather than color/style-only underwear variant,NO
