canonical,display_ja,decision,risk_class,language_sanity_provenance
slave_brand,奴隷の焼印,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sleep_mask,アイマスク,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sleeve_bow,袖・リボン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sleeve_cuffs,袖口,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sleeve_zipper,タグ「sleeve zipper」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
sleeveless_hoodie,ノースリーブパーカー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sleeveless_turtleneck,アメリカンスリーブ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sliding_doors,引き戸,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
slime_(substance),スライム,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
slingshot_swimsuit,マンキニ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
slingshot_swimsuit_pull,slingshot・水着・引っ張る,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
slippers,スリッパ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
slot_machine,スロットマシン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
small_chastity_cage,small・貞操帯・檻,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
small_nipples,小さな乳首,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
small_penis,粗チン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
small_penis_humiliation,小さな陰茎屈辱,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
small_sweatdrop,タグ「small sweatdrop」,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
small_testicles,小美玉,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smalldom,小さな支配,RELAXED_KEEP_JA,LOW,CANONICAL_LANGUAGE_MAP
smell,匂い,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smelling,嗅ぐ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smelling_ass,臭いのあるお尻,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smiley_face,スマイルマーク,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smirk,にやり顔,RELAXED_KEEP_JA,LOW,CANONICAL_LANGUAGE_MAP
smokestack_hair_ornament,スモークスタックの髪の飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smoking,くわえタバコ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smoking_pipe,パイプ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
smug,どや乳,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snake,へび,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snake_earrings,ヘビイヤリング,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snake_girl,蛇女,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snake_tail,蛇尾,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snapping_fingers,指パッチン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snot,鼻水,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snout,鼻口部,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snow_on_head,頭の雪,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_earrings,スノーフレークイヤリング,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowflake_hair_ornament,スノーフレークの髪の飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowing,降雪,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
snowman,雪だるま,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soccer_ball,サッカーボール,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
socks_over_thighhighs,太い靴の上に靴下,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
soda_can,ソーダ缶,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sound_effects,オノマトペ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sounding,尿道責め,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spade_(shape),スペード,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
spade_brooch,スペード・ブローチ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spade_earrings,スペードイヤリング,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spade_hair_ornament,スペードヘアオーナメント,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spade_ornament,スペード・飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spade_pasties,スペード・pasties,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
spade_pendant,スペード・pendant,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
spade_tattoo,スペードタトゥー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spaghetti_strap,スパゲッティストラップ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spandex,スパンデックス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spanish_text,スペイン語,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spanked,スパンキング,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spanking,お尻叩き,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spanking_self,お尻ペンペン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sparkle_hair_ornament,輝く髪の飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sparkle_print,スパークルプリント,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sparkling_eyes,キラキラした目,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sparse_pubic_hair,ロリ陰毛,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spasm,痙攣,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spatula,へら,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
speculum,クスコ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
speed_lines,速度線,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
sperm_cell,精子,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sphere_earrings,球体のイヤリング,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
sphere_hair_ornament,球体の髪飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spider_gag,スパイダーギャグ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spider_tattoo,スパイダータトゥー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spider_web_print,蜘蛛の巣柄,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
spiked_armlet,スパイクアームレット,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
