canonical,display_ja,decision,risk_class,language_sanity_provenance
winged_animal,翼のある動物,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_arms,翼腕,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_bag,羽リュック,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_boots,wingedのブーツ,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_cat,winged・猫,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_gloves,wingedの手袋,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_hair_ornament,翼のある髪の飾り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_hair_tie,winged・髪・tie,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_hairband,翼のあるヘアバンド,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_halo,タグ「winged halo」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_hat,翼のある帽子,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_headphones,タグ「winged headphones」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_headwear,タグ「winged headwear」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_heart,翼のある心,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_heart_tattoo,winged heartのタトゥー,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_helmet,羽根兜,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_sandals,winged・サンダル,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_shoes,wingedの靴,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_skull,タグ「winged skull」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_sleeves,タグ「winged sleeves」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winged_sword,翼のある剣,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_unicorn,アリコーン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_wand,翼のある杖,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winged_weapon,wingedの武器,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wings_as_eyes,翼・as・目,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wings_over_eyes,翼・覆う目,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wings_through_clothes,翼・越しの服,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wingtip_collar,wingtip・襟,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wink_heart,wink・ハート,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wink_star,wink・星,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
winking_(animated),タグ「winking (animated)」,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winnie_the_pooh_reading_(meme),紙を見るプーさん,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
winter_clothes,冬服,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winter_coat,冬物コート,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winter_daphne,ジンチョウゲ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
winter_gloves,冬の手袋,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wintersweet,ロウバイ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wipers,ワイパー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping,拭く,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_another's_face,wiping・他人の顔,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wiping_blood,擦拭血迹,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_face,擦顔,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_forehead,額を拭く,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_hands,手を拭く,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_mouth,擦嘴,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wiping_nose,鼻を拭く,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_pussy,事後清理,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_sweat,汗を拭う,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wiping_tears,抹眼泪,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wire_cutters,ワイヤーカッター,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wire_fence,ワイヤーフェンス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wire_manipulation,糸使い,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wireframe,ワイヤーフレーム,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wireless,無線,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wireless_earphones,ワイヤレスイヤホン,RELAXED_KEEP_JA,EXCEPTION,CANONICAL_LANGUAGE_MAP
wireless_game_controller,タグ「wireless game controller」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wireless_headphones,タグ「wireless headphones」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wireless_microphone,タグ「wireless microphone」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wireless_mouse,ワイヤレスマウス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wisdom_cube_(azur_lane),メンタルキューブ,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
wish_(ado),タグ「wish (ado)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wishcore,ウィッシュコア,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wishing_cairn_(e.g.o),wishing cairn (e.g.o),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
wispy_bangs,すだれ前髪,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wisteria,藤の花,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wisteria_print,wisteriaの柄,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
witch's_labyrinth,結界,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
witch_(fire_emblem_fates)_(cosplay),witch (fire emblem fates) (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
witch_(madoka_magica),魔女(魔法少女まどか☆マギカ),RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
witch_(manosaba),魔女化エマ,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
witcher_medallion,ウィッチャーメダリオン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
witches_5,ウィッチーズ5,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
withered,枯れ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wizard,魔法使い,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wizard_hat,巫师帽,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wizardriver,ウィザードライバー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wo-class_aircraft_carrier_(cosplay),WOクラスの航空機キャリア（コスプレ）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
woe_plague_be_upon_ye_(meme),woe plague be upon ye (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
wok,鑊,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf's_gravestone_(genshin_impact),狼の墓碑,RELAXED_KEEP_JA,HIGH,CANONICAL_LANGUAGE_MAP
wolf_brooch,wolf・ブローチ,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wolf_cub,タグ「wolf cub」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wolf_cut,ウルフカット,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf_hat,オオカミの帽子,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf_head,wolf・頭,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wolf_hood,オオカミフッド,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf_mask,ウルフマスク,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf_pelt,オオカミの毛皮,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wolf_print,wolfの柄,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
wolfhook_(genshin_impact),wolfhook (genshin impact),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
wolfsbane_(flower),トリカブト,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
woman_yelling_at_cat_(meme),猫で叫ぶ女性（ミーム）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
womb_massage,体外式ポルチオマッサージ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
women's_day,ミモザの日,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
women's_toilet_symbol,women・toilet・記号,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
women_want_me_fish_fear_me_(meme),women want me fish fear me (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
wonder_magical_showtime!_(project_sekai),ワンダーマジカルショウタイム!,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
wonder_ride_book,ワンダーライドブック,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wonder_woman_(cosplay),wonder woman (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
wonderful_pact,ワンダフルパクト,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
wonderhorror~!?_na_kimodameshi!_(project_sekai),わんだほら~!?な肝だめし!,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
wonderlands_x_showtime_(project_sekai),ワンダショミク,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
