canonical,display_ja,decision,risk_class,language_sanity_provenance
holding_eyepatch,アイパッチを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_feet,持つ・足,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_figure,を持つ・figure,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_finger,持つ・指,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_fireworks,花火を持っている,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_first_aid_kit,を持つ・first・aid・kit,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_fish,魚を持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_fishing_rod,釣り竿を持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flag,旗を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flail,を持つ・flail,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_flame,炎を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flamethrower,を持つ・flamethrower,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_flashlight,懐中電灯を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flask,フラスコを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_floatie,を持つ・floatie,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_flower,持つ・花,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flower_pot,植木鉢を持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_flute,を持つ・flute,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_flyer,を持つ・flyer,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_folder,フォルダーを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_fork,フォークを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_frog,を持つ・frog,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_fruit,果物を持っている,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_frying_pan,フライパンを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_gag,ギャグを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_game_cartridge,を持つ・game・cartridge,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_game_controller,拿着游戏手柄,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_gem,宝石を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_ghost,を持つ・ghost,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_gift,贈り物を持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_glass_shard,を持つ・glass・shard,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_globus_cruciger,を持つ・globus・cruciger,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_gloves,持つ・手袋,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_go_stone,を持つ・go・stone,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_goggles,ゴーグルを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_gohei,Goheiを保持します,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_golf_club,ゴルフクラブを開催,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_gourd,ひょうたんを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_grass,を持つ・grass,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_grater,を持つ・grater,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_grenade,手ren弾を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_guitar,を持つ・guitar,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_gun_barrel,を持つ・gun・barrel,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hair_brush,ヘアブラシを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hair_clipper,を持つ・髪・clipper,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hair_dryer,ヘアドライヤーを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hair_ornament,髪の飾りを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hairband,持つ・ヘアバンド,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hairpin,を持つ・hairpin,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_halloween_bucket,を持つ・halloween・bucket,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_halo,持つ・光輪,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hammer,ハンマーを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_handcuffs,を持つ・handcuffs,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_handkerchief,ハンカチを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_handlebar,を持つ・handlebar,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hands_is_lewd,手を握っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_harp,を持つ・harp,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_harpoon,を持つ・harpoon,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_head_wreath,を持つ・頭・wreath,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_headband,holdingのヘアバンド,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_headdress,持つ髪飾り,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_headgear,ヘッドギアを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_headphones,ヘッドフォンを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_heart,持つ・ハート,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_heart_(organ),タグ「holding heart (organ)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hockey_stick,を持つ・hockey・stick,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hoe,を持つ・hoe,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_holly,を持つ・holly,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_hood,持つ・フード,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hoodie,パーカーを持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hose,ホースを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hourglass,砂時計を保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_hula_hoop,を持つ・hula・hoop,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_ice,を持つ・ice,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_ice_cream,手持冰淇淋,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_ice_cream_cone,手持冰淇淋甜筒,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_ice_cream_scoop_(utensil),タグ「holding ice cream scoop (utensil)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_instrument,保持器具,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_instrument_case,を持つ・楽器・case,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_iv_stand,を持つ・iv・stand,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_jar,瓶を持っています,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_javelin,ジャベリンを持っている,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_jug,水差しを保持,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_juice_box,を持つ・juice・box,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_jump_rope,を持つ・jump・rope,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_kettle,ケトルを保持します,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
holding_kickboard,を持つ・kickboard,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_kinchaku,を持つ・kinchaku,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_kite,を持つ・kite,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
holding_knife,手持刀,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
