canonical,display_ja,decision,risk_class,language_sanity_provenance
in_locker,ロッカーで,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_memoriam,追悼イラスト,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_nest,の中のnest,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
in_orbit,軌道で,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_palm,手のひらで,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_pocket,ポケットに,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_pot,ポットで,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_refrigerator,冷蔵庫で,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_sack,袋に,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_shopping_cart,ショッピングカートで,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_snow_globe,の中のsnow・globe,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
in_the_face,ジャイアンパンチ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_the_name_of_love_and_hate_(e.g.o),in the name of love and hate (e.g.o),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
in_trash_can,の中のtrash・can,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
in_tree,樹上,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
in_trunk,の中のtrunk,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
in_washing_machine,の中のwashing・machine,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
ina's_back_(meme),ina's back (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
inaba_tewi_(cosplay),inaba tewi（コスプレ）,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inarizushi,いなり寿司,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
inazuma_city,稲妻城,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
inazuma_japan,イナズマジャパン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incense,香,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incense_burner,こうろ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incoming_drink,入ってくる飲み物,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incoming_gift,着信ギフト,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incoming_letter,入ってくる手紙,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
incoming_object,incoming・物体,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inconsistent_censoring,inconsistent censの指輪,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inconspicuous_sex_toy,タグ「inconspicuous sex toy」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inconvenient_breasts,不便な胸,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
inconvenient_hair,inconvenient・髪,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inconvenient_horns,タグ「inconvenient horns」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
inconvenient_tail,不便な尾,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
index_(identity)_(project_moon),index (identity) (project moon),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
index_fingers_raised,上手に上げられた指の指,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
index_fingers_together,人差し指を合わせる,RELAXED_KEEP_JA,LOW,CANONICAL_LANGUAGE_MAP
index_ring,indexの指輪,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
india,インド,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
indian_flag,インドの国旗,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
indian_style,あぐら,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
indigo_academy_school_uniform,indigo academyの学校制服,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
