canonical,display_ja,decision,risk_class,language_sanity_provenance
magitek_armor,魔導アーマー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnetism,磁気,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnhild,マンヒルド,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnifying_glass,ルーペ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnolia,モクレン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnolia_eclair_ii,マグノリアエクレアII,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnum_buckle,マグナムレイズバックル,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magnum_shooter_40x,マグナムシューター40X,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mago_berry,マゴのみ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magpie,カササギ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magpul,マグプル,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
magus_(synduality),メイガス,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
mahjong,麻雀,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mahjong_table,雀卓,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mahora_academy_middle_school_uniform,マホラアカデミー中学校のユニフォーム,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mahou_shoujo_kikou_~prisma_codes~,廃棄少女幻想エンド・サクリファイス,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
maid_(fire_emblem:_three_houses),メイド（Fire Emblem: Three Houses）,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
maid_cafe,メイド喫茶,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maid_day,メイドの日,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maid_one-piece_swimsuit,メイド水着,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maigo_no_te_wo_hiku_sono_saki_wa_(project_sekai),迷い子の手を引く、そのさきは,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
maihama_minami_high_school_uniform,マイハマ・ミナミ高校の制服,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mail,郵便,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mailbag,郵袋,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mailbox_(incoming_mail),郵便受け,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
mailman,郵便配達員,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maintenance,メンテナンス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
majesty_palm,タグ「majesty palm」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
majima_everywhere,どこでも真島,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
majima_goro_(cosplay),majima goro (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
majin_symbol,majin・記号,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
majiwaru_senritsu_tomoru_nukumori_(project_sekai),交わる旋律_灯るぬくもり,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
majo_shuukai_de_aimashou,魔女集会で会いましょう,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
major_injury_underreaction,タグ「major injury underreaction」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
majorette,攻撃,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makai_(touhou),マカイ（touhou）,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
makai_family_(touhou),makai family (touhou),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
makankousappou,魔貫光殺砲,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makarov_pm,マカロフ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
make-up_work_club_(blue_archive),補習授業部,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
make_a_contract,僕と契約して、魔法少女になってよ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
make_america_great_again,アメリカを再び偉大にします,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makeover,タグ「makeover」,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makeup_brush,化粧用ブラシ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makeup_palette,アイシャドウパレット,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makima_(chainsaw_man)_(cosplay),makima (chainsaw man) (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
makinami_mari_illustrious_(cosplay),マキナミマリイラストレス（コスプレ）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
making_faces,顔を作る,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makise_kurisu_(cosplay),MakiseKurisu（コスプレ）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
makizushi,巻き寿司,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makoto_mirai_academy_middle_school_uniform,私立まことみらい学園,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
makoto_nanaya_(cosplay),マコトナナヤ（コスプレ）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
malasada,マラサダ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
malay_text,マレー語,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
malaysia,マレーシア,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
malaysian_clothes,malaysian・服,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
malaysian_secondary_school_uniform,馬来西亚校服,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
male_byleth_(fire_emblem)_(cosplay),male byleth (fire emblem) (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
male_futanari,男ふたなり,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_harem,逆後宫,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_lactation,父乳,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_pregnancy,妊夫,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_robin_(fire_emblem)_(cosplay),male robin (fire emblem) (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
male_swimwear,競パン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_swimwear_challenge,男水着チャレンジ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_swimwear_pull,男性の水着の引っ張り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_thong,male・Tバック,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
male_underwear_peek,雄の下着の覗き見,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_underwear_pull,男性の下着の引っ張り,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
male_yandere,ヤンデレ男子,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maliketh's_black_blade,maliketh・黒い・blade,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mall,ショッピングモール,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mall_link_suit,モールリンクスーツ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mallard,マガモ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mallet,木槌,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mallet_(instrument),マレット（楽器）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
maltese,マルチーズ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
maltese_cross,マルタの十字架,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mamemaki,豆撒き,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mamezara,豆皿,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mami_mogu_mogu,マミる,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mamianqun,馬面裙,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mamimi_(mamamimi)_(style),タグ「mamimi (mamamimi) (style)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mammoth,マンモス,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mamono_with_mamono,mamono・付きのmamono,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mamool_ja,マムージャ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
man_face,男の顔,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
man_levitating_pizza_(meme),man levitating pizza (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
man_watching_tv_(meme),man watching tv (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
manaita_obi,俎板帯,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manatee,マナティー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manba_gyaru,マンバ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manboobs,マンブーブ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manchu_clothes,manchu・服,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mandala,曼荼羅,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandalorian,マンダロリアン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandalorian_armor,mandalorianの鎧,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mandalorian_helmet,mandalorian・ヘルメット,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mandarin_collar,立襟,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandarin_orange,みかん,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandarin_orange_slice,mandarin・オレンジ色のslice,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mandibles,大あご,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandolin,マンドリン,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandragora,マンドラゴラ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mandrake,マンドラゴラ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mane,たてがみ,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mane_ax_(deltarune),タグ「mane ax (deltarune)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
mane_six_(my_little_pony),タグ「mane six (my little pony)」,RELAXED_KEEP_JA,EXCEPTION,LANGUAGE_SANITY_UNCHANGED
manga_(object),マンガ（オブジェクト）,RELAXED_KEEP_JA,HIGH,LANGUAGE_SANITY_UNCHANGED
manga_cover,漫画カバー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mangekyou_sharingan,万花筒写轮眼,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
mango,マンゴー,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manhattan_cafe_(umamusume)_(cosplay),manhattan cafe (umamusume) (cosplay),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
manhattan_cafe_holding_a_fish_(meme),manhattan cafe holding a fish (meme),RELAXED_CANONICAL_FALLBACK,EXCEPTION,LANGUAGE_SANITY_CANONICAL_FALLBACK
manhole,マンホール,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
manhole_cover,マンホールの蓋,RELAXED_KEEP_JA,LOW,LANGUAGE_SANITY_UNCHANGED
