slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
1,I70-043732,studio_tri4,Copyright,58,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
2,I70-044290,licca-chan_(franchise),Copyright,51,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
3,I70-001942,yamamura_sadako,Character,1739,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
4,I70-008022,xenomorph,Character,368,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
5,I70-009980,predator_(character),Character,282,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
6,I70-010660,asimov_(spindlesong),Character,259,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
7,I70-010787,kirarazaka_marina_(older),Character,255,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
8,I70-011134,kuze_shizuka_(older),Character,245,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
9,I70-011273,saaya_(kirome),Character,241,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
10,I70-011574,duckman,Character,232,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
11,I70-011784,ottilie_(spindlesong),Character,227,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
12,I70-012627,shiratama_(shiranami_ramune),Character,208,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
13,I70-012846,ghostface,Character,203,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
14,I70-012988,yamanashi_haruka,Character,201,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
15,I70-014691,oosaki_(ooe),Character,171,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
16,I70-015487,jean_(si_land),Character,159,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
17,I70-016829,yahan_(lamp159568),Character,143,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
18,I70-017386,king_zahab_(si_land),Character,136,IN_2D,Resolved in MANUAL_SCOPE_BATCH_060
