slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
1,I70-043732,studio_tri4,Copyright,58,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
2,I70-012988,yamanashi_haruka,Character,201,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
3,I70-021864,simon_jackson,Character,101,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
4,I70-022637,souei_yuyu,Character,96,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
5,I70-026443,kamogumi_(kanna_yanagi),Character,77,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
6,I70-028696,coqui_saporana,Character,68,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
7,I70-030610,hob_&_nob,Character,62,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
8,I70-031649,blair_dame,Character,59,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
9,I70-031761,izumi_shirogane,Character,59,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
10,I70-031931,somei_sakura,Character,59,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
11,I70-032272,ootani_ouya,Character,58,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
12,I70-032301,sakai_aruko,Character,58,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
13,I70-032760,tlipoca,Character,57,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
14,I70-032939,ihara_saeko,Character,56,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
15,I70-033232,amenankhnas-talia_ife,Character,55,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
16,I70-033300,doreking,Character,55,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
17,I70-033536,nishi_kaoruko,Character,55,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
18,I70-033602,shadow_giant,Character,55,UNCERTAIN,Reviewed in fixed residual queue; identity remains insufficiently evidenced for a safe 2D-only scope decision. Kept UNCERTAIN.
19,I70-033865,lerochka,Character,54,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
20,I70-034352,nishi_hiroto,Character,53,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
21,I70-034478,tiger_mask_(character),Character,53,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
22,I70-034545,annin_miru,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
23,I70-034558,balsa_(seirei_no_moribito),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
24,I70-034598,daiya_fortuna,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
25,I70-034613,elf_cleric_(kirishima_satoshi),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
26,I70-034621,farja,Character,52,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_061
27,I70-034655,henna_(hentaiukr),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
28,I70-034665,humpty_dumpty,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
29,I70-034674,inmu-kun,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
30,I70-034688,jgsdf_type_07_tank_nacchin,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
31,I70-034706,kara-age_kun,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
32,I70-034724,kotohara_hotaru,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
33,I70-034745,limealicious_(winter),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
34,I70-034790,narita_top_road_(manpuku_ryutouden:_top)_(umamusume),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
35,I70-034798,nishi_touko,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
36,I70-034896,symphony_kaito_(2018-2019),Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
37,I70-034914,tralalero_tralala,Character,52,IN_2D,Resolved in MANUAL_SCOPE_BATCH_061
