slice_index,row_id,canonical_tag,category,post_count,review_result,review_note
1,I70-043732,studio_tri4,Copyright,58,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
2,I70-044290,licca-chan_(franchise),Copyright,51,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
3,I70-001942,yamamura_sadako,Character,1739,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
4,I70-002055,godzilla,Character,1649,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
5,I70-003362,santa_claus,Character,998,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
6,I70-004449,death_(entity),Character,737,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
7,I70-005164,ronald_mcdonald,Character,623,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
8,I70-005272,ahsoka_tano,Character,608,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
9,I70-005877,marche_lorraine's_puppet,Character,536,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
10,I70-006147,anubis_(mythology),Character,507,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
11,I70-006833,grim_reaper,Character,450,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
12,I70-007246,anakin_skywalker,Character,418,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
13,I70-007294,satou_yaniko,Character,415,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
14,I70-007332,camila_inpu,Character,412,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
15,I70-007921,lara_(sayonara_lara),Character,374,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
16,I70-008022,xenomorph,Character,368,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
17,I70-008294,mother_(yoru_mac),Character,353,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
18,I70-008467,jesus,Character,344,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
19,I70-008542,hanamiya_nina,Character,340,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
20,I70-009010,souchou,Character,318,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
21,I70-009358,buddha,Character,303,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
22,I70-009382,ani_(xai),Character,302,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
23,I70-009980,predator_(character),Character,282,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
24,I70-010660,asimov_(spindlesong),Character,259,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
25,I70-010787,kirarazaka_marina_(older),Character,255,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
26,I70-011134,kuze_shizuka_(older),Character,245,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
27,I70-011273,saaya_(kirome),Character,241,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
28,I70-011574,duckman,Character,232,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
29,I70-011784,ottilie_(spindlesong),Character,227,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
30,I70-011885,zhongli_quan_(all_wishes_come_true!),Character,225,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
31,I70-012043,orihime_(tanabata),Character,221,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
32,I70-012562,park_dona,Character,209,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
33,I70-012627,shiratama_(shiranami_ramune),Character,208,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
34,I70-012846,ghostface,Character,203,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
35,I70-012919,moria_luluka_(civilian),Character,202,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
36,I70-012954,dtto.,Character,201,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
37,I70-012983,sigrid_de_l'azur_(majestic_wavechaser),Character,201,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
38,I70-012988,yamanashi_haruka,Character,201,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
39,I70-013156,doge,Character,197,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
40,I70-013553,lv_dongbin_(all_wishes_come_true!),Character,190,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
41,I70-014058,daughter_(yoru_mac),Character,181,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
42,I70-014371,furby,Character,176,REAL_3D,Resolved in MANUAL_SCOPE_BATCH_058
43,I70-014691,oosaki_(ooe),Character,171,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
44,I70-015487,jean_(si_land),Character,159,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
45,I70-016328,beliora_vike,Character,148,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
46,I70-016456,protagonist_halo,Character,147,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
47,I70-016829,yahan_(lamp159568),Character,143,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
48,I70-017386,king_zahab_(si_land),Character,136,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
49,I70-017491,kondo_saki,Character,135,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
50,I70-017678,facehugger,Character,133,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
51,I70-017782,azarashii_(igarashi_rika),Character,132,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
52,I70-018052,ms._hades,Character,130,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
53,I70-018901,hades_izanami,Character,122,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
54,I70-019056,sakura_(sergestid_shrimp_in_tungkang),Character,121,IN_2D,Resolved in MANUAL_SCOPE_BATCH_058
55,I70-019949,ariake_(ooe),Character,113,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
56,I70-020060,virgin_mary,Character,113,UNCERTAIN,Reviewed in fixed queue slice; insufficient confidence or mixed-media boundary remains. Kept UNCERTAIN.
