row_number,canonical,display_ja,checks,already_overridden
85,bdsm,bdsm,ASCII_WORD,false
2224,ddd_threesome,ddd threesome,ASCII_WORD,true
2506,figma,figma,ASCII_WORD,false
3074,heishou_pack-mao_branch_(identity)_(project_moon),heishou pack-mao branch (identity) (project moon),ASCII_WORD,false
3305,ios_(os),iOS,ASCII_WORD,true
3306,iphone,iphone,ASCII_WORD,false
3309,isbn,isbn,ASCII_WORD,false
3322,jeanne_d'arc_alter_(fate)_(cosplay),jeanne d'arc alter (fate) (cosplay),ASCII_WORD,false
3323,jeanne_d'arc_alter_(swimsuit_berserker)_(fate)_(cosplay),jeanne d'arc alter (swimsuit berserker) (fate) (cosplay),ASCII_WORD,false
3650,mclaren_p1,mclaren p1,ASCII_WORD,false
4058,orientation_play,orientation play,ASCII_WORD,true
4348,pogchamp_(meme),pogchamp (meme),ASCII_WORD,false
4542,qiqi_(genshin_impact)_(cosplay),qiqi (genshin impact) (cosplay),ASCII_WORD,false
5919,yomorio_lingerie,yomorio lingerie,ASCII_WORD,true
5948,114514_(meme),114514 (meme),ASCII_WORD,true
6004,3dio,3dio,ASCII_WORD,false
6011,4th_match_flame_(e.g.o),4th match flame (e.g.o),ASCII_WORD,false
6022,69_(meme),69 (meme),ASCII_WORD,true
6063,a-rise,A-RISE,ASCII_WORD,true
6075,aa-12,aa-12,ASCII_WORD,false
6092,absolute_cinema_(meme),absolute cinema (meme),ASCII_WORD,true
6094,absolution_(genshin_impact),absolution (genshin impact),ASCII_WORD,false
6122,ackchyually_(meme),ackchyually (meme),ASCII_WORD,true
6186,adoration_(e.g.o),adoration (e.g.o),ASCII_WORD,false
6195,aedd_(e.g.o),aedd (e.g.o),ASCII_WORD,false
6199,aek-971,aek-971,ASCII_WORD,false
6288,aim-120_amraam,AIM-120 AMRAAM,ASCII_WORD,true
6322,airpods,AirPods,ASCII_WORD,true
6328,ak-105,ak-105,ASCII_WORD,false
6329,ak-12,ak-12,ASCII_WORD,false
6330,ak-15,ak-15,ASCII_WORD,false
6331,ak-47,ak-47,ASCII_WORD,false
6332,ak-74,ak-74,ASCII_WORD,false
6333,ak-74m,ak-74m,ASCII_WORD,false
6334,ak-alfa,AK-Alfa,ASCII_WORD,true
6335,ak_5,ak 5,ASCII_WORD,false
6349,akg,AKG,ASCII_WORD,true
6358,akm,AKM,ASCII_WORD,true
6359,akms,AKMS,ASCII_WORD,true
6360,ako_(blue_archive)_(cosplay),ako (blue archive) (cosplay),ASCII_WORD,false
6361,aks-74,aks-74,ASCII_WORD,false
6362,aks-74u,aks-74u,ASCII_WORD,false
6383,alienposting_(meme),alienposting (meme),ASCII_WORD,false
6414,alternate_(the_mandela_catalogue),Alternate（The Mandela Catalogue）,ASCII_WORD,true
6457,amarr_empire_(eve_online),amarr empire (eve online),ASCII_WORD,false
6459,amate_yuzuriha_(cosplay),amate yuzuriha (cosplay),ASCII_WORD,false
6475,amenoma_kageuchi_(genshin_impact),amenoma kageuchi (genshin impact),ASCII_WORD,true
6476,amenomurakumo-no-tsurugi_(fate),amenomurakumo-no-tsurugi (fate),ASCII_WORD,false
6621,animatech_(league),animatech (league),ASCII_WORD,true
6642,annihilation_(nikke),Annihilation（NIKKE）,ASCII_WORD,true
6648,anon_tokyo_(bang_dream!),ANON TOKYO（BanG Dream!）,ASCII_WORD,true
6650,another_ship_dynamic_i_enjoy_(meme),another ship dynamic i enjoy (meme),ASCII_WORD,false
6716,appletrend,Appletrend,ASCII_WORD,true
6736,aprob_(meme),aprob (meme),ASCII_WORD,false
6849,aquila_favonia_(genshin_impact),aquila favonia (genshin impact),ASCII_WORD,false
6851,ar-10,ar-10,ASCII_WORD,false
6852,ar-15,ar-15,ASCII_WORD,false
6853,ar-18,ar-18,ASCII_WORD,false
6854,ar-57,ar-57,ASCII_WORD,false
6864,aramasa,Aramasa,ASCII_WORD,true
6885,arcueid_brunestud_(cosplay),arcueid brunestud (cosplay),ASCII_WORD,true
6886,ardor_blossom_star_(e.g.o),ardor blossom star (e.g.o),ASCII_WORD,false
6896,argonauts_(fate),argonauts (fate),ASCII_WORD,false
6926,aria_(zenless_zone_zero)_(cosplay),aria (zenless zone zero) (cosplay),ASCII_WORD,false
6933,aris_(blue_archive)_(cosplay),aris (blue archive) (cosplay),ASCII_WORD,false
7078,artoria_pendragon_(lancer)_(fate)_(cosplay),artoria pendragon (lancer) (fate) (cosplay),ASCII_WORD,false
7079,artoria_pendragon_(lancer_alter)_(fate)_(cosplay),artoria pendragon (lancer alter) (fate) (cosplay),ASCII_WORD,false
