cycle_id,lane,manifest_progress_sha256,row_id,canonical_tag,category,post_count,display_ja,search_ja,prior_audit_verdict,audit_verdict,proposed_display_ja,proposed_search_ja,reason_code,confidence,evidence_refs,audit_note,approval_status
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044438,yaegashi_nan,Artist,4598,八重樫南,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_OR_INDUSTRY_CREDIT,HIGH,https://gamehack.jp/148036/,Voltage collaboration release credits illustrator 八重樫南 exactly; current display preserves the established Japanese credit.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044440,mizuki_hitoshi,Artist,4382,みずきひとし,,NEEDS_EXTERNAL_CHECK,KEEP,,,IDENTITY_SAFE_CREDIT,HIGH,https://mangaseek.net/person/1609.html,Creator database links the artist's official site and records the professional name みずきひとし exactly; no speculative kanji reading introduced.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044462,m-da_s-tarou,Artist,2968,MだSたろう,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.cdjapan.co.jp/product/NEOBK-2980371,Published art-book metadata credits MだSたろう exactly; current display is identity-safe.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044467,mitarashi_neko,Artist,2910,みたらしねこ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_PROFILE,HIGH,https://mitarashi-neko.com/,Artist's official portfolio identifies the creator as みたらしねこ (Mitarashi Neko); current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044494,houtengeki,Artist,2472,方天戟,,NEEDS_EXTERNAL_CHECK,KEEP,,,INDUSTRY_CREDIT,HIGH,https://mediaworld.co.jp/products/50033392001,Commercial product credit identifies illustrator 方天戟 and copyright ©方天戟; current display preserves that credited identity.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044499,kani_biimu,Artist,2442,かにビーム,,NEEDS_EXTERNAL_CHECK,KEEP,,,INDUSTRY_CREDIT,HIGH,https://www.dreamnews.jp/press/0000236913/,Hobby Japan release repeatedly credits illustrator かにビーム and ©かにビーム; current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044523,tsunako,Artist,2233,つなこ,,NEEDS_EXTERNAL_CHECK,KEEP,,,OFFICIAL_PROFILE,HIGH,https://www.tunamayoza.com/,Artist's own site identifies itself as イラストレーター つなこ and profile heading つなこ; current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044560,tomose_shunsaku,Artist,1951,トモセシュンサク,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322305001013/,KADOKAWA official publication credits トモセシュンサク as author/illustrator; current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044567,mattaku_mousuke,Artist,1910,まったくモー助,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://www.kadokawa.co.jp/product/322606000531/,KADOKAWA official publication credits author まったくモー助 exactly; current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044577,mochi_au_lait,Artist,1840,もちオーレ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://store.kadokawa.co.jp/shop/g/g321909000521/,KADOKAWA official store credits 原作 もちオーレ; current display is exact.,PROPOSED
cycle-0001,5,449ee7316f6996bcfcdd6a24663db83e3acf5f76b182c7f40104d55d395e79a0,I70-044687,ito_noizi,Artist,1490,いとうのいぢ,,NEEDS_EXTERNAL_CHECK,KEEP,,,PUBLISHER_CREDIT,HIGH,https://store.kadokawa.co.jp/shop/series/series00074001,KADOKAWA official store uses いとうのいぢ for the creator's art-book series; current display is exact.,PROPOSED
